examinDe,beachKoreanNm,examinLcDetail,distance_from_estuary_km,ecoli_max,enterococcus_max,any_exceed
2025-09-02,다대포동측,A2,0.0,20.0,0.5,False
2025-09-02,다대포동측,B2,0.5,86.0,15.0,False
2025-09-02,다대포동측,C2,1.0,63.0,21.0,False
2025-08-26,다대포동측,A2,0.0,187.0,0.5,False
2025-08-26,다대포동측,B2,0.5,31.0,0.5,False
2025-08-26,다대포동측,C2,1.0,95.0,5.0,False
2025-08-18,다대포동측,A2,0.0,0.5,5.0,False
2025-08-18,다대포동측,B2,0.5,0.5,0.5,False
2025-08-18,다대포동측,C2,1.0,0.5,0.5,False
2025-07-30,다대포동측,"A-1,A-2",0.0,30.0,71.0,False
2025-07-30,다대포동측,"A-1,A-2",0.0,20.0,5.0,False
2025-07-30,다대포동측,"B-1,B-2",0.5,10.0,10.0,False
2025-07-30,다대포동측,"B-1,B-2",0.5,41.0,31.0,False
2025-07-30,다대포동측,"C-1,C-2",1.0,0.5,5.0,False
2025-07-30,다대포동측,"C-1,C-2",1.0,62.0,77.0,False
2025-07-14,다대포동측,"A-1,A-2",0.0,10.0,0.5,False
2025-07-14,다대포동측,"A-1,A-2",0.0,0.5,0.5,False
2025-07-14,다대포동측,"B-1,B-2",0.5,10.0,0.5,False
2025-07-14,다대포동측,"B-1,B-2",0.5,0.5,5.0,False
2025-07-14,다대포동측,"C-1,C-2",1.0,10.0,0.5,False
2025-07-14,다대포동측,"C-1,C-2",1.0,10.0,10.0,False
2025-07-03,다대포동측,"A-1,A-2",0.0,10.0,5.0,False
2025-07-03,다대포동측,"A-1,A-2",0.0,10.0,5.0,False
2025-07-03,다대포동측,"B-1,B-2",0.5,10.0,0.5,False
2025-07-03,다대포동측,"B-1,B-2",0.5,31.0,0.5,False
2025-07-03,다대포동측,"C-1,C-2",1.0,10.0,0.5,False
2025-07-03,다대포동측,"C-1,C-2",1.0,20.0,0.5,False
2025-06-11,다대포동측,"A-1,A-2",0.0,0.5,5.0,False
2025-06-11,다대포동측,"A-1,A-2",0.0,0.5,0.5,False
2025-06-11,다대포동측,"B-1,B-2",0.5,0.5,0.5,False
2025-06-11,다대포동측,"B-1,B-2",0.5,0.5,5.0,False
2025-06-11,다대포동측,"C-1,C-2",1.0,0.5,0.5,False
2025-06-11,다대포동측,"C-1,C-2",1.0,0.5,0.5,False
2026-07-02,다대포동측,"A1, A2",0.0,10.0,0.5,False
2026-07-02,다대포동측,"A1, A2",0.0,20.0,0.5,False
2026-07-02,다대포동측,"B1, B2",0.5,0.5,0.5,False
2026-07-02,다대포동측,"B1, B2",0.5,20.0,0.5,False
2026-07-02,다대포동측,"C1, C2",1.0,41.0,0.5,False
2026-07-02,다대포동측,"C1, C2",1.0,52.0,0.5,False
2026-06-10,다대포동측,"A1, A2",0.0,10.0,0.5,False
2026-06-10,다대포동측,"A1, A2",0.0,10.0,0.5,False
2026-06-10,다대포동측,"B1, B2",0.5,10.0,0.5,False
2026-06-10,다대포동측,"B1, B2",0.5,10.0,0.5,False
2026-06-10,다대포동측,"C1, C2",1.0,10.0,0.5,False
2026-06-10,다대포동측,"C1, C2",1.0,0.5,0.5,False
2015-09-21,다대포서측,,0.0,41.0,0.5,False
2015-09-21,다대포서측,,0.0,74.0,10.0,False
2015-09-21,다대포서측,,0.0,20.0,5.0,False
2015-08-04,다대포서측,,0.0,73.0,21.0,False
2015-08-04,다대포서측,,0.0,72.0,26.0,False
2015-08-04,다대포서측,,0.0,320.0,37.0,False
2015-07-28,다대포서측,,0.0,140.0,0.5,False
2015-07-28,다대포서측,,0.0,52.0,0.5,False
2015-07-28,다대포서측,,0.0,0.5,5.0,False
2015-07-16,다대포서측,,0.0,98.0,21.0,False
2015-07-16,다대포서측,,0.0,63.0,10.0,False
2015-07-16,다대포서측,,0.0,63.0,10.0,False
2015-07-02,다대포서측,,0.0,130.0,0.5,False
2015-07-02,다대포서측,,0.0,220.0,0.5,False
2015-07-02,다대포서측,,0.0,330.0,16.0,False
2016-10-04,다대포서측,,0.0,85.0,10.0,False
2016-10-04,다대포서측,,0.0,120.0,10.0,False
2016-10-04,다대포서측,,0.0,85.0,21.0,False
2016-08-22,다대포서측,,0.0,97.0,26.0,False
2016-08-22,다대포서측,,0.0,210.0,26.0,False
2016-08-22,다대포서측,,0.0,41.0,5.0,False
2016-08-17,다대포서측,,0.0,250.0,15.0,False
2016-08-17,다대포서측,,0.0,290.0,16.0,False
2016-08-17,다대포서측,,0.0,480.0,16.0,False
2016-08-09,다대포서측,,0.0,41.0,10.0,False
2016-08-09,다대포서측,,0.0,96.0,10.0,False
2016-08-09,다대포서측,,0.0,150.0,15.0,False
2016-07-26,다대포서측,,0.0,41.0,5.0,False
2016-07-26,다대포서측,,0.0,84.0,15.0,False
2016-07-26,다대포서측,,0.0,52.0,0.5,False
2016-07-19,다대포서측,,0.0,31.0,21.0,False
2016-07-19,다대포서측,,0.0,10.0,37.0,False
2016-07-19,다대포서측,,0.0,0.5,31.0,False
2016-07-11,다대포서측,,0.0,52.0,15.0,False
2016-07-11,다대포서측,,0.0,740.0,150.0,True
2016-07-11,다대포서측,,0.0,480.0,60.0,False
2016-05-12,다대포서측,,0.0,650.0,21.0,True
2016-05-12,다대포서측,,0.0,241.0,10.0,False
2016-05-12,다대포서측,,0.0,345.0,21.0,False
2017-07-13,다대포서측,인명구조장비함앞,0.0,10.0,31.0,False
2017-07-13,다대포서측,중앙주차장앞,0.5,10.0,41.0,False
2017-07-13,다대포서측,동편두번째돌계단,0.0,15.0,30.0,False
2017-07-07,다대포서측,인명구조장비함앞,0.0,10.0,75.0,False
2017-07-07,다대포서측,중앙주차장앞,0.5,10.0,97.0,False
2017-07-07,다대포서측,동편두번째돌계단,0.0,16.0,108.0,True
2017-06-09,다대포서측,인명구조장비함앞,0.0,26.0,121.0,True
2017-06-09,다대포서측,중앙주차장앞,0.5,21.0,52.0,False
2017-06-09,다대포서측,동편두번째돌계단,0.0,21.0,63.0,False
2017-05-15,다대포서측,,0.0,121.0,26.0,False
2017-05-15,다대포서측,,0.0,52.0,21.0,False
2017-05-15,다대포서측,,0.0,63.0,21.0,False
2018-09-12,다대포서측,인면구조장비함앞,0.0,638.0,138.0,True
2018-09-12,다대포서측,중앙공영주차장앞,0.5,309.0,86.0,False
2018-09-12,다대포서측,두번째돌계단앞,0.0,183.0,72.0,False
2018-08-22,다대포서측,인면구조장비함앞,0.0,20.0,21.0,False
2018-08-22,다대포서측,중앙공영주차장앞,0.5,41.0,16.0,False
2018-08-22,다대포서측,두번째돌계단앞,0.0,74.0,21.0,False
2018-08-09,다대포서측,인면구조장비함앞,0.0,41.0,5.0,False
2018-08-09,다대포서측,중앙공영주차장앞,0.5,120.0,10.0,False
2018-08-09,다대포서측,두번째돌계단앞,0.0,52.0,1.0,False
2018-08-02,다대포서측,인면구조장비함앞,0.0,84.0,5.0,False
2018-08-02,다대포서측,중앙공영주차장앞,0.5,41.0,1.0,False
2018-08-02,다대포서측,두번째돌계단앞,0.0,20.0,5.0,False
2018-07-26,다대포서측,인면구조장비함앞,0.0,399.0,116.0,True
2018-07-26,다대포서측,중앙공영주차장앞,0.5,355.0,95.0,False
2018-07-26,다대포서측,두번째돌계단앞,0.0,399.0,32.0,False
2018-07-19,다대포서측,인면구조장비함앞,0.0,30.0,10.0,False
2018-07-19,다대포서측,중앙공영주차장앞,0.5,10.0,1.0,False
2018-07-19,다대포서측,두번째돌계단앞,0.0,52.0,1.0,False
2018-06-04,다대포서측,인면구조장비함앞,0.0,345.0,21.0,False
2018-06-04,다대포서측,중앙공영주차장앞,0.5,291.0,21.0,False
2018-06-04,다대포서측,두번째돌계단앞,0.0,292.0,536.0,True
