date,sewage_volume
2014-01-01,285194
2014-01-02,297430
2014-01-03,309761
2014-01-04,311541
2014-01-05,284320
2014-01-06,305873
2014-01-07,319940
2014-01-08,397690
2014-01-09,323649
2014-01-10,309503
2014-01-11,313926
2014-01-12,285112
2014-01-13,289970
2014-01-14,301083
2014-01-15,301807
2014-01-16,310454
2014-01-17,327510
2014-01-18,311854
2014-01-19,294339
2014-01-20,296042
2014-01-21,317358
2014-01-22,312797
2014-01-23,326651
2014-01-24,329817
2014-01-25,321109
2014-01-26,290284
2014-01-27,307028
2014-01-28,316940
2014-01-29,324315
2014-01-30,327189
2014-01-31,265598
2014-02-01,274088
2014-02-02,298434
2014-02-03,296555
2014-02-04,302527
2014-02-05,296913
2014-02-06,293843
2014-02-07,335896
2014-02-08,374514
2014-02-09,285107
2014-02-10,294795
2014-02-11,303141
2014-02-12,321451
2014-02-13,320338
2014-02-14,320143
2014-02-15,321483
2014-02-16,299740
2014-02-17,326774
2014-02-18,348855
2014-02-19,321465
2014-02-20,323610
2014-02-21,328821
2014-02-22,317858
2014-02-23,299122
2014-02-24,315188
2014-02-25,326226
2014-02-26,378827
2014-02-27,414694
2014-02-28,348645
2014-03-01,342453
2014-03-02,318535
2014-03-03,316281
2014-03-04,330511
2014-03-05,334062
2014-03-06,322230
2014-03-07,323330
2014-03-08,329303
2014-03-09,297353
2014-03-10,313094
2014-03-11,327843
2014-03-12,371302
2014-03-13,527454
2014-03-14,410272
2014-03-15,391336
2014-03-16,345559
2014-03-17,351240
2014-03-18,367753
2014-03-19,345637
2014-03-20,403980
2014-03-21,361288
2014-03-22,347382
2014-03-23,318007
2014-03-24,333126
2014-03-25,365679
2014-03-26,491927
2014-03-27,414851
2014-03-28,394621
2014-03-29,409513
2014-03-30,515738
2014-03-31,456081
2014-04-01,423672
2014-04-02,391176
2014-04-03,383302
2014-04-04,408278
2014-04-05,354408
2014-04-06,317011
2014-04-07,355661
2014-04-08,358197
2014-04-09,366539
2014-04-10,351584
2014-04-11,349594
2014-04-12,340079
2014-04-13,353605
2014-04-14,340281
2014-04-15,351623
2014-04-16,352796
2014-04-17,401997
2014-04-18,445604
2014-04-19,375200
2014-04-20,316745
2014-04-21,355716
2014-04-22,342097
2014-04-23,347305
2014-04-24,340027
2014-04-25,341147
2014-04-26,318952
2014-04-27,296161
2014-04-28,507340
2014-04-29,530622
2014-04-30,456053
2014-05-01,400672
2014-05-02,378781
2014-05-03,357100
2014-05-04,307719
2014-05-05,326903
2014-05-06,321882
2014-05-07,336460
2014-05-08,370687
2014-05-09,343835
2014-05-10,322186
2014-05-11,295832
2014-05-12,539021
2014-05-13,525058
2014-05-14,454037
2014-05-15,419602
2014-05-16,399173
2014-05-17,390449
2014-05-18,353511
2014-05-19,371311
2014-05-20,392575
2014-05-21,375250
2014-05-22,364180
2014-05-23,334298
2014-05-24,322136
2014-05-25,331597
2014-05-26,482897
2014-05-27,354559
2014-05-28,338252
2014-05-29,350250
2014-05-30,357610
2014-05-31,337831
2014-06-01,304269
2014-06-02,345119
2014-06-03,451334
2014-06-04,356640
2014-06-05,353270
2014-06-06,332930
2014-06-07,329197
2014-06-08,285715
2014-06-09,316555
2014-06-10,340785
2014-06-11,371956
2014-06-12,393324
2014-06-13,421355
