ctprvnNm,gugunNm,beachKoreanNm,ctprvnCode,gugunCode,stnpntCode,examinOdr,examinLcSeCode,coliDetectCn,entrcccsDetectCn,examinYear,examinDe,examinKnd,examinKndKor,stbltAt,examinLcDetail,la,lo,tempbtn,examinReExamCnt
부산,사하구,다대포동측,04,02,002,1,A-1,20,<1,2025,2025-09-02,3,폐장후,적합,A2,,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,B-1,86,15,2025,2025-09-02,3,폐장후,적합,B2,,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,C-1,63,21,2025,2025-09-02,3,폐장후,적합,C2,,,상세보기,0
부산,사하구,다대포동측,04,02,002,5,A-1,187,<1,2025,2025-08-26,2,개장중,적합,A2,,,상세보기,0
부산,사하구,다대포동측,04,02,002,5,B-1,31,<1,2025,2025-08-26,2,개장중,적합,B2,,,상세보기,0
부산,사하구,다대포동측,04,02,002,5,C-1,95,5,2025,2025-08-26,2,개장중,적합,C2,,,상세보기,0
부산,사하구,다대포동측,04,02,002,4,A-1,<1,5,2025,2025-08-18,2,개장중,적합,A2,,,상세보기,0
부산,사하구,다대포동측,04,02,002,4,B-1,<1,<1,2025,2025-08-18,2,개장중,적합,B2,,,상세보기,0
부산,사하구,다대포동측,04,02,002,4,C-1,<1,<1,2025,2025-08-18,2,개장중,적합,C2,,,상세보기,0
부산,사하구,다대포동측,04,02,002,3,A-1,30,71,2025,2025-07-30,2,개장중,적합,"A-1,A-2",,,상세보기,1
부산,사하구,다대포동측,04,02,002,3,A-2,20,5,2025,2025-07-30,2,개장중,적합,"A-1,A-2",,,상세보기,1
부산,사하구,다대포동측,04,02,002,3,B-1,10,10,2025,2025-07-30,2,개장중,적합,"B-1,B-2",,,상세보기,1
부산,사하구,다대포동측,04,02,002,3,B-2,41,31,2025,2025-07-30,2,개장중,적합,"B-1,B-2",,,상세보기,1
부산,사하구,다대포동측,04,02,002,3,C-1,<1,5,2025,2025-07-30,2,개장중,적합,"C-1,C-2",,,상세보기,1
부산,사하구,다대포동측,04,02,002,3,C-2,62,77,2025,2025-07-30,2,개장중,적합,"C-1,C-2",,,상세보기,1
부산,사하구,다대포동측,04,02,002,2,A-1,10,<1,2025,2025-07-14,2,개장중,적합,"A-1,A-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,2,A-2,<1,<1,2025,2025-07-14,2,개장중,적합,"A-1,A-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,2,B-1,10,<1,2025,2025-07-14,2,개장중,적합,"B-1,B-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,2,B-2,<1,5,2025,2025-07-14,2,개장중,적합,"B-1,B-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,2,C-1,10,<1,2025,2025-07-14,2,개장중,적합,"C-1,C-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,2,C-2,10,10,2025,2025-07-14,2,개장중,적합,"C-1,C-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,A-1,10,5,2025,2025-07-03,2,개장중,적합,"A-1,A-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,A-2,10,5,2025,2025-07-03,2,개장중,적합,"A-1,A-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,B-1,10,<1,2025,2025-07-03,2,개장중,적합,"B-1,B-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,B-2,31,<1,2025,2025-07-03,2,개장중,적합,"B-1,B-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,C-1,10,<1,2025,2025-07-03,2,개장중,적합,"C-1,C-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,C-2,20,<1,2025,2025-07-03,2,개장중,적합,"C-1,C-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,A-1,<1,5,2025,2025-06-11,1,개장전,적합,"A-1,A-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,A-2,<1,<1,2025,2025-06-11,1,개장전,적합,"A-1,A-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,B-1,<1,<1,2025,2025-06-11,1,개장전,적합,"B-1,B-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,B-2,<1,5,2025,2025-06-11,1,개장전,적합,"B-1,B-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,C-1,<1,<1,2025,2025-06-11,1,개장전,적합,"C-1,C-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,C-2,<1,<1,2025,2025-06-11,1,개장전,적합,"C-1,C-2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,A-1,10,<1,2026,2026-07-02,2,개장중,적합,"A1, A2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,A-2,20,<1,2026,2026-07-02,2,개장중,적합,"A1, A2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,B-1,<1,<1,2026,2026-07-02,2,개장중,적합,"B1, B2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,B-2,20,<1,2026,2026-07-02,2,개장중,적합,"B1, B2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,C-1,41,<1,2026,2026-07-02,2,개장중,적합,"C1, C2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,C-2,52,<1,2026,2026-07-02,2,개장중,적합,"C1, C2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,A-1,10,<1,2026,2026-06-10,1,개장전,적합,"A1, A2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,A-2,10,<1,2026,2026-06-10,1,개장전,적합,"A1, A2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,B-1,10,<1,2026,2026-06-10,1,개장전,적합,"B1, B2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,B-2,10,<1,2026,2026-06-10,1,개장전,적합,"B1, B2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,C-1,10,<1,2026,2026-06-10,1,개장전,적합,"C1, C2",,,상세보기,0
부산,사하구,다대포동측,04,02,002,1,C-2,<1,<1,2026,2026-06-10,1,개장전,적합,"C1, C2",,,상세보기,0
