ctprvnNm,gugunNm,beachKoreanNm,ctprvnCode,gugunCode,stnpntCode,examinOdr,examinLcSeCode,coliDetectCn,entrcccsDetectCn,examinYear,examinDe,examinKnd,examinKndKor,stbltAt,examinLcDetail,la,lo,tempbtn,examinReExamCnt
부산,사하구,다대포서측,04,02,001,1,A,180,10,2014,,3,폐장후,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,B,110,5,2014,,3,폐장후,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,C,31,20,2014,,3,폐장후,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,7,A,"6,130",98,2014,,2,개장중,부적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,7,B,"10,460",130,2014,,2,개장중,부적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,7,C,"5,100",110,2014,,2,개장중,부적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,6,A,"19,860","1,180",2014,,2,개장중,부적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,6,B,"24,200","1,030",2014,,2,개장중,부적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,6,C,"24,200","1,300",2014,,2,개장중,부적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,5,A,340,20,2014,,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,5,B,420,5,2014,,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,5,C,470,5,2014,,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,4,A,<1,<1,2014,,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,4,B,130,5,2014,,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,4,C,31,5,2014,,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,3,A,420,<1,2014,,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,3,B,85,5,2014,,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,3,C,130,15,2014,,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,2,A,52,10,2014,,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,2,B,10,5,2014,,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,2,C,31,5,2014,,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,A,10,5,2014,,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,B,10,5,2014,,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,C,120,20,2014,,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,A,58,10,2014,,1,개장전,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,B,56,19,2014,,1,개장전,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,C,76,17,2014,,1,개장전,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,A,41,<1,2015,2015-09-21,3,폐장후,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,B,74,10,2015,2015-09-21,3,폐장후,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,C,20,5,2015,2015-09-21,3,폐장후,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,6,A,73,21,2015,2015-08-04,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,6,B,72,26,2015,2015-08-04,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,6,C,320,37,2015,2015-08-04,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,5,A,140,<1,2015,2015-07-28,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,5,B,52,<1,2015,2015-07-28,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,5,C,<1,5,2015,2015-07-28,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,4,A,98,21,2015,2015-07-16,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,4,B,63,10,2015,2015-07-16,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,4,C,63,10,2015,2015-07-16,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,3,A,130,<1,2015,2015-07-02,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,3,B,220,<1,2015,2015-07-02,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,3,C,330,16,2015,2015-07-02,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,A,85,10,2016,2016-10-04,3,폐장후,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,B,120,10,2016,2016-10-04,3,폐장후,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,C,85,21,2016,2016-10-04,3,폐장후,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,6,A,97,26,2016,2016-08-22,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,6,B,210,26,2016,2016-08-22,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,6,C,41,5,2016,2016-08-22,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,5,A,250,15,2016,2016-08-17,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,5,B,290,16,2016,2016-08-17,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,5,C,480,16,2016,2016-08-17,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,4,A,41,10,2016,2016-08-09,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,4,B,96,10,2016,2016-08-09,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,4,C,150,15,2016,2016-08-09,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,3,A,41,5,2016,2016-07-26,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,3,B,84,15,2016,2016-07-26,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,3,C,52,<1,2016,2016-07-26,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,2,A,31,21,2016,2016-07-19,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,2,B,10,37,2016,2016-07-19,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,2,C,<1,31,2016,2016-07-19,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,A,52,15,2016,2016-07-11,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,B,740,150,2016,2016-07-11,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,C,480,60,2016,2016-07-11,2,개장중,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,A,650,21,2016,2016-05-12,1,개장전,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,B,241,10,2016,2016-05-12,1,개장전,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,C,345,21,2016,2016-05-12,1,개장전,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,4,A,10,31,2017,2017-07-13,2,개장중,적합,인명구조장비함앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,4,B,10,41,2017,2017-07-13,2,개장중,적합,중앙주차장앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,4,C,15,30,2017,2017-07-13,2,개장중,적합,동편두번째돌계단,,,상세보기,0
부산,사하구,다대포서측,04,02,001,3,A,10,75,2017,2017-07-07,2,개장중,적합,인명구조장비함앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,3,B,10,97,2017,2017-07-07,2,개장중,적합,중앙주차장앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,3,C,16,108,2017,2017-07-07,2,개장중,부적합,동편두번째돌계단,,,상세보기,0
부산,사하구,다대포서측,04,02,001,2,A,26,121,2017,2017-06-09,1,개장전,부적합,인명구조장비함앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,2,B,21,52,2017,2017-06-09,1,개장전,적합,중앙주차장앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,2,C,21,63,2017,2017-06-09,1,개장전,적합,동편두번째돌계단,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,A,121,26,2017,2017-05-15,1,개장전,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,B,52,21,2017,2017-05-15,1,개장전,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,C,63,21,2017,2017-05-15,1,개장전,적합,,,,상세보기,0
부산,사하구,다대포서측,04,02,001,8,A,638,138,2018,2018-09-12,3,폐장후,적합,인면구조장비함앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,8,B,309,86,2018,2018-09-12,3,폐장후,적합,중앙공영주차장앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,8,C,183,72,2018,2018-09-12,3,폐장후,적합,두번째돌계단앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,7,A,20,21,2018,2018-08-22,2,개장중,적합,인면구조장비함앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,7,B,41,16,2018,2018-08-22,2,개장중,적합,중앙공영주차장앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,7,C,74,21,2018,2018-08-22,2,개장중,적합,두번째돌계단앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,6,A,41,5,2018,2018-08-09,2,개장중,적합,인면구조장비함앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,6,B,120,10,2018,2018-08-09,2,개장중,적합,중앙공영주차장앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,6,C,52,1,2018,2018-08-09,2,개장중,적합,두번째돌계단앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,5,A,84,5,2018,2018-08-02,2,개장중,적합,인면구조장비함앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,5,B,41,1,2018,2018-08-02,2,개장중,적합,중앙공영주차장앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,5,C,20,5,2018,2018-08-02,2,개장중,적합,두번째돌계단앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,4,A,399,116,2018,2018-07-26,2,개장중,적합,인면구조장비함앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,4,B,355,95,2018,2018-07-26,2,개장중,적합,중앙공영주차장앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,4,C,399,32,2018,2018-07-26,2,개장중,적합,두번째돌계단앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,3,A,30,10,2018,2018-07-19,2,개장중,적합,인면구조장비함앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,3,B,10,1,2018,2018-07-19,2,개장중,적합,중앙공영주차장앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,3,C,52,1,2018,2018-07-19,2,개장중,적합,두번째돌계단앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,2,A,345,21,2018,2018-06-04,2,개장중,적합,인면구조장비함앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,2,B,291,21,2018,2018-06-04,2,개장중,적합,중앙공영주차장앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,2,C,292,536,2018,2018-06-04,2,개장중,적합,두번째돌계단앞,,,상세보기,0
부산,사하구,다대포서측,04,02,001,1,A,62,5,2018,2018-06-04,1,개장전,적합,인면구조장비함앞,,,상세보기,0
