일자,하수처리량(톤/일),ph,bod,cod,ss,tn,tp
20260909,409200,null,0.9,null,0.5,6.004,0.403
20260908,424353,null,0.9,null,0.5,5.706,0.363
20260907,422736,null,1.2,null,0.6,8.435,0.381
20260906,411773,null,0.9,null,0.6,8.534,0.445
20260905,434241,null,1.1,null,0.6,6.2,0.409
20260904,443484,null,0.9,null,0.6,6.613,0.53
20260903,465484,null,null,null,0.6,3.05,0.499
20260902,498940,null,1.4,null,0.6,3.05,0.469
20260901,525282,null,1.4,null,0.7,3.05,0.413
20260831,520544,8.2,1.8,6.2,0.5,3.05,0.649
20260830,494683,8.1,1.2,6.3,0.5,3.696,0.636
20260829,557008,7.5,1.2,6.3,1,4.399,0.598
20260828,499672,7,1.1,4.7,2.6,5.078,0.37
20260827,416990,7,1.7,4.7,2.6,5.078,0.37
20260826,398731,7.1,1.1,4.7,2.6,5.078,0.37
20260825,390733,7.8,1.2,4.7,1.4,5.288,0.366
20260824,411726,7.1,1.1,4.7,1.4,5.288,0.366
20260823,435853,7.2,0.6,4.7,1.4,5.288,0.366
20260822,454732,7.1,2.7,5,1.2,4.748,0.326
20260821,503844,7.2,1.7,4.4,1.5,3.445,0.297
20260820,543734,7.1,0.9,4.3,1.7,3.092,0.257
20260819,588300,7,1.2,3.9,1.8,2.953,0.289
20260818,589073,6.7,1.2,3.1,6.3,5.828,0.38
20260817,601611,6.6,2.6,2.9,7.2,4.501,0.455
20260816,578966,6.9,1.3,5.1,1.7,6.917,0.528
20260815,369616,6.9,0.6,5,1.6,6.641,0.414
20260814,382333,6.9,0.5,5.3,1.4,6.988,0.545
20260813,379668,6.8,1.3,5.2,1.4,7.569,0.303
20260812,368897,6.8,1.4,5.3,1.6,7.495,0.377
20260811,362768,6.9,1.5,6.1,1.5,7.517,0.612
20260810,348135,6.9,1.2,5.3,1.3,7.556,0.422
20260809,339752,6.9,1.4,5,1.3,8.442,0.35
20260808,345077,6.8,1.5,5.9,1.4,7.992,0.52
20260807,358893,7,1.2,6.4,1.4,5.054,0.614
20260806,363617,6.9,0.9,5.7,1.5,6.115,0.489
20260805,325741,6.7,1.5,4.9,1.6,6.775,0.4
20260804,329720,6.8,4.4,5.2,1.8,6.339,0.364
20260803,359971,6.9,1.5,6.7,1.7,6.292,0.62
20260802,335142,6.9,1.1,6.1,1.7,5.874,0.477
20260801,344617,7,1.3,6.1,1.7,6.653,0.584
20260731,354971,7,0.8,6.5,1.3,6.723,0.557
20260730,335033,6.9,5.6,6.7,1.3,6.943,0.464
20260729,350456,6.7,1.2,5.6,1.3,6.99,0.37
20260728,332450,6.8,1.4,4.8,1.3,6.374,0.601
20260727,344722,6.8,3,5.1,1.3,7.14,0.469
20260726,344766,6.9,1.3,5.1,1.3,7.281,0.409
20260725,353271,7.1,1.4,5.8,1.3,6.359,0.56
20260724,345740,7.1,1.2,5.8,1.3,6.215,0.461
20260723,357936,7.1,1.3,5.6,1.3,6.52,0.339
20260722,353430,7,2.6,6.4,1.3,7.318,0.346
20260721,351078,7,6,5,1.3,7.752,0.333
20260720,353226,7,3.9,5.5,1.3,8.622,0.586
20260719,371009,7,4.5,5.6,1.3,8.773,0.562
20260718,381020,7,4,5.8,1.3,8.75,0.339
20260717,368959,6.9,1.5,6.1,1.4,9.669,0.341
20260716,366706,6.9,0.8,5.9,1.3,9.803,0.564
20260715,366581,7,3.3,6.2,1.3,9.809,0.528
20260714,368491,7,3.2,6,1.3,10.339,0.415
20260713,356357,6.8,2,5.7,1.3,7.205,0.383
20260712,332886,7,2,5.9,1.3,6.167,0.478
20260711,365128,7,1.6,6.5,1.4,5.579,0.444
20260710,367292,7,1.2,6.2,1.3,11.462,0.419
20260709,353402,7,2.6,6,1.4,5.869,0.522
20260708,343794,7,3,5.5,1.4,7.172,0.446
20260707,358174,7,6.1,5.2,1.4,8.752,0.547
20260706,359892,6.9,5.7,5.2,1.5,9.718,0.46
20260705,361517,6.9,1.5,5.3,1.5,9.711,0.465
20260704,383236,7,0.6,6.1,1.5,11.032,0.398
20260703,401359,7,0.4,5.6,1.4,8.085,0.382
20260702,457488,6.9,0.8,5.5,1.8,6.671,0.466
20260701,449555,6.9,1.3,5.8,1.6,8.669,0.499
20260630,337428,7,1.5,5.6,1.3,7.497,0.481
20260629,329871,6.8,1.6,5.6,1.3,8.999,0.42
20260628,335344,6.9,1.4,4.9,1.3,8.084,0.352
20260627,348558,7,1.5,5.3,1.3,6.817,0.352
20260626,351644,7,2.3,5.7,2.3,6.786,0.343
20260625,363717,7,1.6,5.6,1.4,6.889,0.408
20260624,363422,7.1,2.7,5.4,1.4,7,0.5
