date,visitor_count
2016-07-01,3000
2016-07-02,10000
2016-07-03,8000
2016-07-04,4000
2016-07-05,5000
2016-07-06,12000
2016-07-07,16000
2016-07-08,30000
2016-07-09,80000
2016-07-10,70000
2016-07-11,3000
2016-07-12,3000
2016-07-13,7000
2016-07-14,15000
2016-07-15,50000
2016-07-16,7000
2016-07-17,130000
2016-07-18,30000
2016-07-19,32000
2016-07-20,45000
2016-07-21,60000
2016-07-22,70000
2016-07-23,300000
2016-07-24,290000
2016-07-25,110000
2016-07-26,130000
2016-07-27,150000
2016-07-28,190000
2016-07-29,400000
2016-07-30,750000
2016-07-31,670000
2016-08-01,500000
2016-08-02,400000
2016-08-03,400000
2016-08-04,380000
2016-08-05,450000
2016-08-06,640000
2016-08-07,450000
2016-08-08,300000
2016-08-09,320000
2016-08-10,260000
2016-08-11,170000
2016-08-12,300000
2016-08-13,440000
2016-08-14,590000
2016-08-15,270000
2016-08-16,120000
2016-08-17,140000
2016-08-18,170000
2016-08-19,176000
2016-08-20,280000
2016-08-21,330000
2016-08-22,130000
2016-08-23,120000
2016-08-24,110000
2016-08-25,140000
2016-08-26,70000
2016-08-27,220000
2016-08-28,7000
2016-08-29,80000
2016-08-30,70000
2016-08-31,40000
2016-09-01,20000
2016-09-02,8000
2016-09-03,20000
2016-09-04,20000
2016-09-05,10
2016-09-06,8000
2016-09-07,7000
2016-09-08,15000
2016-09-09,35000
2016-09-10,60000
2017-07-01,150000
2017-07-02,25000
2017-07-03,18000
2017-07-04,12000
2017-07-05,12000
2017-07-06,12000
2017-07-07,5000
2017-07-08,50000
2017-07-09,140000
2017-07-10,3000
2017-07-11,8000
2017-07-12,25000
2017-07-13,15000
2017-07-14,30000
2017-07-15,100000
2017-07-16,125000
2017-07-17,35000
2017-07-18,16000
2017-07-19,42000
2017-07-20,40000
2017-07-21,85000
2017-07-22,280000
2017-07-23,250000
2017-07-24,70000
2017-07-25,32000
2017-07-26,135000
2017-07-27,155000
2017-07-28,200000
2017-07-29,360000
2017-07-30,700000
2017-07-31,300000
2017-08-01,380000
2017-08-02,360000
2017-08-03,420000
2017-08-04,400000
2017-08-05,600000
2017-08-06,450000
2017-08-07,220000
2017-08-08,350000
2017-08-09,180000
2017-08-10,360000
2017-08-11,400000
2017-08-12,735000
2017-08-13,620000
2017-08-14,100000
2017-08-15,335000
2017-08-16,170000
2017-08-17,190000
2017-08-18,230000
2017-08-19,320000
2017-08-20,240000
2017-08-21,130000
2017-08-22,95000
2017-08-23,140000
2017-08-24,145000
2017-08-25,180000
2017-08-26,250000
2017-08-27,240000
2017-08-28,100000
2017-08-29,50000
2017-08-30,40000
2017-08-31,40000
2017-09-01,30000
2017-09-02,55000
2017-09-03,40000
2017-09-04,12000
2017-09-05,7000
2017-09-06,6000
2017-09-07,6000
2017-09-08,20000
2017-09-09,30000
2017-09-10,22000
2018-07-01,50000
2018-07-02,35000
2018-07-03,1000
2018-07-04,40000
2018-07-05,35000
2018-07-06,30000
2018-07-07,110000
2018-07-08,70000
2018-07-09,20000
2018-07-10,45000
2018-07-11,50000
2018-07-12,50000
2018-07-13,65000
2018-07-14,220000
2018-07-15,180000
2018-07-16,60000
2018-07-17,40000
2018-07-18,45000
2018-07-19,59000
2018-07-20,120000
2018-07-21,230000
2018-07-22,235000
2018-07-23,85000
2018-07-24,100000
2018-07-25,60000
2018-07-26,55000
2018-07-27,150000
2018-07-28,480000
2018-07-29,460000
2018-07-30,220000
2018-07-31,270000
2018-08-01,230000
2018-08-02,400000
2018-08-03,460000
2018-08-04,550000
2018-08-05,380000
2018-08-06,200000
2018-08-07,225000
2018-08-08,185000
2018-08-09,168000
2018-08-10,95000
2018-08-11,550000
2018-08-12,380000
2018-08-13,150000
2018-08-14,220000
2018-08-15,140000
2018-08-16,100000
2018-08-17,140000
2018-08-18,320000
2018-08-19,240000
2018-08-20,95000
2018-08-21,80000
2018-08-22,40000
2018-08-23,4000
2018-08-24,24000
2018-08-25,48000
2018-08-26,45000
2018-08-27,28000
2018-08-28,50000
2018-08-29,54000
2018-08-30,40000
2018-08-31,24000
2019-06-01,0
2019-06-02,0
2019-06-03,0
2019-06-04,0
2019-06-05,0
2019-06-06,0
2019-06-07,0
2019-06-08,0
2019-06-09,0
2019-06-10,0
2019-06-11,0
2019-06-12,0
2019-06-13,0
2019-06-14,0
2019-06-15,0
2019-06-16,0
2019-06-17,0
2019-06-18,0
2019-06-19,0
2019-06-20,0
2019-06-21,0
2019-06-22,0
2019-06-23,0
2019-06-24,0
2019-06-25,0
2019-06-26,0
2019-06-27,0
2019-06-28,0
2019-06-29,0
2019-06-30,0
2019-07-01,500
2019-07-02,5000
2019-07-03,7500
2019-07-04,27500
2019-07-05,28000
2019-07-06,77500
2019-07-07,74000
2019-07-08,26000
2019-07-09,19000
2019-07-10,5000
2019-07-11,35000
2019-07-12,70000
2019-07-13,95000
2019-07-14,175000
2019-07-15,65000
2019-07-16,55000
2019-07-17,62000
2019-07-18,8000
2019-07-19,1200
2019-07-20,1000
2019-07-21,45000
2019-07-22,63000
2019-07-23,125000
2019-07-24,130000
2019-07-25,98000
2019-07-26,145000
2019-07-27,150000
2019-07-28,290000
2019-07-29,225000
2019-07-30,250000
2019-07-31,270000
2019-08-01,298000
2019-08-02,410000
2019-08-03,540000
2019-08-04,450000
2019-08-05,310000
2019-08-06,35000
2019-08-07,275000
2019-08-08,290000
2019-08-09,280000
2019-08-10,490000
2019-08-11,350000
2019-08-12,155000
2019-08-13,170000
2019-08-14,130000
2019-08-15,12800
2019-08-16,250000
2019-08-17,380000
2019-08-18,230000
2019-08-19,120000
2019-08-20,85000
2019-08-21,60000
2019-08-22,15000
2019-08-23,60000
2019-08-24,140000
2019-08-25,120000
2019-08-26,50000
2019-08-27,10000
2019-08-28,15000
2019-08-29,5000
2019-08-30,26000
2019-08-31,60000
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,5500
2020-07-02,11000
2020-07-03,6000
2020-07-04,65000
2020-07-05,58500
2020-07-06,2850
2020-07-07,15000
2020-07-08,34500
2020-07-09,11500
2020-07-10,4500
2020-07-11,47500
2020-07-12,15300
2020-07-13,1440
2020-07-14,2940
2020-07-15,3840
2020-07-16,36000
2020-07-17,54000
2020-07-18,81000
2020-07-19,9000
2020-07-20,27000
2020-07-21,29700
2020-07-22,1500
2020-07-23,1200
2020-07-24,6000
2020-07-25,46000
2020-07-26,72000
2020-07-27,7200
2020-07-28,9810
2020-07-29,13500
2020-07-30,16500
2020-07-31,49500
2020-08-01,148500
2020-08-02,180000
2020-08-03,117000
2020-08-04,135000
2020-08-05,153000
