date,감천항_정점명,감천항_정점코드,감천항_유속(cm/s),감천항_유향(deg),감천항_수온(℃),감천항_염분(PSU),감천항_유의파고(m),감천항_유의파주기(sec),감천항_최대파고(m),감천항_최대파주기(sec),감천항_풍속(m/s),감천항_풍향(deg),감천항_기온(℃),감천항_기압(hPa),감천항_시정(m),부산신항_정점명,부산신항_정점코드,부산신항_유속(cm/s),부산신항_유향(deg),부산신항_수온(℃),부산신항_염분(PSU),부산신항_유의파고(m),부산신항_유의파주기(sec),부산신항_최대파고(m),부산신항_최대파주기(sec),부산신항_풍속(m/s),부산신항_풍향(deg),부산신항_기온(℃),부산신항_기압(hPa),부산신항_시정(m)
2016-01-01,,,4.909090909090909,12.048951048951048,42.450980392156865,33.387412587412584,0.2,,0.2,,,,,,,,,15.357446808510637,11.0,58.25,32.94468085106383,,,,,,,,,
2016-01-02,,,5.381690140845071,12.0,28.741935483870968,33.11197183098592,0.2,,0.3,,,,,,,,,11.933333333333332,11.0,37.0,33.047916666666666,,,,,,,,,
2016-01-03,,,6.331914893617021,12.0,21.321428571428573,33.43120567375887,0.1,,0.2,,,,,,,,,8.69375,11.0,69.0,33.03541666666667,,,,,,,,,
2016-01-04,,,4.922302158273381,12.0,46.05882352941177,33.084172661870504,0.2,,0.3,,,,,,,,,9.38125,11.0,32.5,33.05416666666667,,,,,,,,,
2016-01-05,,,4.987412587412588,12.104895104895105,41.294117647058826,33.086713286713284,0.2,,0.2,,,,,,,,,11.4375,11.0,35.25,33.08958333333333,,,,,,,,,
2016-01-06,,,5.183687943262411,12.0,42.38461538461539,33.03049645390071,0.2,,0.2,,,,,,,,,17.235416666666666,11.1875,57.5,33.18125,,,,,,,,,
2016-01-07,,,5.277857142857143,12.0,46.625,33.14928571428571,0.2,,0.3,,,,,,,,,21.106382978723403,11.127659574468085,32.333333333333336,33.1468085106383,,,,,,,,,
2016-01-08,,,6.630935251798562,12.0,46.81481481481482,33.479856115107914,0.2,,0.3,,,,,,,,,24.64375,10.854166666666666,48.2,32.99375,,,,,,,,,
2016-01-09,,,8.600714285714284,12.0,45.4054054054054,33.5,0.1,,0.2,,,,,,,,,28.516666666666666,10.458333333333334,45.4,32.922916666666666,,,,,,,,,
2016-01-10,,,8.608391608391608,12.0,36.23076923076923,33.45594405594405,0.2,,0.3,,,,,,,,,31.327906976744185,10.395348837209303,37.5,33.051162790697674,,,,,,,,,
2016-01-11,,,8.950704225352112,12.0,38.82142857142857,33.394366197183096,0.2,,0.2,,,,,,,,,33.479166666666664,10.395833333333334,57.25,33.104166666666664,,,,,,,,,
2016-01-12,,,7.301408450704225,11.82394366197183,42.89655172413793,33.3,0.2,,0.3,,,,,,,,,38.166666666666664,10.4375,25.333333333333332,33.09583333333333,,,,,,,,,
2016-01-13,,,8.494444444444445,11.159722222222221,40.916666666666664,32.93611111111111,0.2,,0.3,,,,,,,,,36.97708333333333,10.229166666666666,29.333333333333332,32.833333333333336,,,,,,,,,
2016-01-14,,,8.924475524475525,11.062937062937063,52.71875,33.08111888111888,0.2,,0.3,,,,,,,,,34.16382978723404,10.042553191489361,54.0,32.810638297872345,,,,,,,,,
2016-01-15,,,7.136363636363637,11.356643356643357,49.93023255813954,33.116083916083916,0.2,,0.3,,,,,,,,,27.650000000000002,10.0,51.5,32.81458333333334,,,,,,,,,
2016-01-16,,,5.53986013986014,11.622377622377622,37.85294117647059,33.11468531468532,0.1,,0.2,,,,,,,,,21.29375,9.958333333333334,48.75,32.920833333333334,,,,,,,,,
2016-01-17,,,5.491666666666666,12.0,52.3,33.056250000000006,0.6,,0.9,,,,,,,,,17.566666666666666,10.0,18.0,32.93125,,,,,,,,,
2016-01-18,,,4.931654676258993,11.920863309352518,44.65853658536585,32.841007194244604,0.2,,0.3,,,,,,,,,18.172916666666666,9.875,42.6,32.954166666666666,,,,,,,,,
2016-01-19,,,5.059574468085106,11.0,43.208333333333336,32.765248226950355,0.2,,0.3,,,,,,,,,22.337500000000002,9.1875,41.0,32.925000000000004,,,,,,,,,
2016-01-20,,,6.553237410071942,10.899280575539569,44.93939393939394,32.630215827338134,0.3,,0.4,,,,,,,,,18.204166666666666,8.916666666666666,41.285714285714285,32.925000000000004,,,,,,,,,
2016-01-21,,,5.767375886524823,10.0,57.95652173913044,32.44751773049645,0.3,,0.4,,,,,,,,,21.506249999999998,8.75,,32.797916666666666,,,,,,,,,
2016-01-22,,,4.453521126760563,10.0,42.80555555555556,32.29014084507042,0.3,,0.4,,,,,,,,,25.43958333333333,8.75,45.5,32.916666666666664,,,,,,,,,
2016-01-23,,,5.6678832116788325,10.0,37.8,32.14744525547445,0.2,,0.4,,,,,,,,,28.089583333333334,8.708333333333334,40.285714285714285,33.012499999999996,,,,,,,,,
2016-01-24,,,6.0197183098591545,9.80281690140845,35.05263157894737,32.16267605633803,0.2,,0.3,,,,,,,,,36.141666666666666,8.604166666666666,43.0,33.06458333333333,,,,,,,,,
2016-01-25,,,7.6218309859154925,9.04225352112676,35.17857142857143,32.07887323943662,0.2,,0.3,,,,,,,,,33.02708333333333,8.145833333333334,19.5,32.979166666666664,,,,,,,,,
2016-01-26,,,7.126950354609929,9.390070921985815,50.4375,31.95886524822695,0.2,,0.3,,,,,,,,,33.93958333333333,8.020833333333334,50.333333333333336,32.97708333333333,,,,,,,,,
2016-01-27,,,7.766901408450705,10.0,44.432432432432435,31.820422535211268,0.2,,0.3,,,,,,,,,31.48125,7.895833333333333,47.0,32.90208333333333,,,,,,,,,
2016-01-28,,,5.379710144927536,10.130434782608695,38.8,31.597826086956523,0.2,,0.3,,,,,,,,,28.066666666666666,7.770833333333333,50.2,32.833333333333336,,,,,,,,,
2016-01-29,,,5.254929577464789,11.014084507042254,47.707317073170735,31.2056338028169,0.6,,0.8,,,,,,,,,24.922916666666666,7.916666666666667,61.333333333333336,32.725,,,,,,,,,
2016-01-30,,,4.920289855072464,11.195652173913043,44.21153846153846,30.693478260869565,0.6,,0.8,,,,,,,,,20.466666666666665,8.0625,24.571428571428573,32.606249999999996,,,,,,,,,
2016-01-31,,,2.0,11.0,,30.4,0.2,,0.2,,,,,,,,,14.9,9.0,8.0,32.6,,,,,,,,,
2016-02-01,,,5.390780141843972,10.609929078014185,49.785714285714285,32.258156028368795,0.2,,0.3,,,,,,,,,11.604166666666666,8.458333333333334,46.333333333333336,32.40625,,,,,,,,,
2016-02-02,,,5.045323741007194,10.172661870503598,45.19512195121951,32.17625899280576,0.2,,0.3,,,,,,,,,8.885416666666666,8.333333333333334,43.833333333333336,32.43541666666666,,,,,,,,,
2016-02-03,,,4.667361111111111,10.131944444444445,44.30769230769231,31.90277777777778,0.2,,0.3,,,,,,,,,8.247916666666667,8.375,41.4,32.487500000000004,,,,,,,,,
2016-02-04,,,4.618439716312057,10.666666666666666,44.265306122448976,31.51985815602837,0.2,,0.2,,,,,,,,,11.052083333333334,8.708333333333334,40.25,32.60208333333333,,,,,,,,,
2016-02-05,,,4.606993006993006,11.0,48.97872340425532,31.072027972027975,0.2,,0.2,,,,,,,,,16.664583333333333,8.354166666666666,37.0,32.40625,,,,,,,,,
2016-02-06,,,5.965248226950354,10.72340425531915,45.61538461538461,30.73829787234043,0.2,,0.3,,,,,,,,,21.985416666666666,7.833333333333333,21.571428571428573,32.11875,,,,,,,,,
2016-02-07,,,7.409722222222222,10.13888888888889,41.46666666666667,30.53194444444445,0.4,,0.6,,,,,,,,,29.118750000000002,7.979166666666667,60.0,32.03333333333333,,,,,,,,,
2016-02-08,,,11.504255319148935,10.184397163120567,44.28358208955224,30.26241134751773,0.3,,0.4,,,,,,,,,32.889583333333334,7.645833333333333,16.4,31.785416666666666,,,,,,,,,
2016-02-09,,,10.475714285714284,10.414285714285715,56.4,29.964285714285715,0.3,,0.5,,,,,,,,,37.791666666666664,7.520833333333333,21.666666666666668,31.787499999999998,,,,,,,,,
2016-02-10,,,11.902112676056337,10.02112676056338,38.027027027027025,29.48661971830986,0.2,,0.2,,,,,,,,,42.927083333333336,7.604166666666667,28.5,31.833333333333332,,,,,,,,,
2016-02-11,,,9.10212765957447,10.01418439716312,36.333333333333336,28.99432624113475,0.3,,0.4,,,,,,,,,44.33541666666667,7.770833333333333,44.0,31.677083333333332,,,,,,,,,
2016-02-14,,,7.384615384615385,11.0,45.8,26.18881118881119,0.4,,0.6,,,,,,,,,26.860416666666666,8.291666666666666,42.63636363636363,31.29375,,,,,,,,,
2016-02-15,,,5.222535211267606,11.0,50.371428571428574,25.092805755395684,0.2,,0.4,,,,,,,,,22.25208333333333,7.979166666666667,49.333333333333336,31.120833333333334,,,,,,,,,
2016-02-16,,,4.356643356643357,11.0,41.483870967741936,24.374825174825173,0.3,,0.4,,,,,,,,,13.302083333333334,8.229166666666666,57.25,31.147916666666664,,,,,,,,,
2016-02-17,,,4.650354609929078,11.0,54.535714285714285,23.53687943262411,0.3,,0.4,,,,,,,,,13.072916666666666,7.958333333333333,38.5,30.974999999999998,,,,,,,,,
2016-02-18,,,4.503496503496503,11.0,49.76470588235294,22.664335664335663,0.2,,0.3,,,,,,,,,14.334042553191491,7.957446808510638,30.5,30.804255319148936,,,,,,,,,
2016-02-19,,,4.414184397163121,11.0,41.717948717948715,25.400000000000002,0.2,,0.3,,,,,,,,,17.258333333333333,7.979166666666667,,30.59166666666667,,,,,,,,,
2016-02-20,,,4.561151079136691,11.0,42.59375,27.792805755395683,0.2,,0.4,,,,,,,,,25.864583333333332,8.145833333333334,34.5,30.620833333333334,,,,,,,,,
2016-02-21,,,4.835714285714285,11.0,43.8125,27.60571428571429,0.2,,0.3,,,,,,,,,25.79148936170213,8.191489361702128,36.166666666666664,30.448936170212765,,,,,,,,,
2016-02-22,,,5.1457746478873245,11.0,36.63461538461539,27.504929577464786,0.2,,0.3,,,,,,,,,28.25238095238095,8.340425531914894,32.5,31.370212765957447,,,,,,,,,
2016-02-23,,,5.6387323943661976,11.0,57.69565217391305,27.585915492957746,0.2,,0.2,,,,,,,,,30.464583333333334,8.458333333333334,57.0,33.427083333333336,,,,,,,,,
2016-02-24,,,6.134883720930232,11.0,38.58064516129032,27.88294573643411,0.3,,0.4,,,,,,,,,37.81395348837209,8.418604651162791,85.0,33.46976744186047,,,,,,,,,
2016-02-25,,,5.276404494382023,11.0,38.56521739130435,28.76067415730337,0.2,,0.3,,,,,,,,,30.26896551724138,8.5,,33.54,,,,,,,,,
2016-02-26,,,5.745360824742267,11.0,43.89655172413793,28.7659793814433,0.2,,0.3,,,,,,,,,28.875757575757575,8.666666666666666,72.0,33.53030303030303,,,,,,,,,
2016-02-27,,,5.3847826086956525,11.0,54.22222222222222,29.053623188405798,0.3,,0.5,,,,,,,,,25.58125,8.541666666666666,36.666666666666664,33.49166666666667,,,,,,,,,
2016-02-28,,,4.23021582733813,11.354609929078014,56.54545454545455,28.7,0.3,,0.4,,,,,,,,,20.875,8.5,41.0,33.479166666666664,,,,,,,,,
2016-03-01,,,5.222142857142857,11.0,48.07692307692308,28.728571428571428,0.2,,0.3,,,,,,,,,15.164583333333333,8.166666666666666,,33.479166666666664,,,,,,,,,
2016-03-02,,,0.6,11.0,3.0,29.5,0.2,,0.2,,,,,,,,,7.2,8.0,,33.5,,,,,,,,,
2016-03-03,,,5.443262411347518,11.0,51.32142857142857,29.46808510638298,0.2,,0.3,,,,,,,,,7.33125,8.5,,33.52916666666667,,,,,,,,,
2016-03-04,,,5.145833333333333,11.0,65.19047619047619,29.248611111111114,0.2,,0.3,,,,,,,,,9.770833333333334,8.729166666666666,,33.475,,,,,,,,,
2016-03-05,,,4.069718309859155,11.0,45.5,29.04718309859155,0.4,,0.5,,,,,,,,,15.145833333333334,8.708333333333334,74.5,33.2875,,,,,,,,,
2016-03-06,,,6.809859154929577,11.169014084507042,54.44444444444444,29.08943661971831,0.4,,0.6,,,,,,,,,20.14375,8.916666666666666,39.25,33.24166666666667,,,,,,,,,
2016-03-07,,,6.621276595744681,12.0,40.27777777777778,28.68794326241135,0.2,,0.3,,,,,,,,,29.84375,9.583333333333334,53.4,31.979166666666668,,,,,,,,,
2016-03-08,,,7.6006993006993016,12.0,58.76923076923077,28.36923076923077,0.2,,0.3,,,,,,,,,32.738297872340425,9.446808510638299,19.5,32.4404255319149,,,,,,,,,
2016-03-09,,,9.468571428571428,12.0,52.63157894736842,28.34,0.4,,0.6,,,,,,,,,41.643750000000004,9.354166666666666,49.666666666666664,32.858333333333334,,,,,,,,,
2016-03-10,,,7.5282608695652184,12.0,49.074074074074076,28.056521739130435,0.3,,0.5,,,,,,,,,41.175000000000004,9.4375,43.6,32.983333333333334,,,,,,,,,
2016-03-11,,,7.656934306569343,12.0,46.36666666666667,27.67173913043478,0.2,,0.4,,,,,,,,,43.56041666666667,9.4375,39.0,33.114583333333336,,,,,,,,,
2016-03-12,,,6.614084507042254,12.0,54.25714285714286,27.32183098591549,0.2,,0.3,,,,,,,,,39.699999999999996,9.479166666666666,49.0,33.12708333333333,,,,,,,,,
2016-03-13,,,5.668749999999999,12.0,56.714285714285715,26.995833333333334,0.2,,0.3,,,,,,,,,30.912499999999998,9.3125,50.0,33.114583333333336,,,,,,,,,
2016-03-14,,,5.424647887323943,12.0,46.535714285714285,26.61338028169014,0.2,,0.3,,,,,,,,,24.520833333333332,9.333333333333334,40.0,33.12083333333333,,,,,,,,,
2016-03-15,,,6.0680555555555555,12.0,49.05128205128205,26.852083333333333,0.2,,0.3,,,,,,,,,15.96875,9.5,10.0,33.114583333333336,,,,,,,,,
2016-03-16,,,4.998571428571428,12.0,50.608695652173914,27.487857142857145,0.2,,0.3,,,,,,,,,9.674999999999999,9.8125,5.0,33.114583333333336,,,,,,,,,
2016-03-17,,,4.373239436619718,12.0,43.638888888888886,27.265492957746478,0.1,,0.2,,,,,,,,,9.779166666666667,9.6875,,33.0875,,,,,,,,,
2016-03-18,,,5.071328671328672,12.0,46.266666666666666,26.572727272727274,0.3,,0.5,,,,,,,,,12.052083333333334,10.0,24.0,32.99166666666667,,,,,,,,,
2016-03-19,,,4.840714285714286,12.0,53.42857142857143,25.88142857142857,0.3,,0.5,,,,,,,,,15.25,9.958333333333334,83.0,32.922916666666666,,,,,,,,,
2016-03-20,,,5.494890510948904,12.0,57.23529411764706,25.41751824817518,0.3,,0.4,,,,,,,,,18.716666666666665,10.270833333333334,84.8,33.00833333333333,,,,,,,,,
