date,examinLcDetail,ecoli_max,enterococcus_max
2015-09-21,,41.0,1.0
2015-09-21,,74.0,10.0
2015-09-21,,20.0,5.0
2015-08-04,,73.0,21.0
2015-08-04,,72.0,26.0
2015-08-04,,320.0,37.0
2015-07-28,,140.0,1.0
2015-07-28,,52.0,1.0
2015-07-28,,1.0,5.0
2015-07-16,,98.0,21.0
2015-07-16,,63.0,10.0
2015-07-16,,63.0,10.0
2015-07-02,,130.0,1.0
2015-07-02,,220.0,1.0
2015-07-02,,330.0,16.0
2016-10-04,,85.0,10.0
2016-10-04,,120.0,10.0
2016-10-04,,85.0,21.0
2016-08-22,,97.0,26.0
2016-08-22,,210.0,26.0
2016-08-22,,41.0,5.0
2016-08-17,,250.0,15.0
2016-08-17,,290.0,16.0
2016-08-17,,480.0,16.0
2016-08-09,,41.0,10.0
2016-08-09,,96.0,10.0
2016-08-09,,150.0,15.0
2016-07-26,,41.0,5.0
2016-07-26,,84.0,15.0
2016-07-26,,52.0,1.0
2016-07-19,,31.0,21.0
2016-07-19,,10.0,37.0
2016-07-19,,1.0,31.0
2016-07-11,,52.0,15.0
2016-07-11,,740.0,150.0
2016-07-11,,480.0,60.0
2016-05-12,,650.0,21.0
2016-05-12,,241.0,10.0
2016-05-12,,345.0,21.0
2017-07-13,인명구조장비함앞,10.0,31.0
2017-07-13,중앙주차장앞,10.0,41.0
2017-07-13,동편두번째돌계단,15.0,30.0
2017-07-07,인명구조장비함앞,10.0,75.0
2017-07-07,중앙주차장앞,10.0,97.0
2017-07-07,동편두번째돌계단,16.0,108.0
2017-06-09,인명구조장비함앞,26.0,121.0
2017-06-09,중앙주차장앞,21.0,52.0
2017-06-09,동편두번째돌계단,21.0,63.0
2017-05-15,,121.0,26.0
2017-05-15,,52.0,21.0
2017-05-15,,63.0,21.0
2018-09-12,인면구조장비함앞,638.0,138.0
2018-09-12,중앙공영주차장앞,309.0,86.0
2018-09-12,두번째돌계단앞,183.0,72.0
2018-08-22,인면구조장비함앞,20.0,21.0
2018-08-22,중앙공영주차장앞,41.0,16.0
2018-08-22,두번째돌계단앞,74.0,21.0
2018-08-09,인면구조장비함앞,41.0,5.0
2018-08-09,중앙공영주차장앞,120.0,10.0
2018-08-09,두번째돌계단앞,52.0,1.0
2018-08-02,인면구조장비함앞,84.0,5.0
2018-08-02,중앙공영주차장앞,41.0,1.0
2018-08-02,두번째돌계단앞,20.0,5.0
2018-07-26,인면구조장비함앞,399.0,116.0
2018-07-26,중앙공영주차장앞,355.0,95.0
2018-07-26,두번째돌계단앞,399.0,32.0
2018-07-19,인면구조장비함앞,30.0,10.0
2018-07-19,중앙공영주차장앞,10.0,1.0
2018-07-19,두번째돌계단앞,52.0,1.0
2018-06-04,인면구조장비함앞,345.0,21.0
2018-06-04,중앙공영주차장앞,291.0,21.0
2018-06-04,두번째돌계단앞,292.0,536.0
2018-06-04,인면구조장비함앞,62.0,5.0
2018-06-04,중앙공영주차장앞,97.0,5.0
2018-06-04,두번째돌계단앞,86.0,1.0
2019-09-25,A,2987.0,1038.0
2019-09-25,B,238.0,93.0
2019-09-25,C,256.0,95.0
2019-08-20,A,1.0,1.0
2019-08-20,B,1.0,1.0
2019-08-20,C,1.0,5.0
2019-08-13,A,1.0,1.0
2019-08-13,B,1.0,5.0
2019-08-13,C,1.0,1.0
2019-08-01,A,1.0,1.0
2019-08-01,B,1.0,1.0
2019-08-01,C,1.0,1.0
2019-07-16,A,63.0,93.0
2019-07-16,B,62.0,269.0
2019-07-16,C,63.0,430.0
2019-07-09,A,20.0,433.0
2019-07-09,B,20.0,362.0
2019-07-09,C,20.0,86.0
2019-06-17,A,1.0,10.0
2019-06-17,B,1.0,10.0
2019-06-17,C,20.0,1.0
2020-09-15,A,638.0,1180.0
2020-09-15,B,8164.0,12098.0
2020-09-15,C,161.0,3066.0
2020-08-19,A,1.0,1.0
2020-08-19,B,1.0,1.0
2020-08-19,C,1.0,1.0
2020-08-14,A,41.0,26.0
2020-08-14,B,20.0,5.0
2020-08-14,C,20.0,1.0
2020-08-04,A,1.0,15.0
2020-08-04,B,1.0,5.0
2020-08-04,C,1.0,15.0
2020-07-21,A,86.0,5.0
2020-07-21,B,31.0,16.0
2020-07-21,C,86.0,16.0
2020-07-17,A,10.0,1.0
2020-07-17,B,20.0,10.0
2020-07-17,C,41.0,1.0
2020-07-09,A,10.0,10.0
2020-07-09,B,20.0,10.0
2020-07-09,C,10.0,1.0
2020-06-17,A,135.0,10.0
2020-06-17,B,135.0,1.0
2020-06-17,C,86.0,48.0
2021-09-29,다대B,10.0,20.0
2021-09-29,다대C,5.0,10.0
2021-08-31,,1.0,1.0
2021-08-31,,1.0,10.0
2021-08-31,,10.0,5.0
2021-08-10,,1.0,1.0
2021-08-10,,52.0,26.0
2021-08-10,,41.0,5.0
2021-08-03,,1.0,10.0
2021-08-03,,1.0,5.0
2021-08-03,,1.0,1.0
2021-07-29,,10.0,1.0
2021-07-29,,1.0,1.0
2021-07-29,,41.0,1.0
2021-07-22,,1467.0,135.0
2021-07-22,,2486.0,92.0
2021-07-22,,2755.0,162.0
2021-07-15,,10.0,5.0
2021-07-15,,1.0,1.0
2021-07-15,,10.0,1.0
2021-06-08,,11199.0,1.0
2021-06-08,,9208.0,1.0
2021-06-08,,8164.0,1.0
2022-09-26,,63.0,10.0
2022-09-26,,246.0,10.0
2022-09-26,,74.0,26.0
2022-08-30,,110.0,43.0
2022-08-30,,75.0,32.0
2022-08-30,,74.0,10.0
2022-08-16,,41.0,48.0
2022-08-16,,155.0,42.0
2022-08-16,,20.0,42.0
2022-08-09,,1.0,87.0
2022-08-09,,1.0,68.0
2022-08-09,,1.0,89.0
2022-07-26,,10.0,5.0
2022-07-26,,20.0,1.0
2022-07-26,,10.0,5.0
2022-07-20,,10.0,10.0
2022-07-20,,30.0,5.0
2022-07-20,,1.0,1.0
2022-07-07,,20.0,5.0
2022-07-07,,1.0,5.0
2022-07-07,,1.0,1.0
2022-06-13,다대포A,20.0,10.0
2022-06-13,다대포B,5.0,1.0
2022-06-13,다대포C,16.0,1.0
2023-09-12,다대포 A2,15.0,1.0
2023-09-12,다대포 B2,21.0,1.0
2023-09-12,다대포 C2,5.0,31.0
2023-08-28,다대포 A2,441.0,223.0
2023-08-28,다대포 B2,277.0,238.0
2023-08-28,다대포 C2,319.0,169.0
2023-08-16,다대포 A1,910.0,605.0
2023-08-16,다대포 B2,1032.0,638.0
2023-08-16,다대포 C2,1715.0,958.0
2023-08-08,다대포  A1,26.0,20.0
2023-08-08,다대포  B1,49.0,63.0
2023-08-08,다대포  C1,21.0,41.0
2023-08-01,다대포 A1,21.0,10.0
2023-08-01,다대포 B1,31.0,10.0
2023-08-01,다대포 C1,67.0,31.0
2023-07-27,다대포 A2,5.0,1.0
2023-07-27,다대포 B2,5.0,10.0
2023-07-27,다대포 C2,16.0,10.0
2023-07-19,다대A2,11008.0,26490.0
2023-07-19,다대B2,8742.0,26490.0
2023-07-19,다대C2,15830.0,39575.0
2023-07-04,다대포 A2,36.0,428.0
2023-07-04,다대포 B2,32.0,226.0
2023-07-04,다대포 C2,241.0,1785.0
2023-06-07,다대포A,5.0,10.0
2023-06-07,다대포B,26.0,10.0
2023-06-07,다대포C,1.0,20.0
2024-09-05,a2,5.0,74.0
2024-09-05,b2,37.0,41.0
2024-09-05,c2,16.0,63.0
2024-08-19,a1,79.0,1.0
2024-08-19,b1,80.0,41.0
2024-08-19,c1,61.0,63.0
2024-08-09,a1,26.0,262.0
2024-08-09,b1,48.0,292.0
2024-08-09,c1,37.0,288.0
2024-07-29,a1,16.0,109.0
2024-07-29,b1,43.0,63.0
2024-07-29,c1,55.0,131.0
2024-07-22,a1,79.0,148.0
2024-07-22,b2,95.0,201.0
2024-07-22,c1,86.0,171.0
2024-07-08,A1,77.0,122.0
2024-07-08,B2,37.0,52.0
2024-07-08,c1,48.0,98.0
2024-07-04,A1,220.0,620.0
2024-07-04,B2,87.0,446.0
2024-07-04,c2,84.0,459.0
2024-06-04,a1,1.0,31.0
2024-06-04,b1,5.0,63.0
2024-06-04,c1,5.0,73.0
2025-09-02,A2,85.0,1.0
2025-09-02,B2,41.0,21.0
2025-09-02,C2,41.0,5.0
2025-08-26,A2,160.0,5.0
2025-08-26,B2,108.0,5.0
2025-08-26,C2,108.0,1.0
2025-08-18,A2,1.0,1.0
2025-08-18,B2,1.0,1.0
2025-08-18,C2,1.0,1.0
2025-07-30,A2,87.0,75.0
2025-07-30,B2,93.0,121.0
2025-07-30,C2,42.0,74.0
2025-07-14,"A-1,A-2",52.0,10.0
2025-07-14,"A-1,A-2",1.0,26.0
2025-07-14,"B-1,B-2",75.0,10.0
2025-07-14,"B-1,B-2",10.0,21.0
2025-07-14,"C-1,C-2",41.0,16.0
2025-07-14,"C-1,C-2",110.0,16.0
2025-07-03,"A-1,A-2",75.0,10.0
2025-07-03,"A-1,A-2",63.0,15.0
2025-07-03,"B-1,B-2",63.0,1.0
2025-07-03,"B-1,B-2",135.0,1.0
2025-07-03,"C-1,C-2",63.0,1.0
2025-07-03,"C-1,C-2",63.0,1.0
2025-06-11,"A-1,A-2",1.0,1.0
2025-06-11,"A-1,A-2",1.0,1.0
