date,sewage_discharge
2014-01-01,285194.0
2014-01-02,297430.0
2014-01-03,309761.0
2014-01-04,311541.0
2014-01-05,284320.0
2014-01-06,305873.0
2014-01-07,319940.0
2014-01-08,397690.0
2014-01-09,323649.0
2014-01-10,309503.0
2014-01-11,313926.0
2014-01-12,285112.0
2014-01-13,289970.0
2014-01-14,301083.0
2014-01-15,301807.0
2014-01-16,310454.0
2014-01-17,327510.0
2014-01-18,311854.0
2014-01-19,294339.0
2014-01-20,296042.0
2014-01-21,317358.0
2014-01-22,312797.0
2014-01-23,326651.0
2014-01-24,329817.0
2014-01-25,321109.0
2014-01-26,290284.0
2014-01-27,307028.0
2014-01-28,316940.0
2014-01-29,324315.0
2014-01-30,327189.0
2014-01-31,265598.0
2014-02-01,274088.0
2014-02-02,298434.0
2014-02-03,296555.0
2014-02-04,302527.0
2014-02-05,296913.0
2014-02-06,293843.0
2014-02-07,335896.0
2014-02-08,374514.0
2014-02-09,285107.0
2014-02-10,294795.0
2014-02-11,303141.0
2014-02-12,321451.0
2014-02-13,320338.0
2014-02-14,320143.0
2014-02-15,321483.0
2014-02-16,299740.0
2014-02-17,326774.0
2014-02-18,348855.0
2014-02-19,321465.0
2014-02-20,323610.0
2014-02-21,328821.0
2014-02-22,317858.0
2014-02-23,299122.0
2014-02-24,315188.0
2014-02-25,326226.0
2014-02-26,378827.0
2014-02-27,414694.0
2014-02-28,348645.0
2014-03-01,342453.0
2014-03-02,318535.0
2014-03-03,316281.0
2014-03-04,330511.0
2014-03-05,334062.0
2014-03-06,322230.0
2014-03-07,323330.0
2014-03-08,329303.0
2014-03-09,297353.0
2014-03-10,313094.0
2014-03-11,327843.0
2014-03-12,371302.0
2014-03-13,527454.0
2014-03-14,410272.0
2014-03-15,391336.0
2014-03-16,345559.0
2014-03-17,351240.0
2014-03-18,367753.0
2014-03-19,345637.0
2014-03-20,403980.0
2014-03-21,361288.0
2014-03-22,347382.0
2014-03-23,318007.0
2014-03-24,333126.0
2014-03-25,365679.0
2014-03-26,491927.0
2014-03-27,414851.0
2014-03-28,394621.0
2014-03-29,409513.0
2014-03-30,515738.0
2014-03-31,456081.0
2014-04-01,423672.0
2014-04-02,391176.0
2014-04-03,383302.0
2014-04-04,408278.0
2014-04-05,354408.0
2014-04-06,317011.0
2014-04-07,355661.0
2014-04-08,358197.0
2014-04-09,366539.0
2014-04-10,351584.0
2014-04-11,349594.0
2014-04-12,340079.0
2014-04-13,353605.0
2014-04-14,340281.0
2014-04-15,351623.0
2014-04-16,352796.0
2014-04-17,401997.0
2014-04-18,445604.0
2014-04-19,375200.0
2014-04-20,316745.0
2014-04-21,355716.0
2014-04-22,342097.0
2014-04-23,347305.0
2014-04-24,340027.0
2014-04-25,341147.0
2014-04-26,318952.0
2014-04-27,296161.0
2014-04-28,507340.0
2014-04-29,530622.0
2014-04-30,456053.0
2014-05-01,400672.0
2014-05-02,378781.0
2014-05-03,357100.0
2014-05-04,307719.0
2014-05-05,326903.0
2014-05-06,321882.0
2014-05-07,336460.0
2014-05-08,370687.0
2014-05-09,343835.0
2014-05-10,322186.0
2014-05-11,295832.0
2014-05-12,539021.0
2014-05-13,525058.0
2014-05-14,454037.0
2014-05-15,419602.0
2014-05-16,399173.0
2014-05-17,390449.0
2014-05-18,353511.0
2014-05-19,371311.0
2014-05-20,392575.0
2014-05-21,375250.0
2014-05-22,364180.0
2014-05-23,334298.0
2014-05-24,322136.0
2014-05-25,331597.0
2014-05-26,482897.0
2014-05-27,354559.0
2014-05-28,338252.0
2014-05-29,350250.0
2014-05-30,357610.0
2014-05-31,337831.0
2014-06-01,304269.0
2014-06-02,345119.0
2014-06-03,451334.0
2014-06-04,356640.0
2014-06-05,353270.0
2014-06-06,332930.0
2014-06-07,329197.0
2014-06-08,285715.0
2014-06-09,316555.0
2014-06-10,340785.0
2014-06-11,371956.0
2014-06-12,393324.0
2014-06-13,421355.0
2014-06-14,356205.0
2014-06-15,321862.0
2014-06-16,323833.0
2014-06-17,331754.0
2014-06-18,356259.0
2014-06-19,350275.0
2014-06-20,352639.0
2014-06-21,334855.0
2014-06-22,304340.0
2014-06-23,333977.0
2014-06-24,348179.0
2014-06-25,347290.0
2014-06-26,349793.0
2014-06-27,340380.0
2014-06-28,342808.0
2014-06-29,314239.0
2014-06-30,326512.0
2014-07-01,363670.0
2014-07-02,364175.0
2014-07-03,530167.0
2014-07-04,398586.0
2014-07-05,362996.0
2014-07-06,340269.0
2014-07-07,365456.0
2014-07-08,456821.0
2014-07-09,420024.0
2014-07-10,427415.0
2014-07-11,393585.0
2014-07-12,385456.0
2014-07-13,458611.0
2014-07-14,411272.0
2014-07-15,377279.0
2014-07-16,419659.0
2014-07-17,469194.0
2014-07-18,503009.0
2014-07-19,525559.0
2014-07-20,478497.0
2014-07-21,401690.0
2014-07-22,409521.0
2014-07-23,391364.0
2014-07-24,381253.0
2014-07-25,397364.0
2014-07-26,397364.0
2014-07-27,327153.0
2014-07-28,336724.0
2014-07-29,362015.0
2014-07-30,355601.0
2014-07-31,348215.0
2014-08-01,326413.0
2014-08-02,384965.0
2014-08-03,550158.0
2014-08-04,543531.0
2014-08-05,549231.0
2014-08-06,539040.0
2014-08-07,515562.0
2014-08-08,465991.0
2014-08-09,454554.0
2014-08-10,430353.0
2014-08-11,482256.0
2014-08-12,418615.0
2014-08-13,404040.0
2014-08-14,509803.0
2014-08-15,539568.0
2014-08-16,543947.0
2014-08-17,490090.0
2014-08-18,559827.0
2014-08-19,573652.0
2014-08-20,573674.0
2014-08-21,571504.0
2014-08-22,555886.0
2014-08-23,541559.0
2014-08-24,476940.0
2014-08-25,557207.0
2014-08-26,574773.0
