examinDe,beachKoreanNm,examinLcDetail,distance_from_estuary_km,ecoli_max,enterococcus_max,any_exceed
2015-09-21,광안리,,0.0,20.0,0.5,False
2015-09-21,광안리,,0.0,10.0,0.5,False
2015-09-21,광안리,,0.0,0.5,0.5,False
2015-09-21,광안리,,0.0,10.0,5.0,False
2015-09-21,광안리,,0.0,10.0,5.0,False
2015-08-04,광안리,,0.0,52.0,0.5,False
2015-08-04,광안리,,0.0,10.0,0.5,False
2015-08-04,광안리,,0.0,0.5,0.5,False
2015-08-04,광안리,,0.0,0.5,0.5,False
2015-08-04,광안리,,0.0,0.5,0.5,False
2015-07-28,광안리,,0.0,0.5,5.0,False
2015-07-28,광안리,,0.0,0.5,0.5,False
2015-07-28,광안리,,0.0,10.0,0.5,False
2015-07-28,광안리,,0.0,10.0,0.5,False
2015-07-28,광안리,,0.0,63.0,5.0,False
2015-07-16,광안리,,0.0,63.0,0.5,False
2015-07-16,광안리,,0.0,96.0,5.0,False
2015-07-16,광안리,,0.0,62.0,5.0,False
2015-07-16,광안리,,0.0,130.0,0.5,False
2015-07-16,광안리,,0.0,75.0,5.0,False
2015-07-02,광안리,,0.0,90.0,0.5,False
2015-07-02,광안리,,0.0,190.0,0.5,False
2015-07-02,광안리,,0.0,62.0,10.0,False
2015-07-02,광안리,,0.0,160.0,21.0,False
2015-07-02,광안리,,0.0,70.0,5.0,False
2016-10-04,광안리,,0.0,470.0,43.0,False
2016-10-04,광안리,,0.0,290.0,49.0,False
2016-10-04,광안리,,0.0,230.0,86.0,False
2016-10-04,광안리,,0.0,330.0,92.0,False
2016-10-04,광안리,,0.0,390.0,93.0,False
2016-09-07,광안리,,0.0,260.0,16.0,False
2016-09-07,광안리,,0.0,10.0,26.0,False
2016-09-07,광안리,,0.0,30.0,26.0,False
2016-09-07,광안리,,0.0,10.0,16.0,False
2016-09-07,광안리,,0.0,20.0,21.0,False
2016-08-22,광안리,,0.0,20.0,5.0,False
2016-08-22,광안리,,0.0,10.0,,False
2016-08-22,광안리,,0.0,63.0,5.0,False
2016-08-22,광안리,,0.0,41.0,10.0,False
2016-08-22,광안리,,0.0,31.0,5.0,False
2016-08-17,광안리,,0.0,240.0,26.0,False
2016-08-17,광안리,,0.0,52.0,5.0,False
2016-08-17,광안리,,0.0,31.0,,False
2016-08-17,광안리,,0.0,41.0,10.0,False
2016-08-17,광안리,,0.0,31.0,10.0,False
2016-08-09,광안리,,0.0,110.0,43.0,False
2016-08-09,광안리,,0.0,52.0,5.0,False
2016-08-09,광안리,,0.0,20.0,38.0,False
2016-08-09,광안리,,0.0,51.0,10.0,False
2016-08-09,광안리,,0.0,1300.0,110.0,True
2016-07-26,광안리,,0.0,30.0,0.5,False
2016-07-26,광안리,,0.0,10.0,0.5,False
2016-07-26,광안리,,0.0,0.5,5.0,False
2016-07-26,광안리,,0.0,10.0,0.5,False
2016-07-26,광안리,,0.0,61.0,5.0,False
2016-07-19,광안리,,0.0,41.0,16.0,False
2016-07-19,광안리,,0.0,31.0,10.0,False
2016-07-19,광안리,,0.0,10.0,15.0,False
2016-07-19,광안리,,0.0,31.0,48.0,False
2016-07-19,광안리,,0.0,0.5,21.0,False
2016-07-11,광안리,,0.0,240.0,38.0,False
2016-07-11,광안리,,0.0,320.0,87.0,False
2016-07-11,광안리,,0.0,320.0,26.0,False
2016-07-11,광안리,,0.0,300.0,38.0,False
2016-07-11,광안리,,0.0,410.0,66.0,False
2016-05-12,광안리,,0.0,10.0,0.5,False
2016-05-12,광안리,,0.0,0.5,5.0,False
2016-05-12,광안리,,0.0,0.5,0.5,False
2016-05-12,광안리,,0.0,0.5,5.0,False
2016-05-12,광안리,,0.0,246.0,5.0,False
2017-09-20,광안리,고마대구탕,0.5,156.0,21.0,False
2017-09-20,광안리,썬시티모텔,0.5,52.0,21.0,False
2017-09-20,광안리,투썸플레이스(비치비키니),0.5,41.0,26.0,False
2017-09-20,광안리,아쿠리아팰리스호텔삼거리앞,0.5,41.0,10.0,False
2017-09-20,광안리,칠성횟집(라스코스웨딩홀),0.5,63.0,37.0,False
2017-09-04,광안리,썬시티모텔,0.5,20.0,10.0,False
2017-09-04,광안리,투썸플레이스(비치비키니),0.5,31.0,5.0,False
2017-09-04,광안리,아쿠리아팰리스호텔삼거리앞,0.5,41.0,5.0,False
2017-09-04,광안리,칠성횟집(라스코스웨딩홀),0.5,41.0,10.0,False
2017-08-23,광안리,고마대구탕,0.5,452.0,67.0,False
2017-08-23,광안리,썬시티모텔,0.5,345.0,43.0,False
2017-08-23,광안리,투썸플레이스(비치비키니),0.5,288.0,49.0,False
2017-08-23,광안리,아쿠리아팰리스호텔삼거리앞,0.5,393.0,66.0,False
2017-08-23,광안리,칠성횟집(라스코스웨딩홀),0.5,301.0,73.0,False
2017-08-17,광안리,고마대구탕,0.5,20.0,10.0,False
2017-08-17,광안리,썬시티모텔,0.5,31.0,15.0,False
2017-08-17,광안리,투썸플레이스(비치비키니),0.5,63.0,21.0,False
2017-08-17,광안리,아쿠리아팰리스호텔삼거리앞,0.5,74.0,37.0,False
2017-08-17,광안리,칠성횟집(라스코스웨딩홀),0.5,52.0,21.0,False
2017-08-11,광안리,고마대구탕,0.5,98.0,10.0,False
2017-08-11,광안리,썬시티모텔,0.5,41.0,5.0,False
2017-08-11,광안리,투썸플레이스(비치비키니),0.5,173.0,26.0,False
2017-08-11,광안리,아쿠리아팰리스호텔삼거리앞,0.5,132.0,26.0,False
