ctprvnNm,gugunNm,beachKoreanNm,ctprvnCode,gugunCode,stnpntCode,examinOdr,examinLcSeCode,coliDetectCn,entrcccsDetectCn,examinYear,examinDe,examinKnd,examinKndKor,stbltAt,examinLcDetail,la,lo,tempbtn,examinReExamCnt
부산,수영구,광안리,04,04,001,1,A,20,94,2014,,3,폐장후,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,1,B,52,15,2014,,3,폐장후,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,1,C,41,16,2014,,3,폐장후,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,1,D,10,10,2014,,3,폐장후,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,1,E,10,5,2014,,3,폐장후,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,11,A,<1,<1,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,11,B,10,<1,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,11,C,<1,<1,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,11,D,41,10,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,11,E,10,<1,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,10,A,490,48,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,10,B,530,66,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,10,C,810,67,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,10,D,840,36,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,10,E,560,38,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,9,A,190,15,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,9,B,75,48,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,9,C,110,48,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,9,D,110,16,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,9,E,160,55,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,8,A,120,15,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,8,B,170,20,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,8,C,97,48,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,8,D,210,32,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,8,E,110,32,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,7,A,73,<1,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,7,B,75,<1,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,7,C,76,<1,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,7,D,86,<1,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,7,E,98,10,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,6,A,160,5,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,6,B,98,5,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,6,C,200,5,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,6,D,210,5,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,6,E,200,10,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,5,A,31,10,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,5,B,10,5,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,5,C,41,5,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,5,D,31,5,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
부산,수영구,광안리,04,04,001,5,E,10,5,2014,,2,개장중,적합,,35.1521340000,129.1175500000,상세보기,0
