date,visitor_count
2016-07-01,100
2016-07-02,150
2016-07-03,500
2016-07-04,50
2016-07-05,100
2016-07-06,100
2016-07-07,130
2016-07-08,200
2016-07-09,700
2016-07-10,1500
2016-07-11,100
2016-07-12,120
2016-07-13,100
2016-07-14,100
2016-07-15,140
2016-07-16,500
2016-07-17,2200
2016-07-18,320
2016-07-19,360
2016-07-20,380
2016-07-21,570
2016-07-22,1075
2016-07-23,5080
2016-07-24,10002
2016-07-25,1004
2016-07-26,1342
2016-07-27,1100
2016-07-28,1230
2016-07-29,1565
2016-07-30,35095
2016-07-31,70100
2016-08-01,2120
2016-08-02,2130
2016-08-03,4160
2016-08-04,4150
2016-08-05,2150
2016-08-06,25120
2016-08-07,30120
2016-08-08,30040
2016-08-09,3048
2016-08-10,1579
2016-08-11,1290
2016-08-12,1110
2016-08-13,7200
2016-08-14,15080
2016-08-15,15280
2016-08-16,1070
2016-08-17,1060
2016-08-18,1140
2016-08-19,1080
2016-08-20,1270
2016-08-21,2050
2016-08-22,1050
2016-08-23,1090
2016-08-24,700
2016-08-25,700
2016-08-26,400
2016-08-27,700
2016-08-28,500
2016-08-29,300
2016-08-30,200
2016-08-31,200
2017-07-01,800
2017-07-02,400
2017-07-03,100
2017-07-04,200
2017-07-05,400
2017-07-06,300
2017-07-07,500
2017-07-08,900
2017-07-09,1000
2017-07-10,100
2017-07-11,400
2017-07-12,400
2017-07-13,400
2017-07-14,200
2017-07-15,1000
2017-07-16,2000
2017-07-17,500
2017-07-18,500
2017-07-19,400
2017-07-20,530
2017-07-21,520
2017-07-22,1052
2017-07-23,1554
2017-07-24,524
2017-07-25,575
2017-07-26,740
2017-07-27,584
2017-07-28,2105
2017-07-29,43275
2017-07-30,40311
2017-07-31,35105
2017-08-01,2210
2017-08-02,4250
2017-08-03,4140
2017-08-04,6055
2017-08-05,6200
2017-08-06,10175
2017-08-07,3092
2017-08-08,2620
2017-08-09,545
2017-08-10,800
2017-08-11,845
2017-08-12,50250
2017-08-13,30170
2017-08-14,500
2017-08-15,1000
2017-08-16,200
2017-08-17,700
2017-08-18,700
2017-08-19,10000
2017-08-20,5000
2017-08-21,1000
2017-08-22,200
2017-08-23,100
2017-08-24,200
2017-08-25,200
2017-08-26,1000
2017-08-27,1000
2017-08-28,300
2017-08-29,50
2017-08-30,50
2017-08-31,150
2018-07-01,700
2018-07-02,100
2018-07-03,100
2018-07-04,100
2018-07-05,100
2018-07-06,100
2018-07-07,100
2018-07-08,600
2018-07-09,200
2018-07-10,800
2018-07-11,800
2018-07-12,1000
2018-07-13,1000
2018-07-14,10000
2018-07-15,10000
2018-07-16,2000
2018-07-17,2000
2018-07-18,2000
2018-07-19,1500
2018-07-20,2000
2018-07-21,10000
2018-07-22,20000
2018-07-23,1039
2018-07-24,1087
2018-07-25,933
2018-07-26,1135
2018-07-27,1588
2018-07-28,30152
2018-07-29,45152
2018-07-30,3070
2018-07-31,2188
2018-08-01,4132
2018-08-02,2150
2018-08-03,3142
2018-08-04,40162
2018-08-05,50130
2018-08-06,1570
2018-08-07,1380
2018-08-08,812
2018-08-09,658
2018-08-10,735
2018-08-11,1650
2018-08-12,30180
2018-08-13,1079
2018-08-14,1589
2018-08-15,3070
2018-08-16,380
2018-08-17,350
2018-08-18,500
2018-08-19,500
2018-08-20,1000
2018-08-21,100
2018-08-22,300
2018-08-23,200
2018-08-24,200
2018-08-25,500
2018-08-26,500
2018-08-27,50
2018-08-28,200
2018-08-29,350
2018-08-30,100
2018-08-31,30
2019-06-01,0
2019-06-02,0
2019-06-03,0
2019-06-04,0
2019-06-05,0
2019-06-06,0
2019-06-07,0
2019-06-08,0
2019-06-09,0
2019-06-10,0
2019-06-11,0
2019-06-12,0
2019-06-13,0
2019-06-14,0
2019-06-15,0
2019-06-16,0
2019-06-17,0
2019-06-18,0
2019-06-19,0
2019-06-20,0
2019-06-21,0
2019-06-22,0
2019-06-23,0
2019-06-24,0
2019-06-25,0
2019-06-26,0
2019-06-27,0
2019-06-28,0
2019-06-29,0
2019-06-30,0
2019-07-01,540
2019-07-02,582
2019-07-03,513
2019-07-04,590
2019-07-05,875
2019-07-06,1821
2019-07-07,2119
2019-07-08,1096
2019-07-09,819
2019-07-10,671
2019-07-11,792
2019-07-12,1319
2019-07-13,2248
2019-07-14,3299
2019-07-15,1404
2019-07-16,1199
2019-07-17,1371
2019-07-18,1081
2019-07-19,1391
2019-07-20,1589
2019-07-21,2126
2019-07-22,2276
2019-07-23,2490
2019-07-24,2346
2019-07-25,2417
2019-07-26,2564
2019-07-27,5685
2019-07-28,6376
2019-07-29,4808
2019-07-30,5238
2019-07-31,6286
2019-08-01,7329
2019-08-02,10455
2019-08-03,14940
2019-08-04,13887
2019-08-05,8232
2019-08-06,5368
2019-08-07,4909
2019-08-08,5033
2019-08-09,5065
2019-08-10,9202
2019-08-11,7796
2019-08-12,4513
2019-08-13,4104
2019-08-14,4148
2019-08-15,2610
2019-08-16,3876
2019-08-17,6624
2019-08-18,5242
2019-08-19,2243
2019-08-20,1947
2019-08-21,1490
2019-08-22,1073
2019-08-23,1539
2019-08-24,3091
2019-08-25,2996
2019-08-26,882
2019-08-27,417
2019-08-28,419
2019-08-29,343
2019-08-30,569
2019-08-31,997
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,0
2020-07-01,200
2020-07-02,250
2020-07-03,200
2020-07-04,500
2020-07-05,1000
2020-07-06,150
2020-07-07,300
2020-07-08,200
2020-07-09,200
2020-07-10,50
2020-07-11,2000
2020-07-12,1000
2020-07-13,300
2020-07-14,200
2020-07-15,200
2020-07-16,300
2020-07-17,300
2020-07-18,300
2020-07-19,2100
2020-07-20,200
2020-07-21,300
2020-07-22,200
2020-07-23,100
2020-07-24,100
2020-07-25,2500
2020-07-26,11000
2020-07-27,100
2020-07-28,300
2020-07-29,100
2020-07-30,100
2020-07-31,3000
2020-08-01,15000
