date,examinLcDetail,ecoli_max,enterococcus_max
2015-09-21,,20.0,0.5
2015-09-21,,10.0,0.5
2015-09-21,,0.5,0.5
2015-09-21,,10.0,5.0
2015-09-21,,10.0,5.0
2015-08-04,,52.0,0.5
2015-08-04,,10.0,0.5
2015-08-04,,0.5,0.5
2015-08-04,,0.5,0.5
2015-08-04,,0.5,0.5
2015-07-28,,0.5,5.0
2015-07-28,,0.5,0.5
2015-07-28,,10.0,0.5
2015-07-28,,10.0,0.5
2015-07-28,,63.0,5.0
2015-07-16,,63.0,0.5
2015-07-16,,96.0,5.0
2015-07-16,,62.0,5.0
2015-07-16,,130.0,0.5
2015-07-16,,75.0,5.0
2015-07-02,,90.0,0.5
2015-07-02,,190.0,0.5
2015-07-02,,62.0,10.0
2015-07-02,,160.0,21.0
2015-07-02,,70.0,5.0
2016-10-04,,470.0,43.0
2016-10-04,,290.0,49.0
2016-10-04,,230.0,86.0
2016-10-04,,330.0,92.0
2016-10-04,,390.0,93.0
2016-09-07,,260.0,16.0
2016-09-07,,10.0,26.0
2016-09-07,,30.0,26.0
2016-09-07,,10.0,16.0
2016-09-07,,20.0,21.0
2016-08-22,,20.0,5.0
2016-08-22,,10.0,
2016-08-22,,63.0,5.0
2016-08-22,,41.0,10.0
2016-08-22,,31.0,5.0
2016-08-17,,240.0,26.0
2016-08-17,,52.0,5.0
2016-08-17,,31.0,
2016-08-17,,41.0,10.0
2016-08-17,,31.0,10.0
2016-08-09,,110.0,43.0
2016-08-09,,52.0,5.0
2016-08-09,,20.0,38.0
2016-08-09,,51.0,10.0
2016-08-09,,1300.0,110.0
2016-07-26,,30.0,0.5
2016-07-26,,10.0,0.5
2016-07-26,,0.5,5.0
2016-07-26,,10.0,0.5
2016-07-26,,61.0,5.0
2016-07-19,,41.0,16.0
2016-07-19,,31.0,10.0
2016-07-19,,10.0,15.0
2016-07-19,,31.0,48.0
2016-07-19,,0.5,21.0
2016-07-11,,240.0,38.0
2016-07-11,,320.0,87.0
2016-07-11,,320.0,26.0
2016-07-11,,300.0,38.0
2016-07-11,,410.0,66.0
2016-05-12,,10.0,0.5
2016-05-12,,0.5,5.0
2016-05-12,,0.5,0.5
2016-05-12,,0.5,5.0
2016-05-12,,246.0,5.0
2017-09-20,고마대구탕,156.0,21.0
2017-09-20,썬시티모텔,52.0,21.0
2017-09-20,투썸플레이스(비치비키니),41.0,26.0
2017-09-20,아쿠리아팰리스호텔삼거리앞,41.0,10.0
2017-09-20,칠성횟집(라스코스웨딩홀),63.0,37.0
2017-09-04,썬시티모텔,20.0,10.0
2017-09-04,투썸플레이스(비치비키니),31.0,5.0
2017-09-04,아쿠리아팰리스호텔삼거리앞,41.0,5.0
2017-09-04,칠성횟집(라스코스웨딩홀),41.0,10.0
2017-08-23,고마대구탕,452.0,67.0
2017-08-23,썬시티모텔,345.0,43.0
2017-08-23,투썸플레이스(비치비키니),288.0,49.0
2017-08-23,아쿠리아팰리스호텔삼거리앞,393.0,66.0
2017-08-23,칠성횟집(라스코스웨딩홀),301.0,73.0
2017-08-17,고마대구탕,20.0,10.0
2017-08-17,썬시티모텔,31.0,15.0
2017-08-17,투썸플레이스(비치비키니),63.0,21.0
2017-08-17,아쿠리아팰리스호텔삼거리앞,74.0,37.0
2017-08-17,칠성횟집(라스코스웨딩홀),52.0,21.0
2017-08-11,고마대구탕,98.0,10.0
2017-08-11,썬시티모텔,41.0,5.0
2017-08-11,투썸플레이스(비치비키니),173.0,26.0
2017-08-11,아쿠리아팰리스호텔삼거리앞,132.0,26.0
2017-08-11,칠성횟집(라스코스웨딩홀),134.0,21.0
2017-08-02,고마대구탕,0.5,10.0
2017-08-02,썬시티모텔,5.0,31.0
2017-08-02,투썸플레이스(비치비키니),0.5,10.0
2017-08-02,아쿠리아팰리스호텔삼거리앞,0.5,20.0
2017-08-02,칠성횟집(라스코스웨딩홀),0.5,10.0
2017-07-27,고마대구탕,0.5,41.0
2017-07-27,썬시티모텔,5.0,20.0
2017-07-27,투썸플레이스(비치비키니),10.0,20.0
2017-07-27,아쿠리아팰리스호텔삼거리앞,5.0,10.0
2017-07-27,칠성횟집(라스코스웨딩홀),5.0,10.0
2017-07-19,고마대구탕,10.0,5.0
2017-07-19,썬시티모텔,10.0,15.0
2017-07-19,투썸플레이스(비치비키니),10.0,15.0
2017-07-19,아쿠리아팰리스호텔삼거리앞,20.0,5.0
2017-07-19,칠성횟집(라스코스웨딩홀),0.5,5.0
2017-07-13,고마대구탕,199.0,26.0
2017-07-13,썬시티모텔,108.0,49.0
2017-07-13,투썸플레이스(비치비키니),158.0,21.0
2017-07-13,아쿠리아팰리스호텔삼거리앞,97.0,15.0
2017-07-13,칠성횟집(라스코스웨딩홀),41.0,10.0
