date,suyeong_vol,nambu_vol
2014-01-01,322016,252140
2014-01-02,319176,252382
2014-01-03,318165,258952
2014-01-04,328177,266749
2014-01-05,331863,269621
2014-01-06,316508,254283
2014-01-07,302227,251156
2014-01-08,333611,270318
2014-01-09,330730,249759
2014-01-10,315602,241331
2014-01-11,329604,264056
2014-01-12,328755,252214
2014-01-13,320287,237572
2014-01-14,313791,246266
2014-01-15,317654,243797
2014-01-16,310360,263106
2014-01-17,322247,249373
2014-01-18,326395,248720
2014-01-19,328893,248393
2014-01-20,322074,246150
2014-01-21,316789,258028
2014-01-22,310397,240217
2014-01-23,319028,254688
2014-01-24,315841,253401
2014-01-25,336079,255185
2014-01-26,341149,253902
2014-01-27,326542,247119
2014-01-28,321540,263229
2014-01-29,337070,267139
2014-01-30,350918,277694
2014-01-31,311312,261427
2014-02-01,323017,247921
2014-02-02,357280,242032
2014-02-03,337489,222259
2014-02-04,307135,232879
2014-02-05,310221,243440
2014-02-06,309329,241928
2014-02-07,345847,252576
2014-02-08,387168,262977
2014-02-09,339434,246443
2014-02-10,374955,261646
2014-02-11,328931,252622
2014-02-12,326079,254706
2014-02-13,337162,260321
2014-02-14,314724,250239
2014-02-15,326743,257482
2014-02-16,332929,253714
2014-02-17,343620,249932
2014-02-18,359135,253009
2014-02-19,320013,239648
2014-02-20,314217,246456
2014-02-21,326558,250356
2014-02-22,330226,250297
2014-02-23,336205,252073
2014-02-24,329402,256105
2014-02-25,317476,248761
2014-02-26,330687,240598
2014-02-27,387062,274536
2014-02-28,354531,259092
2014-03-01,343144,255448
2014-03-02,367056,257555
2014-03-03,347951,262987
2014-03-04,339121,254943
2014-03-05,336293,261476
2014-03-06,332075,256028
2014-03-07,334059,246955
2014-03-08,340158,252767
2014-03-09,338482,254618
2014-03-10,333507,259744
2014-03-11,325841,241339
2014-03-12,352514,258626
2014-03-13,426586,289195
2014-03-14,418330,288426
2014-03-15,379636,277413
2014-03-16,370126,274139
2014-03-17,354911,271345
2014-03-18,368355,285120
2014-03-19,340047,270030
2014-03-20,358423,257003
2014-03-21,342049,268535
2014-03-22,343143,262690
2014-03-23,351549,263744
2014-03-24,332973,262729
2014-03-25,342002,260107
2014-03-26,431280,305716
2014-03-27,387916,281751
2014-03-28,365919,273774
2014-03-29,380566,287939
2014-03-30,443151,339278
2014-03-31,410250,279624
2014-04-01,400437,294401
2014-04-02,379568,283524
2014-04-03,367523,274463
2014-04-04,402856,279021
2014-04-05,351588,266754
2014-04-06,355099,263918
2014-04-07,342430,270265
2014-04-08,348882,275655
2014-04-09,334705,264349
2014-04-10,334667,256035
2014-04-11,330965,261784
2014-04-12,343903,257863
2014-04-13,355658,277444
2014-04-14,356495,261985
2014-04-15,335568,263550
2014-04-16,333081,284253
2014-04-17,345748,292218
2014-04-18,388543,317955
2014-04-19,349791,275736
2014-04-20,354959,270007
2014-04-21,347857,279100
2014-04-22,325750,272191
2014-04-23,332990,279979
2014-04-24,327636,274515
2014-04-25,328468,288205
2014-04-26,339842,284268
2014-04-27,349427,276803
2014-04-28,435804,334627
2014-04-29,464759,352231
2014-04-30,454246,352371
2014-05-01,412192,345250
2014-05-02,388670,346428
2014-05-03,371245,334982
2014-05-04,351581,319361
2014-05-05,347503,308807
2014-05-06,347131,302177
2014-05-07,344232,299321
2014-05-08,348357,307246
2014-05-09,344440,301732
2014-05-10,348462,301956
2014-05-11,347337,298191
2014-05-12,483961,309395
2014-05-13,467333,350451
2014-05-14,412994,353228
2014-05-15,389444,345996
2014-05-16,372334,345568
2014-05-17,371463,342477
2014-05-18,379469,329310
2014-05-19,354307,320631
2014-05-20,384215,295863
2014-05-21,361199,307541
2014-05-22,362938,315276
2014-05-23,346145,291326
2014-05-24,353875,302283
