examinDe,beachKoreanNm,examinLcDetail,distance_from_estuary_km,ecoli_max,enterococcus_max,any_exceed
2017-05-15,해운대,아쿠아리움,0.25,1.0,5.0,False
2017-05-15,해운대,조선비치호텔옆계단,0.0,20.0,1.0,False
2017-05-15,해운대,파라다이스호텔신구관사이,0.75,1.0,1.0,False
2017-06-09,해운대,아쿠아리움,0.25,10.0,5.0,False
2017-06-09,해운대,조선비치호텔옆계단,0.0,41.0,10.0,False
2017-06-09,해운대,파라다이스신구관사이,0.75,1.0,1.0,False
2017-06-22,해운대,아쿠아리움,0.25,52.0,5.0,False
2017-06-22,해운대,조선비치호텔옆계단,0.0,30.0,5.0,False
2017-06-22,해운대,파라다이스신구관사이,0.75,1.0,1.0,False
2017-07-07,해운대,아쿠아리움,0.25,10.0,15.0,False
2017-07-07,해운대,조선비치호텔옆계단,0.0,10.0,10.0,False
2017-07-07,해운대,파라다이스신구관사이,0.75,31.0,10.0,False
2017-07-13,해운대,아쿠아리움,0.25,20.0,1.0,False
2017-07-13,해운대,조선비치호텔옆계단,0.0,20.0,5.0,False
2017-07-13,해운대,파라다이스신구관사이,0.75,20.0,10.0,False
2017-07-19,해운대,아쿠아리움,0.25,1.0,1.0,False
2017-07-19,해운대,조선비치호텔옆계단,0.0,5.0,5.0,False
2017-07-19,해운대,파라다이스신구관사이,0.75,1.0,1.0,False
2017-07-27,해운대,아쿠아리움,0.25,97.0,5.0,False
2017-07-27,해운대,조선비치호텔옆계단,0.0,84.0,1.0,False
2017-07-27,해운대,파라다이스신구관사이,0.75,75.0,10.0,False
2017-08-02,해운대,아쿠아리움,0.25,1.0,1.0,False
2017-08-02,해운대,조선비치호텔옆계단,0.0,1.0,5.0,False
2017-08-02,해운대,파라다이스신구관사이,0.75,10.0,1.0,False
2017-08-11,해운대,아쿠아리움,0.25,75.0,21.0,False
2017-08-11,해운대,조선비치호텔옆계단,0.0,41.0,21.0,False
2017-08-11,해운대,파라다이스신구관사이,0.75,1.0,1.0,False
2017-08-17,해운대,아쿠아리움,0.25,10.0,1.0,False
2017-08-17,해운대,조선비치호텔옆계단,0.0,20.0,1.0,False
2017-08-17,해운대,파라다이스신구관사이,0.75,10.0,1.0,False
2017-08-23,해운대,아쿠아리움,0.25,121.0,15.0,False
2017-08-23,해운대,조선비치호텔옆계단,0.0,63.0,1.0,False
2017-08-23,해운대,파라다이스신구관사이,0.75,158.0,10.0,False
2017-09-20,해운대,아쿠아리움,0.25,20.0,5.0,False
2017-09-20,해운대,조선비치호텔옆계단,0.0,1.0,1.0,False
2017-09-20,해운대,파라다이스신구관사이,0.75,31.0,10.0,False
2018-05-16,해운대,아쿠아리움,0.25,31.0,85.0,False
2018-05-16,해운대,조선비치호텔옆계단,0.0,43.0,75.0,False
2018-05-16,해운대,"파라다이스호텔신,구관사이",0.75,61.0,146.0,True
2018-06-18,해운대,아쿠아리움,0.25,1.0,1.0,False
2018-06-18,해운대,조선비치호텔옆계단,0.0,10.0,1.0,False
2018-06-18,해운대,"파라다이스호텔신,구관사이",0.75,10.0,5.0,False
2019-05-14,해운대,아쿠아리움,0.25,1.0,1.0,False
2019-05-14,해운대,조선비치호텔 옆 계단,0.0,10.0,1.0,False
2019-05-14,해운대,파라다이스비호텔 신·구관사이,0.75,40.0,1.0,False
2019-06-04,해운대,A,0.0,20.0,5.0,False
2019-06-04,해운대,B,0.25,10.0,1.0,False
2019-06-04,해운대,C,0.5,10.0,5.0,False
2019-06-04,해운대,D,0.75,20.0,1.0,False
2019-06-04,해운대,E,1.0,20.0,5.0,False
2019-06-18,해운대,A,0.0,41.0,26.0,False
2019-06-18,해운대,B,0.25,20.0,32.0,False
2019-06-18,해운대,C,0.5,41.0,54.0,False
2019-06-18,해운대,D,0.75,41.0,48.0,False
2019-06-18,해운대,E,1.0,30.0,10.0,False
2019-07-04,해운대,A,0.0,31.0,16.0,False
2019-07-04,해운대,B,0.25,52.0,21.0,False
2019-07-04,해운대,C,0.5,52.0,16.0,False
2019-07-04,해운대,D,0.75,52.0,10.0,False
2019-07-04,해운대,E,1.0,86.0,1.0,False
2019-07-16,해운대,A,0.0,31.0,10.0,False
2019-07-16,해운대,B,0.25,52.0,10.0,False
2019-07-16,해운대,C,0.5,41.0,5.0,False
2019-07-16,해운대,D,0.75,1.0,26.0,False
2019-07-16,해운대,E,1.0,20.0,10.0,False
2019-07-30,해운대,A,0.0,30.0,1.0,False
2019-07-30,해운대,B,0.25,10.0,32.0,False
2019-07-30,해운대,C,0.5,52.0,32.0,False
2019-07-30,해운대,D,0.75,10.0,48.0,False
2019-07-30,해운대,E,1.0,20.0,10.0,False
2019-08-13,해운대,A,0.0,404.0,61.0,False
2019-08-13,해운대,B,0.25,384.0,55.0,False
2019-08-13,해운대,C,0.5,443.0,38.0,False
2019-08-13,해운대,D,0.75,556.0,55.0,True
2019-08-13,해운대,E,1.0,301.0,68.0,False
2019-08-20,해운대,A,0.0,1.0,21.0,False
2019-08-20,해운대,B,0.25,1.0,43.0,False
2019-08-20,해운대,C,0.5,1.0,10.0,False
2019-08-20,해운대,D,0.75,41.0,21.0,False
2019-08-20,해운대,E,1.0,1.0,16.0,False
2019-09-25,해운대,A,0.0,52.0,1.0,False
2019-09-25,해운대,B,0.25,30.0,1.0,False
2019-09-25,해운대,C,0.5,10.0,5.0,False
2019-09-25,해운대,D,0.75,10.0,5.0,False
2019-09-25,해운대,E,1.0,20.0,1.0,False
2020-05-22,해운대,아쿠아리움,0.25,1.0,5.0,False
2020-05-22,해운대,조선비치호텔,0.0,1.0,1.0,False
2020-05-22,해운대,파라다이스호텔,0.75,1.0,1.0,False
2020-06-09,해운대,아쿠아리움,0.25,1.0,10.0,False
2020-06-09,해운대,조선비치호텔,0.0,1.0,26.0,False
2020-06-09,해운대,파라다이스호텔,0.75,1.0,1.0,False
2020-06-23,해운대,아쿠아리움,0.25,63.0,5.0,False
2020-06-23,해운대,조선비치호텔,0.0,63.0,1.0,False
2020-06-23,해운대,파라다이스호텔,0.75,31.0,316.0,True
2020-07-09,해운대,아쿠아리움,0.25,20.0,180.0,True
2020-07-09,해운대,조선비치호텔,0.0,3255.0,388.0,True
2020-07-09,해운대,파라다이스호텔,0.75,3873.0,380.0,True
2020-07-11,해운대,아쿠아리움,0.25,19863.0,862.0,True
2020-07-11,해운대,조선비치호텔,0.0,5475.0,577.0,True
2020-07-11,해운대,파라다이스호텔,0.75,11199.0,1426.0,True
2020-07-17,해운대,아쿠아리움,0.25,1.0,1.0,False
2020-07-17,해운대,조선비치호텔,0.0,1.0,1.0,False
2020-07-17,해운대,파라다이스호텔,0.75,1.0,1.0,False
2020-07-21,해운대,아쿠아리움,0.25,135.0,1.0,False
2020-07-21,해운대,조선비치호텔,0.0,142.0,1.0,False
2020-07-21,해운대,파라다이스호텔,0.75,110.0,21.0,False
2020-08-04,해운대,아쿠아리움,0.25,1187.0,26.0,True
2020-08-04,해운대,조선비치호텔,0.0,275.0,37.0,False
2020-08-04,해운대,파라다이스호텔,0.75,86.0,10.0,False
2020-08-14,해운대,아쿠아리움,0.25,490.0,21.0,False
2020-08-14,해운대,조선비치호텔,0.0,535.0,42.0,True
2020-08-14,해운대,파라다이스호텔,0.75,520.0,21.0,True
2020-08-19,해운대,아쿠아리움,0.25,1.0,10.0,False
2020-08-19,해운대,조선비치호텔,0.0,31.0,1.0,False
2020-08-19,해운대,파라다이스호텔,0.75,1.0,1.0,False
2020-09-15,해운대,아쿠아리움,0.25,31.0,5.0,False
2020-09-15,해운대,조선비치호텔,0.0,1.0,1.0,False
2020-09-15,해운대,파라다이스호텔,0.75,10.0,16.0,False
2021-05-25,해운대,부산아쿠아리움,0.25,10.0,5.0,False
2021-05-25,해운대,조선비치호텔 옆 계단,0.0,1.0,1.0,False
2021-05-25,해운대,파라다이스호텔 신관~구관,0.75,20.0,5.0,False
2021-06-08,해운대,부산아쿠아리움,0.25,1.0,1.0,False
2021-06-08,해운대,조선비치호텔 옆 계단,0.0,1.0,85.0,False
2021-06-08,해운대,파라다이스호텔 신관~구관,0.75,175.0,16.0,False
2021-06-22,해운대,부산아쿠아리움,0.25,1.0,1.0,False
2021-06-22,해운대,조선비치호텔 옆 계단,0.0,10.0,21.0,False
2021-06-22,해운대,파라다이스호텔 신관~구관,0.75,1.0,5.0,False
2021-07-15,해운대,부산아쿠아리움,0.25,20.0,1.0,False
2021-07-15,해운대,조선비치호텔 옆 계단,0.0,1.0,1.0,False
2021-07-15,해운대,파라다이스호텔 신관~구관,0.75,85.0,1.0,False
2021-07-22,해운대,부산아쿠아리움,0.25,1.0,1.0,False
2021-07-22,해운대,조선비치호텔 옆 계단,0.0,1.0,5.0,False
2021-07-22,해운대,파라다이스호텔 신관~구관,0.75,10.0,1.0,False
2021-07-29,해운대,부산아쿠아리움,0.25,97.0,26.0,False
2021-07-29,해운대,조선비치호텔 옆 계단,0.0,75.0,10.0,False
2021-07-29,해운대,파라다이스호텔 신관~구관,0.75,173.0,43.0,False
2021-08-03,해운대,부산아쿠아리움,0.25,10.0,1.0,False
2021-08-03,해운대,조선비치호텔 옆 계단,0.0,1.0,1.0,False
2021-08-03,해운대,파라다이스호텔 신관~구관,0.75,10.0,5.0,False
2021-08-10,해운대,부산아쿠아리움,0.25,10.0,1.0,False
2021-08-10,해운대,조선비치호텔 옆 계단,0.0,1.0,5.0,False
2021-08-10,해운대,파라다이스호텔 신관~구관,0.75,1.0,1.0,False
2021-08-31,해운대,부산아쿠아리움,0.25,95.0,1.0,False
2021-08-31,해운대,조선비치호텔 옆 계단,0.0,97.0,5.0,False
2021-08-31,해운대,파라다이스호텔 신관~구관,0.75,241.0,16.0,False
2021-09-29,해운대,부산아쿠아리움,0.25,1.0,1.0,False
2021-09-29,해운대,조선비치호텔,0.0,1.0,1.0,False
2021-09-29,해운대,파라다이스호텔,0.75,1.0,1.0,False
2022-05-19,해운대,부산아쿠아리움,0.25,10.0,1.0,False
2022-05-19,해운대,파라다이스호텔,0.75,10.0,10.0,False
2022-06-07,해운대,부산아쿠아리움,0.25,41.0,1.0,False
2022-06-07,해운대,조선비치호텔,0.0,20.0,1.0,False
2022-06-07,해운대,파라다이스호텔,0.75,10.0,1.0,False
2022-06-30,해운대,부산아쿠아리움,0.25,63.0,1.0,False
2022-06-30,해운대,조선비치호텔,0.0,20.0,1.0,False
2022-06-30,해운대,파라다이스 호텔,0.75,20.0,1.0,False
2022-07-07,해운대,부산 아쿠아리움,0.25,31.0,5.0,False
2022-07-07,해운대,조선비치호텔,0.0,74.0,26.0,False
2022-07-07,해운대,파라다이스 호텔,0.75,62.0,10.0,False
2022-07-20,해운대,부산아쿠아리움,0.25,63.0,1.0,False
2022-07-20,해운대,조선비치호텔,0.0,75.0,1.0,False
2022-07-20,해운대,파라다이스호텔,0.75,109.0,1.0,False
2022-07-26,해운대,부산아쿠아리움,0.25,1.0,1.0,False
2022-07-26,해운대,조선비치호텔,0.0,1.0,1.0,False
2022-07-26,해운대,파라다이스호텔,0.75,1.0,1.0,False
2022-08-03,해운대,부산아쿠아리움,0.25,10.0,1.0,False
2022-08-03,해운대,조선비치호텔,0.0,31.0,1.0,False
2022-08-03,해운대,파라다이스호텔,0.75,52.0,1.0,False
2022-08-09,해운대,부산아쿠아리움,0.25,10.0,1.0,False
2022-08-09,해운대,조선비치호텔,0.0,1.0,1.0,False
2022-08-09,해운대,파라다이스호텔,0.75,1.0,1.0,False
2022-08-16,해운대,부산아쿠아리움,0.25,10.0,1.0,False
2022-08-16,해운대,조선비치 호텔,0.0,10.0,5.0,False
