방역관리인원수,해수욕장경찰인원수,해수욕장구분년도,해수욕장보조요원인원수,해수욕장소방서인원수,해수욕장안전관리자인원수,해수욕장이름,해수욕장일일사용자수,해수욕장일일일자,해수욕장자원봉사인원수,해수욕장질서계도인원수,해수욕장해양경찰인원수,해수욕장환경관리인원수
,0.0,2016,,0.0,,38(기사문)해수욕장,16,2016-07-15,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,0,2016-07-16,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,20,2016-07-17,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,68,2016-07-18,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,54,2016-07-19,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,54,2016-07-20,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,56,2016-07-21,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,68,2016-07-22,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,120,2016-07-23,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,150,2016-07-24,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,150,2016-07-25,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,100,2016-07-26,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,120,2016-07-27,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,200,2016-07-28,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,101,2016-07-29,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,430,2016-07-30,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,475,2016-07-31,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,3500,2016-08-01,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,4150,2016-08-02,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,4800,2016-08-03,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,4700,2016-08-04,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,4800,2016-08-05,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,4700,2016-08-06,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,3900,2016-08-07,,,0.0,
,0.0,2016,,0.0,,38(기사문)해수욕장,1400,2016-08-08,,,0.0,
