2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년,2025년,시군구,시도,해수욕장명
15273.0,16052.0,15290.0,15324.0,22331.0,67832.0,58344.0,31013.0,40147.0,39865.0,76488.0,강릉시,강원,강문
6375694.0,5837700.0,5887080.0,6078228.0,5253855.0,295998.0,266873.0,1066122.0,1435604.0,1770346.0,2011318.0,강릉시,강원,경포
2112.0,1342.0,1385.0,9793.0,24422.0,12089.0,2949.0,,12903.0,7450.0,5953.0,강릉시,강원,금진
15988.0,11680.0,3450.0,4103.0,3713.0,,,,,9278.0,11319.0,강릉시,강원,남항진
1216.0,855.0,560.0,1826.0,7072.0,,,1834.0,,,,강릉시,강원,도직
10988.0,10414.0,2890.0,8097.0,17818.0,,7275.0,8578.0,12780.0,10950.0,12385.0,강릉시,강원,등명
18375.0,17595.0,15350.0,14323.0,12730.0,6637.0,12102.0,12244.0,20116.0,25240.0,36062.0,강릉시,강원,사근진
8801.0,17378.0,11140.0,4761.0,7978.0,15720.0,6871.0,3051.0,14205.0,12617.0,36047.0,강릉시,강원,사천
8970.0,20901.0,19180.0,6172.0,11737.0,34315.0,25239.0,4708.0,20615.0,20050.0,85513.0,강릉시,강원,사천진
7808.0,10580.0,10895.0,7620.0,10458.0,24626.0,27355.0,27323.0,39730.0,52643.0,47726.0,강릉시,강원,강릉송정
7786.0,5720.0,3820.0,10409.0,9142.0,4758.0,8045.0,3848.0,14884.0,16510.0,22069.0,강릉시,강원,순긋
25245.0,16690.0,28270.0,15715.0,132568.0,113056.0,90962.0,95803.0,77645.0,234730.0,252189.0,강릉시,강원,안목
14170.0,2673.0,2250.0,6364.0,16365.0,,,,7074.0,7040.0,11525.0,강릉시,강원,안인
54495.0,9420.0,26428.0,15210.0,50051.0,16605.0,22161.0,4545.0,7732.0,4025.0,10542.0,강릉시,강원,연곡
9477.0,2342.0,1810.0,4543.0,,,,,,,,강릉시,강원,염전
20889.0,7955.0,3770.0,9357.0,41916.0,32588.0,30182.0,17650.0,12191.0,13691.0,22842.0,강릉시,강원,영진
37015.0,18475.0,16770.0,13935.0,67856.0,10479.0,4019.0,7190.0,8681.0,4231.0,3850.0,강릉시,강원,강릉옥계
128378.0,20282.0,18540.0,55733.0,114657.0,74223.0,61889.0,34456.0,49588.0,46210.0,56789.0,강릉시,강원,정동진
369883.0,302690.0,199510.0,324590.0,296970.0,73422.0,81291.0,241025.0,181918.0,253291.0,334400.0,강릉시,강원,주문진
7882.0,23888.0,14210.0,3640.0,6387.0,5430.0,3607.0,2595.0,9880.0,10965.0,29855.0,강릉시,강원,하평
17596.0,14261.0,13258.0,9034.0,10584.0,1574.0,13730.0,10670.0,9160.0,8540.0,10360.0,고성군,강원,가진
15830.0,16934.0,17464.0,14478.0,15798.0,3335.0,13159.0,11353.0,6480.0,13025.0,17390.0,고성군,강원,거진1리
