date,examinLcDetail,ecoli_max,enterococcus_max
2017-05-15,그린나래호텔,1.0,1.0
2017-05-15,아쿠아리움,1.0,5.0
2017-05-15,엘시티더？,20.0,10.0
2017-05-15,조선비치호텔옆계단,20.0,1.0
2017-05-15,파라다이스호텔신구관사이,1.0,1.0
2017-06-09,그린나래호텔,1.0,1.0
2017-06-09,아쿠아리움,10.0,5.0
2017-06-09,엘시티더？,1.0,5.0
2017-06-09,조선비치호텔옆계단,41.0,10.0
2017-06-09,파라다이스신구관사이,1.0,1.0
2017-06-22,그린나래호텔,20.0,1.0
2017-06-22,아쿠아리움,52.0,5.0
2017-06-22,엘시티더？,20.0,5.0
2017-06-22,조선비치호텔옆계단,30.0,5.0
2017-06-22,파라다이스신구관사이,1.0,1.0
2017-07-07,그린나래호텔,30.0,10.0
2017-07-07,아쿠아리움,10.0,15.0
2017-07-07,엘시티더？,10.0,10.0
2017-07-07,조선비치호텔옆계단,10.0,10.0
2017-07-07,파라다이스신구관사이,31.0,10.0
2017-07-13,그린나래호텔,30.0,5.0
2017-07-13,아쿠아리움,20.0,1.0
2017-07-13,엘시티더？,31.0,1.0
2017-07-13,조선비치호텔옆계단,20.0,5.0
2017-07-13,파라다이스신구관사이,20.0,10.0
2017-07-19,그린나래호텔,5.0,5.0
2017-07-19,아쿠아리움,1.0,1.0
2017-07-19,엘시티더？,1.0,1.0
2017-07-19,조선비치호텔옆계단,5.0,5.0
2017-07-19,파라다이스신구관사이,1.0,1.0
2017-07-27,그린나래호텔,31.0,10.0
2017-07-27,아쿠아리움,97.0,5.0
2017-07-27,엘시티더？,52.0,1.0
2017-07-27,조선비치호텔옆계단,84.0,1.0
2017-07-27,파라다이스신구관사이,75.0,10.0
2017-08-02,그린나래호텔,10.0,1.0
2017-08-02,아쿠아리움,1.0,1.0
2017-08-02,엘시티더？,10.0,1.0
2017-08-02,조선비치호텔옆계단,1.0,5.0
2017-08-02,파라다이스신구관사이,10.0,1.0
2017-08-11,그린나래호텔,52.0,10.0
2017-08-11,아쿠아리움,75.0,21.0
2017-08-11,엘시티더？,41.0,16.0
2017-08-11,조선비치호텔옆계단,41.0,21.0
2017-08-11,파라다이스신구관사이,1.0,1.0
2017-08-17,그린나래호텔,41.0,5.0
2017-08-17,아쿠아리움,10.0,1.0
2017-08-17,엘시티더？,20.0,1.0
2017-08-17,조선비치호텔옆계단,20.0,1.0
2017-08-17,파라다이스신구관사이,10.0,1.0
2017-08-23,그린나래호텔,235.0,10.0
2017-08-23,아쿠아리움,121.0,15.0
2017-08-23,엘시티더？,171.0,5.0
2017-08-23,조선비치호텔옆계단,63.0,1.0
2017-08-23,파라다이스신구관사이,158.0,10.0
2017-09-20,그린나래호텔,10.0,5.0
2017-09-20,아쿠아리움,20.0,5.0
2017-09-20,엘시티더？,10.0,10.0
2017-09-20,조선비치호텔옆계단,1.0,1.0
2017-09-20,파라다이스신구관사이,31.0,10.0
2018-05-16,그린나래호텔,43.0,41.0
2018-05-16,동편마지막계단(엘시티더샵),78.0,63.0
2018-05-16,아쿠아리움,31.0,85.0
2018-05-16,조선비치호텔옆계단,43.0,75.0
2018-05-16,"파라다이스호텔신,구관사이",61.0,146.0
2018-06-18,그린나래호텔,10.0,1.0
2018-06-18,동편마지막계단(엘시티더샵),583.0,61.0
2018-06-18,아쿠아리움,1.0,1.0
2018-06-18,조선비치호텔옆계단,10.0,1.0
2018-06-18,"파라다이스호텔신,구관사이",10.0,5.0
2019-05-14,그린나래호텔,20.0,5.0
2019-05-14,동편 마지막 계단(엘시티 더 샵),1.0,1.0
2019-05-14,아쿠아리움,1.0,1.0
2019-05-14,조선비치호텔 옆 계단,10.0,1.0
2019-05-14,파라다이스비호텔 신·구관사이,40.0,1.0
2019-06-04,A,20.0,5.0
2019-06-04,B,10.0,1.0
2019-06-04,C,10.0,5.0
2019-06-04,D,20.0,1.0
2019-06-04,E,20.0,5.0
2019-06-18,A,41.0,26.0
2019-06-18,B,20.0,32.0
2019-06-18,C,41.0,54.0
2019-06-18,D,41.0,48.0
2019-06-18,E,30.0,10.0
2019-07-04,A,31.0,16.0
2019-07-04,B,52.0,21.0
2019-07-04,C,52.0,16.0
2019-07-04,D,52.0,10.0
2019-07-04,E,86.0,1.0
2019-07-16,A,31.0,10.0
2019-07-16,B,52.0,10.0
2019-07-16,C,41.0,5.0
2019-07-16,D,1.0,26.0
2019-07-16,E,20.0,10.0
2019-07-30,A,30.0,1.0
2019-07-30,B,10.0,32.0
2019-07-30,C,52.0,32.0
2019-07-30,D,10.0,48.0
2019-07-30,E,20.0,10.0
2019-08-13,A,404.0,61.0
2019-08-13,B,384.0,55.0
2019-08-13,C,443.0,38.0
2019-08-13,D,556.0,55.0
2019-08-13,E,301.0,68.0
2019-08-20,A,1.0,21.0
2019-08-20,B,1.0,43.0
2019-08-20,C,1.0,10.0
2019-08-20,D,41.0,21.0
2019-08-20,E,1.0,16.0
2019-09-25,A,52.0,1.0
2019-09-25,B,30.0,1.0
2019-09-25,C,10.0,5.0
2019-09-25,D,10.0,5.0
2019-09-25,E,20.0,1.0
2020-05-22,그린나래호텔,1.0,1.0
2020-05-22,아쿠아리움,1.0,5.0
2020-05-22,엘시티 더 샵,10.0,5.0
2020-05-22,조선비치호텔,1.0,1.0
2020-05-22,파라다이스호텔,1.0,1.0
2020-06-09,그린나래호텔,1.0,1.0
2020-06-09,아쿠아리움,1.0,10.0
2020-06-09,엘시티 더 샵,1.0,1.0
2020-06-09,조선비치호텔,1.0,26.0
2020-06-09,파라다이스호텔,1.0,1.0
2020-06-23,그린나래호텔,31.0,21.0
2020-06-23,아쿠아리움,63.0,5.0
2020-06-23,엘시티 더 샵,1.0,1.0
