관리구군명,관리기관명,방문객수(명),방문일,연번,연도
부산광역시 해운대구,관광시설관리사업소,"35,337",2018-06-01,1,2019
부산광역시 해운대구,관광시설관리사업소,"51,771",2018-06-02,2,2019
부산광역시 해운대구,관광시설관리사업소,"41,613",2018-06-03,3,2019
부산광역시 해운대구,관광시설관리사업소,"25,728",2018-06-04,4,2019
부산광역시 해운대구,관광시설관리사업소,"28,564",2018-06-05,5,2019
부산광역시 해운대구,관광시설관리사업소,"30,671",2018-06-06,6,2019
부산광역시 해운대구,관광시설관리사업소,"26,840",2018-06-07,7,2019
부산광역시 해운대구,관광시설관리사업소,"27,811",2018-06-08,8,2019
부산광역시 해운대구,관광시설관리사업소,"37,564",2018-06-09,9,2019
부산광역시 해운대구,관광시설관리사업소,"29,389",2018-06-10,10,2019
부산광역시 해운대구,관광시설관리사업소,"20,274",2018-06-11,11,2019
부산광역시 해운대구,관광시설관리사업소,"23,629",2018-06-12,12,2019
부산광역시 해운대구,관광시설관리사업소,"23,611",2018-06-13,13,2019
부산광역시 해운대구,관광시설관리사업소,"22,308",2018-06-14,14,2019
부산광역시 해운대구,관광시설관리사업소,"26,803",2018-06-15,15,2019
부산광역시 해운대구,관광시설관리사업소,"36,216",2018-06-16,16,2019
부산광역시 해운대구,관광시설관리사업소,"29,672",2018-06-17,17,2019
부산광역시 해운대구,관광시설관리사업소,"20,568",2018-06-18,18,2019
부산광역시 해운대구,관광시설관리사업소,"20,747",2018-06-19,19,2019
부산광역시 해운대구,관광시설관리사업소,"22,347",2018-06-20,20,2019
부산광역시 해운대구,관광시설관리사업소,"24,672",2018-06-21,21,2019
부산광역시 해운대구,관광시설관리사업소,"28,481",2018-06-22,22,2019
부산광역시 해운대구,관광시설관리사업소,"37,715",2018-06-23,23,2019
부산광역시 해운대구,관광시설관리사업소,"31,773",2018-06-24,24,2019
부산광역시 해운대구,관광시설관리사업소,"23,070",2018-06-25,25,2019
부산광역시 해운대구,관광시설관리사업소,"22,508",2018-06-26,26,2019
부산광역시 해운대구,관광시설관리사업소,"22,829",2018-06-27,27,2019
부산광역시 해운대구,관광시설관리사업소,"22,881",2018-06-28,28,2019
부산광역시 해운대구,관광시설관리사업소,"26,888",2018-06-29,29,2019
부산광역시 해운대구,관광시설관리사업소,"30,699",2018-06-30,30,2019
부산광역시 해운대구,관광시설관리사업소,"51,127",2018-07-01,31,2019
부산광역시 해운대구,관광시설관리사업소,"42,685",2018-07-02,32,2019
부산광역시 해운대구,관광시설관리사업소,"38,439",2018-07-03,33,2019
부산광역시 해운대구,관광시설관리사업소,"49,173",2018-07-04,34,2019
부산광역시 해운대구,관광시설관리사업소,"50,270",2018-07-05,35,2019
부산광역시 해운대구,관광시설관리사업소,"56,143",2018-07-06,36,2019
부산광역시 해운대구,관광시설관리사업소,"74,205",2018-07-07,37,2019
부산광역시 해운대구,관광시설관리사업소,"62,646",2018-07-08,38,2019
부산광역시 해운대구,관광시설관리사업소,"48,270",2018-07-09,39,2019
부산광역시 해운대구,관광시설관리사업소,"51,196",2018-07-10,40,2019
부산광역시 해운대구,관광시설관리사업소,"51,620",2018-07-11,41,2019
부산광역시 해운대구,관광시설관리사업소,"54,192",2018-07-12,42,2019
부산광역시 해운대구,관광시설관리사업소,"60,489",2018-07-13,43,2019
부산광역시 해운대구,관광시설관리사업소,"77,210",2018-07-14,44,2019
부산광역시 해운대구,관광시설관리사업소,"95,065",2018-07-15,45,2019
부산광역시 해운대구,관광시설관리사업소,"52,990",2018-07-16,46,2019
부산광역시 해운대구,관광시설관리사업소,"53,076",2018-07-17,47,2019
부산광역시 해운대구,관광시설관리사업소,"54,278",2018-07-18,48,2019
부산광역시 해운대구,관광시설관리사업소,"56,786",2018-07-19,49,2019
부산광역시 해운대구,관광시설관리사업소,"62,809",2018-07-20,50,2019
부산광역시 해운대구,관광시설관리사업소,"75,757",2018-07-21,51,2019
부산광역시 해운대구,관광시설관리사업소,"67,626",2018-07-22,52,2019
부산광역시 해운대구,관광시설관리사업소,"54,883",2018-07-23,53,2019
부산광역시 해운대구,관광시설관리사업소,"58,401",2018-07-24,54,2019
부산광역시 해운대구,관광시설관리사업소,"87,987",2018-07-25,55,2019
부산광역시 해운대구,관광시설관리사업소,"89,259",2018-07-26,56,2019
부산광역시 해운대구,관광시설관리사업소,"99,135",2018-07-27,57,2019
부산광역시 해운대구,관광시설관리사업소,"115,813",2018-07-28,58,2019
부산광역시 해운대구,관광시설관리사업소,"104,910",2018-07-29,59,2019
부산광역시 해운대구,관광시설관리사업소,"197,223",2018-07-30,60,2019
부산광역시 해운대구,관광시설관리사업소,"193,805",2018-07-31,61,2019
부산광역시 해운대구,관광시설관리사업소,"202,010",2018-08-01,62,2019
부산광역시 해운대구,관광시설관리사업소,"206,168",2018-08-02,63,2019
부산광역시 해운대구,관광시설관리사업소,"217,117",2018-08-03,64,2019
부산광역시 해운대구,관광시설관리사업소,"219,419",2018-08-04,65,2019
부산광역시 해운대구,관광시설관리사업소,"193,633",2018-08-05,66,2019
부산광역시 해운대구,관광시설관리사업소,"181,643",2018-08-06,67,2019
부산광역시 해운대구,관광시설관리사업소,"183,684",2018-08-07,68,2019
부산광역시 해운대구,관광시설관리사업소,"183,105",2018-08-08,69,2019
부산광역시 해운대구,관광시설관리사업소,"179,473",2018-08-09,70,2019
부산광역시 해운대구,관광시설관리사업소,"185,638",2018-08-10,71,2019
부산광역시 해운대구,관광시설관리사업소,"202,659",2018-08-11,72,2019
부산광역시 해운대구,관광시설관리사업소,"169,432",2018-08-12,73,2019
부산광역시 해운대구,관광시설관리사업소,"156,965",2018-08-13,74,2019
부산광역시 해운대구,관광시설관리사업소,"166,126",2018-08-14,75,2019
부산광역시 해운대구,관광시설관리사업소,"160,661",2018-08-15,76,2019
부산광역시 해운대구,관광시설관리사업소,"143,074",2018-08-16,77,2019
부산광역시 해운대구,관광시설관리사업소,"168,204",2018-08-17,78,2019
부산광역시 해운대구,관광시설관리사업소,"185,612",2018-08-18,79,2019
부산광역시 해운대구,관광시설관리사업소,"168,250",2018-08-19,80,2019
부산광역시 해운대구,관광시설관리사업소,"50,338",2018-08-20,81,2019
부산광역시 해운대구,관광시설관리사업소,"51,858",2018-08-21,82,2019
부산광역시 해운대구,관광시설관리사업소,"49,476",2018-08-22,83,2019
부산광역시 해운대구,관광시설관리사업소,"41,204",2018-08-23,84,2019
부산광역시 해운대구,관광시설관리사업소,"49,332",2018-08-24,85,2019
부산광역시 해운대구,관광시설관리사업소,"63,024",2018-08-25,86,2019
부산광역시 해운대구,관광시설관리사업소,"51,477",2018-08-26,87,2019
부산광역시 해운대구,관광시설관리사업소,"39,051",2018-08-27,88,2019
부산광역시 해운대구,관광시설관리사업소,"43,277",2018-08-28,89,2019
부산광역시 해운대구,관광시설관리사업소,"43,850",2018-08-29,90,2019
부산광역시 해운대구,관광시설관리사업소,"44,921",2018-08-30,91,2019
부산광역시 해운대구,관광시설관리사업소,"23,416",2018-08-31,92,2019
부산광역시 해운대구,관광시설관리사업소,7843,2020-06-01,1,2020
부산광역시 해운대구,관광시설관리사업소,22450,2020-06-02,2,2020
부산광역시 해운대구,관광시설관리사업소,23454,2020-06-03,3,2020
부산광역시 해운대구,관광시설관리사업소,23727,2020-06-04,4,2020
부산광역시 해운대구,관광시설관리사업소,24739,2020-06-05,5,2020
부산광역시 해운대구,관광시설관리사업소,29359,2020-06-06,6,2020
부산광역시 해운대구,관광시설관리사업소,38538,2020-06-07,7,2020
부산광역시 해운대구,관광시설관리사업소,27799,2020-06-08,8,2020
부산광역시 해운대구,관광시설관리사업소,25177,2020-06-09,9,2020
부산광역시 해운대구,관광시설관리사업소,25689,2020-06-10,10,2020
부산광역시 해운대구,관광시설관리사업소,25571,2020-06-11,11,2020
부산광역시 해운대구,관광시설관리사업소,25843,2020-06-12,12,2020
부산광역시 해운대구,관광시설관리사업소,26441,2020-06-13,13,2020
부산광역시 해운대구,관광시설관리사업소,31894,2020-06-14,14,2020
부산광역시 해운대구,관광시설관리사업소,26234,2020-06-15,15,2020
부산광역시 해운대구,관광시설관리사업소,23059,2020-06-16,16,2020
부산광역시 해운대구,관광시설관리사업소,23170,2020-06-17,17,2020
부산광역시 해운대구,관광시설관리사업소,23392,2020-06-18,18,2020
부산광역시 해운대구,관광시설관리사업소,21113,2020-06-19,19,2020
부산광역시 해운대구,관광시설관리사업소,31414,2020-06-20,20,2020
부산광역시 해운대구,관광시설관리사업소,41331,2020-06-21,21,2020
부산광역시 해운대구,관광시설관리사업소,31178,2020-06-22,22,2020
부산광역시 해운대구,관광시설관리사업소,23625,2020-06-23,23,2020
부산광역시 해운대구,관광시설관리사업소,24557,2020-06-24,24,2020
부산광역시 해운대구,관광시설관리사업소,21551,2020-06-25,25,2020
부산광역시 해운대구,관광시설관리사업소,22507,2020-06-26,26,2020
부산광역시 해운대구,관광시설관리사업소,30993,2020-06-27,27,2020
