老磊,家阿贸府樊(沛/老),ph,bod,cod,ss,tn,tp
20260910,25447,null,null,null,1.7,8.317,0
20260909,24982,6.8,1.4,4.9,1.7,8.317,0.454
20260908,24883,6.7,1.2,4.7,1.7,8.317,0.454
20260907,25387,6.6,2.2,5.3,1.7,8.317,0.454
20260906,25126,6.5,1.2,5.1,1.7,8.317,0.454
20260905,26584,6.6,1.9,4.6,1.7,6.435,0.418
20260904,27331,6.6,1.1,4.6,1.7,6.046,0.308
20260903,27520,6.6,1.8,4.3,1.7,5.368,0.417
20260902,28827,6.2,1.8,4.1,1.7,4.476,0.415
20260901,28694,6.3,2.1,4.2,1.6,4.591,0.468
20260831,28734,6.6,3.6,4.0,1.9,3.912,0.511
20260830,28274,6.7,2.6,3.9,1.7,5.093,0.420
20260829,28791,6.6,3.9,3.7,1.6,3.150,0.471
20260828,25746,6.6,2.2,4.6,1.7,6.414,0.640
20260827,24272,6.7,2.9,4.9,1.6,5.898,0.582
20260826,24259,6.600,2.4,4.6,1.6,6.113,0.601
20260825,23725,6.7,2.1,5.0,1.7,5.353,0
20260824,24497,6.6,2.9,4.7,1.7,5.848,0.737
20260823,25238,7.1,2.3,4.6,1.7,5.962,0.541
20260822,25927,6.7,3.1,4.6,1.7,5.487,0.434
20260821,26538,6.6,1.6,4.3,1.7,5.488,0.434
20260820,24968,6.7,2.9,5.2,1.6,5.148,0.597
20260819,27717,6.7,2.2,3.8,1.6,4.632,0.445
20260818,27577,6.8,1.7,4.1,1.6,3.731,0
20260817,27088,6.6,3.9,6.9,1.7,3.759,0.625
20260816,24681,6.7,3.3,5.2,1.7,6.728,0.492
20260815,23508,6.8,2.9,5.6,1.6,7.839,0.610
20260814,19149,7.0,2.1,5.6,1.7,7.866,0.560
20260813,21004,6.6,2.7,5.9,1.9,5.691,0.582
20260812,21507,6.7,2.3,5.5,1.6,3.879,0.736
20260811,21620,6.9,2.6,5.6,1.7,3.125,0.683
20260810,23272,6.5,3.8,5.8,2.1,5.949,0.521
20260809,23625,6.6,2.9,5.9,1.6,3.735,0.747
20260808,22970,6.7,3.4,6.0,1.6,3.635,0
20260807,23596,6.9,0.6,6.0,1.6,3.667,0.540
20260806,22668,6.5,3.2,5.7,1.6,3.889,0.485
20260805,22671,6.6,3.7,6.0,1.7,4.460,0.718
20260804,22328,6.6,3.1,6.3,1.7,4.096,0.660
20260803,22689,6.5,3.6,6.9,1.6,4.473,0.547
20260802,23102,6.9,2.8,5.2,1.8,4.737,0.175
20260801,23178,6.5,3.3,6.1,1.7,5.567,0.457
20260731,20645,6.5,3.0,5.6,1.8,4.941,0.595
20260730,21009,6.7,2.6,4.5,1.9,4.650,0.373
20260729,23290,7.5,3.1,5.6,1.7,4.466,0.345
20260728,23132,6.6,3.1,6.1,1.7,4.236,0.473
20260727,23723,6.6,4.4,6.1,1.7,4.970,0.467
20260726,23931,6.7,3.7,6.5,1.7,4.753,0.264
