날짜,저수위(m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),총방류량(㎥/s),발전방류량(㎥/s),여수로방류량(㎥/s)
2025-11-06,0.7355,296.1706,96.41,0.0128,99.656,112.672,0.0,86.672
2025-11-05,0.76,297.2952,96.78,0.009,140.767,156.74,0.0,130.74
2025-11-04,0.79,298.6752,97.23,0.0377,192.856,171.568,0.0,145.568
2025-11-03,0.75,296.8359,96.63,0.0165,123.653,129.447,0.0,103.447
2025-11-02,0.7609,297.3365,96.79,0.5908,193.615,214.442,0.0,188.442
2025-11-01,0.8,299.136,97.38,0.6617,77.348,56.043,0.0,29.713
2025-10-31,0.76,297.2952,96.78,0.0156,167.915,151.98,0.0,103.38
2025-10-30,0.73,295.9184,96.33,0.008,170.961,170.961,0.0,122.361
2025-10-29,0.73,295.9184,96.33,0.0,133.588,133.588,0.0,84.988
2025-10-28,0.73,295.9184,96.33,0.0225,214.909,225.528,0.0,176.928
2025-10-27,0.75,296.8359,96.63,0.0447,224.791,208.869,0.0,160.269
2025-10-26,0.72,295.4602,96.18,0.0062,277.659,282.962,0.0,234.362
2025-10-25,0.73,295.9184,96.33,0.0419,299.857,293.6,0.0,245.0
2025-10-24,0.7182,295.3778,96.15,0.6917,240.008,240.962,0.0,192.362
2025-10-23,0.72,295.4602,96.18,0.4251,232.454,232.454,0.0,183.854
2025-10-22,0.72,295.4602,96.18,0.1625,251.967,262.578,0.0,213.978
2025-10-21,0.74,296.377,96.48,0.0,357.178,365.147,0.0,315.76
2025-10-20,0.755,297.0655,96.7,0.0252,563.763,487.128,0.0,438.528
2025-10-19,0.61,290.4442,94.55,0.064,649.355,564.515,0.0,515.915
2025-10-18,0.4475,283.1141,92.16,5.3228,837.121,817.698,0.0,769.098
2025-10-17,0.41,281.4359,91.61,1.8552,1345.725,1376.831,0.0,1328.231
2025-10-16,0.47,284.1234,92.49,21.8709,1144.921,1146.792,0.0,1098.192
2025-10-15,0.4736,284.285,92.54,1.6649,1886.295,1841.589,0.0,1792.312
2025-10-14,0.3873,280.4224,91.28,29.2625,1225.05,1379.831,0.0,1328.749
2025-10-13,0.6836,293.7955,95.64,15.3364,255.932,291.121,0.0,239.696
2025-10-12,0.75,296.8359,96.63,3.7014,276.453,290.017,0.0,239.022
2025-10-11,0.7755,298.0078,97.01,0.1198,317.287,271.918,0.0,220.822
2025-10-10,0.69,294.0879,95.73,0.2232,422.778,436.012,0.0,385.701
2025-10-09,0.715,295.2313,96.1,0.362,428.871,383.983,0.0,334.064
2025-10-08,0.63,291.353,94.84,0.9183,1168.099,1103.522,0.0,1009.75
2025-10-07,0.5067,285.7735,93.03,13.8321,456.376,562.239,0.0,506.637
2025-10-06,0.7082,294.9201,96.0,12.271,332.925,371.059,0.0,320.441
2025-10-05,0.78,298.2148,97.08,3.4105,410.054,341.169,0.0,290.572
2025-10-04,0.65,292.2632,95.14,2.5435,295.059,340.284,0.0,289.156
2025-10-03,0.7355,296.1706,96.41,22.9181,263.868,245.053,0.0,193.619
2025-10-02,0.7,294.545,95.88,0.0604,234.158,250.054,0.0,198.308
2025-10-01,0.73,295.9184,96.33,0.0255,230.118,256.696,0.0,179.102
2025-09-30,0.78,298.2148,97.08,0.023,200.19,178.919,0.0,82.619
2025-09-29,0.74,296.377,96.48,0.059,186.161,186.161,0.0,92.815
2025-09-28,0.74,296.377,96.48,6.9433,213.025,186.531,0.0,94.585
2025-09-27,0.69,294.0879,95.73,0.0205,297.518,308.58,0.0,216.835
2025-09-26,0.7109,295.0436,96.04,0.0594,275.741,259.394,0.0,172.571
2025-09-25,0.68,293.6312,95.58,8.8643,265.412,262.031,0.0,178.746
2025-09-24,0.6736,293.339,95.49,2.2241,253.788,283.165,0.0,204.447
2025-09-23,0.7291,295.8772,96.31,0.2621,270.936,253.612,0.0,161.612
2025-09-22,0.6964,294.3804,95.83,0.0932,311.257,316.073,0.0,222.235
2025-09-21,0.7055,294.7965,95.96,0.0671,547.595,527.875,0.0,427.647
2025-09-20,0.6682,293.0927,95.41,18.6962,359.742,407.903,0.0,285.431
2025-09-19,0.7591,297.2538,96.76,1.7485,307.369,337.428,0.0,207.477
2025-09-18,0.8155,299.8509,97.61,0.328,214.607,179.712,0.0,86.438
2025-09-17,0.75,296.8359,96.63,10.3212,214.829,204.21,0.0,108.204
2025-09-16,0.73,295.9184,96.33,1.263,283.809,280.414,0.0,178.198
2025-09-15,0.7236,295.6251,96.23,0.0761,255.119,189.902,0.0,90.895
2025-09-14,0.6,289.9904,94.4,0.7358,481.841,507.197,0.0,389.362
2025-09-13,0.6482,292.1812,95.11,15.87,593.206,673.702,0.0,559.686
2025-09-12,0.8,299.136,97.38,7.6381,467.24,419.398,0.0,323.374
2025-09-11,0.71,295.0024,96.03,0.1084,466.205,517.462,0.0,422.941
2025-09-10,0.8064,299.431,97.47,6.2364,702.883,672.847,0.0,544.323
2025-09-09,0.75,296.8359,96.63,26.0243,328.103,333.419,0.0,236.793
2025-09-08,0.76,297.2952,96.78,1.2081,235.383,230.067,0.0,153.412
2025-09-07,0.75,296.8359,96.63,6.8649,205.156,223.033,0.0,142.624
2025-09-06,0.7836,298.3805,97.13,0.7866,236.611,234.693,0.0,150.401
2025-09-05,0.78,298.2148,97.08,1.6804,160.36,139.089,0.0,76.414
2025-09-04,0.74,296.377,96.48,5.5911,189.413,200.041,0.0,120.658
2025-09-03,0.76,297.2952,96.78,0.3643,248.232,248.232,0.0,152.091
2025-09-02,0.76,297.2952,96.78,4.1779,280.326,285.646,0.0,187.084
2025-09-01,0.77,297.7548,96.93,5.7007,252.113,188.553,0.0,98.687
2025-08-31,0.65,292.2632,95.14,7.2872,228.124,268.998,0.0,176.463
2025-08-30,0.7273,295.7947,96.29,0.0007,199.841,227.852,0.0,128.651
2025-08-29,0.78,298.2148,97.08,0.0007,201.553,206.881,0.0,112.753
2025-08-28,0.79,298.6752,97.23,0.0005,183.382,184.822,0.0,98.966
2025-08-27,0.7927,298.7996,97.27,0.046,180.591,150.163,0.0,62.03
2025-08-26,0.7355,296.1706,96.41,2.119,172.935,170.016,0.0,88.893
2025-08-25,0.73,295.9184,96.33,0.0388,198.05,216.91,0.0,128.474
2025-08-24,0.7655,297.5479,96.86,0.0063,250.561,231.701,0.0,134.069
2025-08-23,0.73,295.9184,96.33,0.4013,251.744,267.679,0.0,183.571
2025-08-22,0.76,297.2952,96.78,2.3059,224.127,222.691,0.0,122.026
2025-08-21,0.7573,297.1711,96.74,1.1475,253.343,260.098,0.0,165.635
2025-08-20,0.77,297.7548,96.93,0.5654,245.56,235.88,0.0,120.302
2025-08-19,0.7518,296.9185,96.65,0.2765,278.577,245.815,0.0,161.061
2025-08-18,0.69,294.0879,95.73,0.0086,327.492,343.375,0.0,259.001
2025-08-17,0.72,295.4602,96.18,0.0683,395.841,433.051,0.0,342.349
2025-08-16,0.79,298.6752,97.23,0.0863,404.487,356.684,0.0,270.516
2025-08-15,0.7,294.545,95.88,0.5032,474.693,534.609,0.0,414.749
2025-08-14,0.8127,299.7217,97.57,0.2911,613.699,572.068,0.0,453.991
2025-08-13,0.7345,296.1247,96.4,2.5605,849.963,904.744,0.0,789.988
2025-08-12,0.8373,300.8578,97.94,10.81,736.946,729.138,0.0,624.481
2025-08-11,0.8227,300.1832,97.72,6.45,744.258,710.832,0.0,619.035
2025-08-10,0.76,297.2952,96.78,13.3558,1166.932,1155.827,0.0,1044.452
2025-08-09,0.7391,296.3357,96.46,3.4084,849.298,826.614,0.0,707.359
2025-08-08,0.6963,294.3758,95.83,0.0,896.797,898.755,0.0,773.488
2025-08-07,0.7,294.545,95.88,0.5098,1119.277,1050.829,0.0,954.607
2025-08-06,0.57,288.6311,93.96,6.7105,1330.684,1294.119,0.0,1157.147
2025-08-05,0.5,285.4719,92.93,5.1194,2476.562,2428.917,0.0,2287.355
2025-08-04,0.4082,281.3554,91.59,50.5662,2205.006,2336.527,0.0,2201.611
2025-08-03,0.66,292.7188,95.29,28.7877,319.363,388.303,0.0,305.115
2025-08-02,0.79,298.6752,97.23,0.662,187.498,136.784,0.0,59.69
2025-08-01,0.6945,294.2935,95.8,0.0,147.692,177.118,0.0,87.491
2025-07-31,0.75,296.8359,96.63,0.0,174.233,171.311,0.0,63.976
2025-07-30,0.7445,296.5834,96.54,0.0103,224.125,253.669,0.0,187.845
2025-07-29,0.8,299.136,97.38,0.0,218.431,194.201,0.0,108.513
2025-07-28,0.7545,297.0425,96.69,0.0254,240.276,243.201,0.0,146.468
2025-07-27,0.76,297.2952,96.78,0.0875,359.573,389.153,0.0,284.333
2025-07-26,0.8155,299.8509,97.61,0.1156,378.157,353.897,0.0,253.044
2025-07-25,0.77,297.7548,96.93,0.0322,382.447,370.376,0.0,283.904
2025-07-24,0.7473,296.7119,96.59,0.0,659.556,597.531,0.0,480.232
2025-07-23,0.63,291.353,94.84,0.012,939.354,923.584,0.0,814.787
2025-07-22,0.6,289.9904,94.4,0.3515,1592.866,1606.742,0.0,1530.63
2025-07-21,0.6264,291.1893,94.79,3.4976,3547.422,3730.71,0.0,3645.305
2025-07-20,0.97,307.0254,99.94,0.0775,6880.92,6974.691,0.0,6751.249
2025-07-19,1.1422,315.1272,102.58,80.9458,5955.939,5717.72,0.0,5480.496
2025-07-18,0.7,294.545,95.88,29.1882,3970.772,4013.247,0.0,3845.582
2025-07-17,0.78,298.2148,97.08,91.6705,1401.084,1327.403,0.0,1217.279
2025-07-16,0.6409,291.8488,95.0,11.2742,526.668,542.015,0.0,435.969
2025-07-15,0.67,293.1748,95.43,1.7482,732.908,738.665,0.0,636.32
2025-07-14,0.6809,293.6722,95.6,21.6156,1224.501,1400.718,0.0,1285.551
2025-07-13,1.01,308.8974,100.55,40.1676,357.601,228.636,0.0,157.762
2025-07-12,0.77,297.7548,96.93,0.0,126.427,118.183,0.0,47.513
2025-07-11,0.7545,297.0425,96.69,0.0,138.275,149.926,0.0,73.697
2025-07-10,0.7764,298.0492,97.02,0.0,139.347,146.592,0.0,82.562
2025-07-09,0.79,298.6752,97.23,0.049,132.037,132.996,0.0,65.806
2025-07-08,0.7918,298.7581,97.25,0.0174,145.563,133.95,0.0,64.73
2025-07-07,0.77,297.7548,96.93,0.7737,144.118,133.482,0.0,53.965
2025-07-06,0.75,296.8359,96.63,0.0,188.714,215.336,0.0,118.431
2025-07-05,0.8,299.136,97.38,0.0595,177.901,151.28,0.0,53.632
2025-07-04,0.75,296.8359,96.63,0.0006,192.19,186.879,0.0,103.403
2025-07-03,0.74,296.377,96.48,0.0,251.494,256.806,0.0,167.975
2025-07-02,0.75,296.8359,96.63,0.1568,283.276,320.576,0.0,230.675
2025-07-01,0.82,300.0586,97.68,0.048,223.683,149.292,0.0,70.833
2025-06-30,0.68,293.6312,95.58,0.222,342.548,331.988,0.0,219.936
2025-06-29,0.66,292.7188,95.29,0.0133,442.658,421.589,0.0,305.257
2025-06-28,0.62,290.8984,94.69,4.0733,420.439,505.119,0.0,402.635
2025-06-27,0.78,298.2148,97.08,0.0,447.443,426.172,0.0,315.458
2025-06-26,0.74,296.377,96.48,0.0331,709.89,722.059,0.0,611.701
2025-06-25,0.7629,297.4284,96.82,1.3753,773.204,736.92,0.0,625.601
2025-06-24,0.6945,294.2935,95.8,15.5806,763.154,681.921,0.0,583.271
