No,관측소명,관측시간,조위(Cm)
1,2015년_고리,2015-04-08 17:00,2.1
2,2015년_고리,2015-04-08 18:00,12.7
3,2015년_고리,2015-04-08 19:00,22
4,2015년_고리,2015-04-08 20:00,37
5,2015년_고리,2015-04-08 21:00,49.6
6,2015년_고리,2015-04-08 22:00,55.7
7,2015년_고리,2015-04-08 23:00,55.4
8,2015년_고리,2015-04-09 00:00,43.5
9,2015년_고리,2015-04-09 01:00,32
10,2015년_고리,2015-04-09 02:00,15.7
11,2015년_고리,2015-04-09 03:00,2.6
12,2015년_고리,2015-04-09 04:00,-7.2
13,2015년_고리,2015-04-09 05:00,-6.7
14,2015년_고리,2015-04-09 06:00,1.8
15,2015년_고리,2015-04-09 07:00,15.7
16,2015년_고리,2015-04-09 08:00,32.1
17,2015년_고리,2015-04-09 09:00,45.3
18,2015년_고리,2015-04-09 10:00,53.6
19,2015년_고리,2015-04-09 11:00,55.7
20,2015년_고리,2015-04-09 12:00,53.4
21,2015년_고리,2015-04-09 13:00,42.2
22,2015년_고리,2015-04-09 14:00,25.7
23,2015년_고리,2015-04-09 15:00,14.3
24,2015년_고리,2015-04-09 16:00,6.1
25,2015년_고리,2015-04-09 17:00,5.5
26,2015년_고리,2015-04-09 18:00,13.3
27,2015년_고리,2015-04-09 19:00,19.7
28,2015년_고리,2015-04-09 20:00,30.7
29,2015년_고리,2015-04-09 21:00,48.6
30,2015년_고리,2015-04-09 22:00,49.4
31,2015년_고리,2015-04-09 23:00,56.5
32,2015년_고리,2015-04-10 00:00,52.3
33,2015년_고리,2015-04-10 01:00,44
34,2015년_고리,2015-04-10 02:00,30
35,2015년_고리,2015-04-10 03:00,16
36,2015년_고리,2015-04-10 04:00,4.9
37,2015년_고리,2015-04-10 05:00,2.5
38,2015년_고리,2015-04-10 06:00,8.8
39,2015년_고리,2015-04-10 07:00,13
40,2015년_고리,2015-04-10 08:00,29.3
41,2015년_고리,2015-04-10 09:00,37.2
42,2015년_고리,2015-04-10 10:00,48.9
43,2015년_고리,2015-04-10 11:00,50.5
44,2015년_고리,2015-04-10 12:00,49.7
45,2015년_고리,2015-04-10 13:00,40.6
46,2015년_고리,2015-04-10 14:00,33
47,2015년_고리,2015-04-10 15:00,29.6
48,2015년_고리,2015-04-10 16:00,18.1
49,2015년_고리,2015-04-10 17:00,10.5
50,2015년_고리,2015-04-10 18:00,11.9
51,2015년_고리,2015-04-10 19:00,18.5
52,2015년_고리,2015-04-10 20:00,24.9
53,2015년_고리,2015-04-10 21:00,40.2
54,2015년_고리,2015-04-10 22:00,47.6
55,2015년_고리,2015-04-10 23:00,50.5
56,2015년_고리,2015-04-11 00:00,52.2
57,2015년_고리,2015-04-11 01:00,45.6
58,2015년_고리,2015-04-11 02:00,34.5
59,2015년_고리,2015-04-11 03:00,25.2
60,2015년_고리,2015-04-11 04:00,17.6
61,2015년_고리,2015-04-11 05:00,12.3
62,2015년_고리,2015-04-11 06:00,6.4
63,2015년_고리,2015-04-11 07:00,8.8
64,2015년_고리,2015-04-11 08:00,16.3
65,2015년_고리,2015-04-11 09:00,26.8
66,2015년_고리,2015-04-11 10:00,34.6
67,2015년_고리,2015-04-11 11:00,41.3
68,2015년_고리,2015-04-11 12:00,45.4
69,2015년_고리,2015-04-11 13:00,45.8
70,2015년_고리,2015-04-11 14:00,39.7
71,2015년_고리,2015-04-11 15:00,38.1
72,2015년_고리,2015-04-11 16:00,27.2
73,2015년_고리,2015-04-11 17:00,18
74,2015년_고리,2015-04-11 18:00,14.6
75,2015년_고리,2015-04-11 19:00,15.2
76,2015년_고리,2015-04-11 20:00,25.4
77,2015년_고리,2015-04-11 21:00,30.1
78,2015년_고리,2015-04-11 22:00,41.2
79,2015년_고리,2015-04-11 23:00,41.3
80,2015년_고리,2015-04-12 00:00,49.9
81,2015년_고리,2015-04-12 01:00,48.3
82,2015년_고리,2015-04-12 02:00,46.1
83,2015년_고리,2015-04-12 03:00,42.6
84,2015년_고리,2015-04-12 04:00,30.9
85,2015년_고리,2015-04-12 05:00,25.4
86,2015년_고리,2015-04-12 06:00,16.1
87,2015년_고리,2015-04-12 07:00,15.9
88,2015년_고리,2015-04-12 08:00,15.4
89,2015년_고리,2015-04-12 09:00,21.1
90,2015년_고리,2015-04-12 10:00,34
91,2015년_고리,2015-04-12 11:00,39
92,2015년_고리,2015-04-12 12:00,44.4
93,2015년_고리,2015-04-12 13:00,47
94,2015년_고리,2015-04-12 14:00,49
95,2015년_고리,2015-04-12 15:00,48.5
96,2015년_고리,2015-04-12 16:00,40
97,2015년_고리,2015-04-12 17:00,33.4
98,2015년_고리,2015-04-12 18:00,29.2
99,2015년_고리,2015-04-12 19:00,25.7
100,2015년_고리,2015-04-12 20:00,29
101,2015년_고리,2015-04-12 21:00,17.9
102,2015년_고리,2015-04-12 22:00,39.4
103,2015년_고리,2015-04-12 23:00,28.4
104,2015년_고리,2015-04-13 00:00,34.4
105,2015년_고리,2015-04-13 01:00,49.7
106,2015년_고리,2015-04-13 02:00,41.8
107,2015년_고리,2015-04-13 03:00,50.1
108,2015년_고리,2015-04-13 04:00,49
109,2015년_고리,2015-04-13 05:00,45.2
110,2015년_고리,2015-04-13 06:00,31.7
111,2015년_고리,2015-04-13 07:00,23.7
112,2015년_고리,2015-04-13 08:00,17.8
113,2015년_고리,2015-04-13 09:00,19.8
114,2015년_고리,2015-04-13 10:00,20.5
115,2015년_고리,2015-04-13 11:00,23.8
116,2015년_고리,2015-04-13 12:00,38.8
117,2015년_고리,2015-04-13 13:00,44.5
118,2015년_고리,2015-04-13 14:00,45.9
119,2015년_고리,2015-04-13 15:00,55.8
120,2015년_고리,2015-04-13 16:00,48.4
121,2015년_고리,2015-04-13 17:00,49.7
122,2015년_고리,2015-04-13 18:00,33.4
123,2015년_고리,2015-04-13 19:00,27.9
124,2015년_고리,2015-04-13 20:00,27.2
125,2015년_고리,2015-04-13 21:00,20.8
126,2015년_고리,2015-04-13 22:00,29.4
127,2015년_고리,2015-04-13 23:00,26.5
128,2015년_고리,2015-04-14 00:00,38.6
129,2015년_고리,2015-04-14 01:00,38.2
130,2015년_고리,2015-04-14 02:00,42.1
131,2015년_고리,2015-04-14 03:00,53.5
132,2015년_고리,2015-04-14 04:00,56
133,2015년_고리,2015-04-14 05:00,47.6
134,2015년_고리,2015-04-14 06:00,45
135,2015년_고리,2015-04-14 07:00,39.1
136,2015년_고리,2015-04-14 08:00,26.1
137,2015년_고리,2015-04-14 09:00,22.2
138,2015년_고리,2015-04-14 10:00,16.3
