지점,지점명,일시,평균 풍속(m/s),최대 순간 풍속 풍향(deg)
923,기장,2017-01-01,1.6,312.2
923,기장,2017-01-02,1.7,286.9
923,기장,2017-01-03,1.5,222.2
923,기장,2017-01-04,1.6,300.9
923,기장,2017-01-05,2.7,64.7
923,기장,2017-01-06,2.3,47.8
923,기장,2017-01-07,2.1,36.6
923,기장,2017-01-08,2.3,16.9
923,기장,2017-01-09,1.8,320.6
923,기장,2017-01-10,1.7,317.8
923,기장,2017-01-11,1.8,331.9
923,기장,2017-01-12,1.8,272.8
923,기장,2017-01-13,2.1,281.3
923,기장,2017-01-14,3.2,303.8
923,기장,2017-01-15,1.8,329.1
923,기장,2017-01-16,1.8,340.3
923,기장,2017-01-17,1.9,284.1
923,기장,2017-01-18,1.7,67.5
923,기장,2017-01-19,1.6,326.3
923,기장,2017-01-20,2.8,337.5
923,기장,2017-01-21,1.7,275.6
923,기장,2017-01-22,1.9,295.3
923,기장,2017-01-23,2.2,0
923,기장,2017-01-24,1.5,357.2
923,기장,2017-01-25,1.8,329.1
923,기장,2017-01-26,2.3,205.3
923,기장,2017-01-27,2.4,281.3
923,기장,2017-01-28,2,329.1
923,기장,2017-01-29,1.4,225
923,기장,2017-01-30,2,331.9
923,기장,2017-01-31,1.8,337.5
923,기장,2017-02-01,1.2,278.4
923,기장,2017-02-02,1.7,331.9
923,기장,2017-02-03,1.4,5.6
923,기장,2017-02-04,1.8,163.1
923,기장,2017-02-05,1.8,267.2
923,기장,2017-02-06,2.1,354.4
923,기장,2017-02-07,1.7,306.6
923,기장,2017-02-08,1.8,329.1
923,기장,2017-02-09,2.7,303.8
923,기장,2017-02-10,2.3,331.9
923,기장,2017-02-11,1.9,286.9
923,기장,2017-02-12,1.7,357.2
923,기장,2017-02-13,1.4,298.1
923,기장,2017-02-14,1.7,11.3
923,기장,2017-02-15,2.1,222.2
923,기장,2017-02-16,2.8,239.1
923,기장,2017-02-17,2.3,284.1
923,기장,2017-02-18,1.9,312.2
923,기장,2017-02-19,2.5,247.5
923,기장,2017-02-20,2.8,331.9
923,기장,2017-02-21,1.7,64.7
923,기장,2017-02-22,1,284.1
923,기장,2017-02-23,1.9,284.1
923,기장,2017-02-24,1.6,295.3
923,기장,2017-02-25,1.9,227.8
923,기장,2017-02-26,1.7,357.2
923,기장,2017-02-27,2.2,64.7
923,기장,2017-02-28,2.2,205.3
923,기장,2017-03-01,2,160.3
923,기장,2017-03-02,1.6,278.4
923,기장,2017-03-03,2.1,205.3
923,기장,2017-03-04,1.9,208.1
923,기장,2017-03-05,1.7,210.9
923,기장,2017-03-06,2,255.9
923,기장,2017-03-07,2,272.8
923,기장,2017-03-08,2.3,267.2
923,기장,2017-03-09,2.2,205.3
923,기장,2017-03-10,1.7,188.4
923,기장,2017-03-11,1.5,87.2
923,기장,2017-03-12,1.9,163.1
923,기장,2017-03-13,2.3,81.6
923,기장,2017-03-14,1.8,50.6
923,기장,2017-03-15,2.3,11.3
923,기장,2017-03-16,1.8,210.9
923,기장,2017-03-17,1.5,345.9
923,기장,2017-03-18,1.5,171.6
923,기장,2017-03-19,2.3,123.8
923,기장,2017-03-20,2.1,53.4
923,기장,2017-03-21,2,104.1
923,기장,2017-03-22,2,199.7
923,기장,2017-03-23,1.8,42.2
