관측소명,관측소코드,관측일시,풍향,기압(hPa),습도(%),기온(℃),수온(℃),최대파고(m),풍속(m/s),위도,경도
포항,22106,2016-10-01,SE,1018.1,70.0,21.2,22.9,1.2,2.2,36.3500000000,129.7833000000
포항,22106,2016-10-02,E,1015.7,79.0,22.5,23.1,0.9,3.7,36.3500000000,129.7833000000
포항,22106,2016-10-03,NNW,1009.5,88.0,23.3,23.4,1.5,5.3,36.3500000000,129.7833000000
포항,22106,2016-10-04,NNE,1016.5,73.0,22.5,23.6,3.2,6.8,36.3500000000,129.7833000000
포항,22106,2016-10-05,NE,1008.8,80.0,21.0,23.2,8.1,10.1,36.3500000000,129.7833000000
포항,22106,2016-10-06,NE,1019.8,71.0,21.7,23.2,3.5,6.2,36.3500000000,129.7833000000
포항,22106,2016-10-07,NNE,1021.3,64.0,20.8,23.4,3.8,7.5,36.3500000000,129.7833000000
포항,22106,2016-10-08,NE,1010.1,71.0,20.4,23.6,2.7,6.1,36.3500000000,129.7833000000
포항,22106,2016-10-09,N,1016.3,55.0,17.6,23.5,5.6,8.5,36.3500000000,129.7833000000
포항,22106,2016-10-10,N,1020.1,58.0,17.9,22.9,3.9,4.0,36.3500000000,129.7833000000
포항,22106,2016-10-11,N,1019.0,53.0,19.2,23.0,1.9,3.0,36.3500000000,129.7833000000
포항,22106,2016-10-12,NNE,1020.9,61.0,19.1,22.6,3.1,6.3,36.3500000000,129.7833000000
포항,22106,2016-10-13,N,1022.3,64.0,19.3,21.8,3.0,3.4,36.3500000000,129.7833000000
포항,22106,2016-10-14,N>,1024.5,57.0,20.1,21.7,1.1,3.0,36.3500000000,129.7833000000
포항,22106,2016-10-15,NNE,1025.7,66.0,20.1,22.2,0.9,2.3,36.3500000000,129.7833000000
포항,22106,2016-10-16,E,1020.1,79.0,18.7,21.8,1.4,3.5,36.3500000000,129.7833000000
포항,22106,2016-10-17,NE,1015.7,74.0,20.3,21.6,1.3,3.6,36.3500000000,129.7833000000
포항,22106,2016-10-18,N,1019.5,70.0,20.6,21.6,2.2,4.8,36.3500000000,129.7833000000
포항,22106,2016-10-19,N,1017.1,68.0,20.4,21.9,2.0,3.6,36.3500000000,129.7833000000
포항,22106,2016-10-20,ENE,1019.1,67.0,19.9,22.2,5.5,8.7,36.3500000000,129.7833000000
포항,22106,2016-10-21,NNE,1021.7,62.0,17.6,22.1,5.8,7.9,36.3500000000,129.7833000000
포항,22106,2016-10-22,NNE,1015.1,64.0,18.7,21.5,2.1,4.7,36.3500000000,129.7833000000
포항,22106,2016-10-23,NE,1017.0,66.0,16.3,21.2,6.5,10.7,36.3500000000,129.7833000000
포항,22106,2016-10-24,NE,1019.1,53.0,16.4,21.2,3.8,4.5,36.3500000000,129.7833000000
포항,22106,2016-10-25,ENE,1011.5,70.0,18.8,20.9,2.5,6.7,36.3500000000,129.7833000000
포항,22106,2016-10-26,N,1018.1,66.0,18.4,20.8,1.5,3.6,36.3500000000,129.7833000000
포항,22106,2016-10-27,NE,1023.8,62.0,18.1,21.3,3.6,7.2,36.3500000000,129.7833000000
포항,22106,2016-10-28,SE,1015.1,74.0,17.3,20.9,3.3,7.3,36.3500000000,129.7833000000
포항,22106,2016-10-29,ENE,1022.9,66.0,15.4,20.6,6.2,7.3,36.3500000000,129.7833000000
포항,22106,2016-10-30,NNE,1027.1,55.0,13.9,20.7,3.3,5.6,36.3500000000,129.7833000000
포항,22106,2016-10-31,N>,1023.4,52.0,14.3,20.5,2.3,7.4,36.3500000000,129.7833000000
포항,22106,2016-11-01,,1026.0,54.0,10.5,19.8,4.9,8.2,36.3500000000,129.7833000000
포항,22106,2016-11-02,,1024.3,46.0,10.9,19.7,3.6,7.9,36.3500000000,129.7833000000
포항,22106,2016-11-03,,1021.2,53.0,12.6,19.7,1.9,6.5,36.3500000000,129.7833000000
포항,22106,2016-11-04,,1016.2,48.0,15.5,19.4,2.0,8.0,36.3500000000,129.7833000000
포항,22106,2016-11-05,,1012.9,60.0,17.4,19.6,1.6,7.1,36.3500000000,129.7833000000
포항,22106,2016-11-06,,1025.6,70.0,14.1,20.4,7.5,10.3,36.3500000000,129.7833000000
포항,22106,2016-11-07,,1023.0,64.0,15.7,21.1,4.3,6.9,36.3500000000,129.7833000000
포항,22106,2016-11-08,,1019.5,65.0,14.0,20.6,6.8,8.5,36.3500000000,129.7833000000
포항,22106,2016-11-09,,1026.3,61.0,11.0,19.9,6.9,7.8,36.3500000000,129.7833000000
포항,22106,2016-11-10,,1020.9,62.0,13.0,20.0,3.0,5.5,36.3500000000,129.7833000000
포항,22106,2016-11-11,,1017.7,53.0,14.1,20.2,2.8,7.1,36.3500000000,129.7833000000
포항,22106,2016-11-12,,1022.5,52.0,16.2,19.3,1.7,5.6,36.3500000000,129.7833000000
포항,22106,2016-11-13,,1022.5,63.0,17.5,20.4,1.2,4.2,36.3500000000,129.7833000000
포항,22106,2016-11-14,,1015.4,75.0,18.6,20.2,1.9,4.3,36.3500000000,129.7833000000
포항,22106,2016-11-15,,1017.0,65.0,15.6,20.0,3.8,7.3,36.3500000000,129.7833000000
포항,22106,2016-11-16,,1020.8,51.0,14.2,19.3,3.0,5.3,36.3500000000,129.7833000000
