ctprvnNm,gugunNm,beachKoreanNm,ctprvnCode,gugunCode,stnpntCode,examinOdr,examinLcSeCode,coliDetectCn,entrcccsDetectCn,examinYear,examinDe,examinKnd,examinKndKor,stbltAt,examinLcDetail,la,lo,tempbtn,examinReExamCnt
부산,기장군,일광,04,01,001,1,A,140,42,2014,,3,폐장후,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,1,B,260,32,2014,,3,폐장후,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,1,C,320,73,2014,,3,폐장후,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,5,A,42,10,2014,,2,개장중,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,5,B,48,<1,2014,,2,개장중,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,5,C,470,42,2014,,2,개장중,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,4,A,20,<1,2014,,2,개장중,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,4,B,130,<1,2014,,2,개장중,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,4,C,120,5,2014,,2,개장중,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,3,A,<1,26,2014,,2,개장중,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,3,B,41,<1,2014,,2,개장중,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,3,C,<2,<1,2014,,2,개장중,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,2,A,110,5,2014,,2,개장중,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,2,B,110,5,2014,,2,개장중,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,2,C,5,5,2014,,2,개장중,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,1,A,240,85,2014,,2,개장중,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,1,B,110,45,2014,,2,개장중,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,1,C,5,15,2014,,2,개장중,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,1,A,4,13,2014,,1,개장전,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,1,B,10,6,2014,,1,개장전,적합,,35.2616260000,129.2336930000,상세보기,0
부산,기장군,일광,04,01,001,1,C,6,24,2014,,1,개장전,적합,,35.2616260000,129.2336930000,상세보기,0
