date,임랑해수욕장_정점명,임랑해수욕장_정점코드,임랑해수욕장_유속(cm/s),임랑해수욕장_유향(deg),임랑해수욕장_수온(℃),임랑해수욕장_염분(PSU),임랑해수욕장_유의파고(m),임랑해수욕장_유의파주기(sec),임랑해수욕장_최대파고(m),임랑해수욕장_최대파주기(sec),임랑해수욕장_풍속(m/s),임랑해수욕장_풍향(deg),임랑해수욕장_기온(℃),임랑해수욕장_기압(hPa),임랑해수욕장_시정(m),송정_정점명,송정_정점코드,송정_유속(cm/s),송정_유향(deg),송정_수온(℃),송정_염분(PSU),송정_유의파고(m),송정_유의파주기(sec),송정_최대파고(m),송정_최대파주기(sec),송정_풍속(m/s),송정_풍향(deg),송정_기온(℃),송정_기압(hPa),송정_시정(m)
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
