date,avg_water_temp,gijang_buoy_관측소코드,gijang_buoy_기압(hPa),gijang_buoy_습도(%),gijang_buoy_기온(℃),gijang_buoy_수온(℃),gijang_buoy_최대파고(m),gijang_buoy_풍속(m/s),gijang_buoy_위도,gijang_buoy_경도,meis_buoy_관측소코드,meis_buoy_기압(hPa),meis_buoy_습도(%),meis_buoy_기온(℃),meis_buoy_수온(℃),meis_buoy_최대파고(m),meis_buoy_풍속(m/s),meis_buoy_위도,meis_buoy_경도
2014-01-15,13.1,,,,,,,,,,,,,,,,,,
2014-01-16,12.9,,,,,,,,,,,,,,,,,,
2014-01-17,12.6,,,,,,,,,,,,,,,,,,
2014-01-18,12.4,,,,,,,,,,,,,,,,,,
2014-01-19,12.9,,,,,,,,,,,,,,,,,,
2014-01-20,13.3,,,,,,,,,,,,,,,,,,
2014-01-21,12.9,,,,,,,,,,,,,,,,,,
2014-01-22,13.4,,,,,,,,,,,,,,,,,,
2014-01-23,13.6,,,,,,,,,,,,,,,,,,
2014-01-24,13.4,,,,,,,,,,,,,,,,,,
2014-01-25,13.2,,,,,,,,,,,,,,,,,,
2014-01-26,12.9,,,,,,,,,,,,,,,,,,
2014-01-27,12.6,,,,,,,,,,,,,,,,,,
2014-01-28,12.4,,,,,,,,,,,,,,,,,,
2014-01-29,12.4,,,,,,,,,,,,,,,,,,
2014-01-30,12.4,,,,,,,,,,,,,,,,,,
2014-01-31,12.4,,,,,,,,,,,,,,,,,,
2014-02-01,12.4,,,,,,,,,,,,,,,,,,
2014-02-02,12.4,,,,,,,,,,,,,,,,,,
2014-02-06,12.9,,,,,,,,,,,,,,,,,,
2014-02-07,13.0,,,,,,,,,,,,,,,,,,
2014-02-08,13.9,,,,,,,,,,,,,,,,,,
2014-02-09,14.2,,,,,,,,,,,,,,,,,,
2014-02-10,13.8,,,,,,,,,,,,,,,,,,
2014-02-11,13.3,,,,,,,,,,,,,,,,,,
2014-02-13,13.3,,,,,,,,,,,,,,,,,,
2014-02-15,12.8,,,,,,,,,,,,,,,,,,
2014-02-16,12.9,,,,,,,,,,,,,,,,,,
2014-02-17,12.9,,,,,,,,,,,,,,,,,,
2014-02-18,12.6,,,,,,,,,,,,,,,,,,
2014-02-19,12.7,,,,,,,,,,,,,,,,,,
2014-02-20,12.8,,,,,,,,,,,,,,,,,,
2014-02-21,12.8,,,,,,,,,,,,,,,,,,
2014-02-22,13.0,,,,,,,,,,,,,,,,,,
2014-02-23,13.1,,,,,,,,,,,,,,,,,,
2014-02-25,12.9,,,,,,,,,,,,,,,,,,
2014-02-26,13.3,,,,,,,,,,,,,,,,,,
2014-02-27,13.5,,,,,,,,,,,,,,,,,,
2014-03-01,13.1,,,,,,,,,,,,,,,,,,
2014-03-02,13.1,,,,,,,,,,,,,,,,,,
2014-03-03,12.9,,,,,,,,,,,,,,,,,,
2014-03-04,12.8,,,,,,,,,,,,,,,,,,
2014-03-05,12.7,,,,,,,,,,,,,,,,,,
2014-03-06,12.6,,,,,,,,,,,,,,,,,,
2014-03-08,12.4,,,,,,,,,,,,,,,,,,
2014-03-13,12.2,,,,,,,,,,,,,,,,,,
2014-03-14,12.3,,,,,,,,,,,,,,,,,,
2014-03-15,12.3,,,,,,,,,,,,,,,,,,
2014-03-16,12.3,,,,,,,,,,,,,,,,,,
2014-03-17,12.4,,,,,,,,,,,,,,,,,,
2014-03-23,12.6,,,,,,,,,,,,,,,,,,
2014-03-24,12.7,,,,,,,,,,,,,,,,,,
2014-03-27,12.8,,,,,,,,,,,,,,,,,,
2014-03-29,12.8,,,,,,,,,,,,,,,,,,
2014-03-31,13.1,,,,,,,,,,,,,,,,,,
2014-04-01,13.0,,,,,,,,,,,,,,,,,,
2014-04-09,13.3,,,,,,,,,,,,,,,,,,
2014-04-10,13.4,,,,,,,,,,,,,,,,,,
2014-04-11,13.6,,,,,,,,,,,,,,,,,,
2014-04-12,13.6,,,,,,,,,,,,,,,,,,
2014-04-13,13.5,,,,,,,,,,,,,,,,,,
2014-04-14,13.6,,,,,,,,,,,,,,,,,,
2014-04-15,13.6,,,,,,,,,,,,,,,,,,
2014-04-16,13.3,,,,,,,,,,,,,,,,,,
2014-04-17,13.3,,,,,,,,,,,,,,,,,,
2014-04-18,13.5,,,,,,,,,,,,,,,,,,
2014-04-19,13.8,,,,,,,,,,,,,,,,,,
2014-04-20,14.1,,,,,,,,,,,,,,,,,,
2014-04-21,14.3,,,,,,,,,,,,,,,,,,
2014-04-22,14.4,,,,,,,,,,,,,,,,,,
2014-04-23,14.3,,,,,,,,,,,,,,,,,,
2014-04-24,14.2,,,,,,,,,,,,,,,,,,
2014-04-25,14.2,,,,,,,,,,,,,,,,,,
2014-04-26,14.0,,,,,,,,,,,,,,,,,,
2014-04-27,13.8,,,,,,,,,,,,,,,,,,
2014-04-28,14.3,,,,,,,,,,,,,,,,,,
2014-04-29,14.4,,,,,,,,,,,,,,,,,,
2014-04-30,14.3,,,,,,,,,,,,,,,,,,
2014-05-01,14.1,,,,,,,,,,,,,,,,,,
2014-05-02,13.8,,,,,,,,,,,,,,,,,,
2014-05-03,13.7,,,,,,,,,,,,,,,,,,
2014-05-04,13.8,,,,,,,,,,,,,,,,,,
2014-05-05,13.5,,,,,,,,,,,,,,,,,,
2014-05-06,13.7,,,,,,,,,,,,,,,,,,
2014-05-07,13.7,,,,,,,,,,,,,,,,,,
2014-05-08,13.9,,,,,,,,,,,,,,,,,,
2014-05-09,14.6,,,,,,,,,,,,,,,,,,
2014-05-10,15.4,,,,,,,,,,,,,,,,,,
2014-05-11,15.4,,,,,,,,,,,,,,,,,,
2014-05-12,15.1,,,,,,,,,,,,,,,,,,
2014-05-13,14.4,,,,,,,,,,,,,,,,,,
2014-05-14,14.4,,,,,,,,,,,,,,,,,,
2014-05-15,14.5,,,,,,,,,,,,,,,,,,
2014-05-16,14.5,,,,,,,,,,,,,,,,,,
2014-05-17,14.7,,,,,,,,,,,,,,,,,,
2014-05-18,15.0,,,,,,,,,,,,,,,,,,
2014-05-19,15.2,,,,,,,,,,,,,,,,,,
2014-05-20,15.3,,,,,,,,,,,,,,,,,,
2014-05-21,15.2,,,,,,,,,,,,,,,,,,
2014-05-22,15.5,,,,,,,,,,,,,,,,,,
2014-05-23,16.1,,,,,,,,,,,,,,,,,,
2014-05-24,15.5,,,,,,,,,,,,,,,,,,
2014-05-25,15.0,,,,,,,,,,,,,,,,,,
2014-05-26,14.8,,,,,,,,,,,,,,,,,,
2014-05-27,14.8,,,,,,,,,,,,,,,,,,
2014-05-28,14.8,,,,,,,,,,,,,,,,,,
2014-05-29,14.7,,,,,,,,,,,,,,,,,,
2014-05-30,14.7,,,,,,,,,,,,,,,,,,
2014-05-31,14.7,,,,,,,,,,,,,,,,,,
2014-06-01,14.7,,,,,,,,,,,,,,,,,,
2014-06-02,14.7,,,,,,,,,,,,,,,,,,
2014-06-03,15.2,,,,,,,,,,,,,,,,,,
2014-06-04,16.6,,,,,,,,,,,,,,,,,,
2014-06-05,18.1,,,,,,,,,,,,,,,,,,
2014-06-06,18.5,,,,,,,,,,,,,,,,,,
2014-06-07,18.9,,,,,,,,,,,,,,,,,,
2014-06-08,19.2,,,,,,,,,,,,,,,,,,
2014-06-09,19.4,,,,,,,,,,,,,,,,,,
2014-06-10,19.5,,,,,,,,,,,,,,,,,,
2014-06-11,19.7,,,,,,,,,,,,,,,,,,
2014-06-12,19.9,,,,,,,,,,,,,,,,,,
2014-06-13,19.7,,,,,,,,,,,,,,,,,,
2014-06-14,19.1,,,,,,,,,,,,,,,,,,
2014-06-15,18.9,,,,,,,,,,,,,,,,,,
2014-06-24,20.4,,,,,,,,,,,,,,,,,,
2014-06-25,19.9,,,,,,,,,,,,,,,,,,
2014-06-26,18.9,,,,,,,,,,,,,,,,,,
2014-06-27,18.9,,,,,,,,,,,,,,,,,,
2014-06-28,19.0,,,,,,,,,,,,,,,,,,
2014-06-29,18.0,,,,,,,,,,,,,,,,,,
2014-06-30,17.9,,,,,,,,,,,,,,,,,,
2014-07-01,17.8,,,,,,,,,,,,,,,,,,
2014-07-02,18.3,,,,,,,,,,,,,,,,,,
2014-07-03,18.4,,,,,,,,,,,,,,,,,,
2014-07-15,16.3,,,,,,,,,,,,,,,,,,
2014-07-16,16.5,,,,,,,,,,,,,,,,,,
2014-07-17,15.7,,,,,,,,,,,,,,,,,,
2014-07-18,16.0,,,,,,,,,,,,,,,,,,
2014-07-19,16.2,,,,,,,,,,,,,,,,,,
2014-07-20,16.7,,,,,,,,,,,,,,,,,,
2014-07-21,18.4,,,,,,,,,,,,,,,,,,
2014-07-22,16.9,,,,,,,,,,,,,,,,,,
2014-07-23,16.7,,,,,,,,,,,,,,,,,,
2014-07-24,16.6,,,,,,,,,,,,,,,,,,
2014-07-25,16.9,,,,,,,,,,,,,,,,,,
2014-07-26,16.5,,,,,,,,,,,,,,,,,,
2014-07-27,16.6,,,,,,,,,,,,,,,,,,
2014-07-28,20.0,,,,,,,,,,,,,,,,,,
2014-07-29,22.0,,,,,,,,,,,,,,,,,,
2014-07-31,20.4,,,,,,,,,,,,,,,,,,
2014-08-01,21.6,,,,,,,,,,,,,,,,,,
2014-08-02,24.3,,,,,,,,,,,,,,,,,,
2014-08-03,23.8,,,,,,,,,,,,,,,,,,
2014-08-04,18.7,,,,,,,,,,,,,,,,,,
2014-08-05,17.1,,,,,,,,,,,,,,,,,,
2014-08-06,17.3,,,,,,,,,,,,,,,,,,
2014-08-07,20.2,,,,,,,,,,,,,,,,,,
