date,examinLcDetail,ecoli_max,enterococcus_max
2017-07-07,동편화장실,313.0,93.0
2017-07-07,자연산횟집,581.0,171.0
2017-07-07,흰색3층건물,288.0,86.0
2017-07-13,동편화장실,341.0,93.0
2017-07-13,자연산횟집,52.0,21.0
2017-07-13,흰색3층건물,41.0,10.0
2017-07-19,동편화장실,1.0,1.0
2017-07-19,자연산횟집,1.0,1.0
2017-07-19,흰색3층건물,1.0,1.0
2017-07-27,동편화장실,97.0,37.0
2017-07-27,자연산횟집,109.0,10.0
2017-07-27,흰색3층건물,98.0,5.0
2017-08-02,동편화장실,959.0,273.0
2017-08-02,자연산횟집,41.0,21.0
2017-08-02,흰색3층건물,134.0,26.0
2017-08-11,동편화장실,41.0,15.0
2017-08-11,자연산횟집,243.0,26.0
2017-08-11,흰색3층건물,197.0,10.0
2017-08-17,동편화장실,120.0,32.0
2017-08-17,자연산횟집,145.0,26.0
2017-08-17,흰색3층건물,52.0,26.0
2017-08-23,동편화장실,86.0,10.0
2017-08-23,자연산횟집,73.0,16.0
2017-08-23,흰색3층건물,97.0,21.0
2017-09-20,동편화장실,62.0,21.0
2017-09-20,자연산횟집,31.0,10.0
2017-09-20,흰색3층건물,41.0,15.0
2018-06-04,고성횟집 앞,1.0,1.0
2018-06-04,동편 화장실 앞,31.0,36.0
2018-06-04,자연산횟집 앞,10.0,1.0
2019-06-17,A,110.0,117.0
2019-06-17,B,31.0,42.0
2019-06-17,C,74.0,16.0
2019-07-04,A,52.0,43.0
2019-07-04,B,173.0,1405.0
2019-07-04,C,85.0,84.0
2019-07-16,A,41.0,153.0
2019-07-16,B,30.0,127.0
2019-07-16,C,31.0,94.0
2019-07-30,A,31.0,81.0
2019-07-30,B,1.0,26.0
2019-07-30,C,1.0,10.0
2019-08-13,A,414.0,141.0
2019-08-13,B,31.0,1.0
2019-08-13,C,31.0,5.0
2019-08-20,A,414.0,141.0
2019-08-20,B,31.0,1.0
2019-08-20,C,31.0,5.0
