date,gijang_discharge_m3_day,jeonggwan_discharge_m3_day
2014-01-01,17407.0,13349
2014-01-02,16568.0,13028
2014-01-03,16333.0,14004
2014-01-04,17188.0,15084
2014-01-05,16464.0,12708
2014-01-06,16313.0,12955
2014-01-07,16311.0,12953
2014-01-08,17264.0,12849
2014-01-09,16678.0,12561
2014-01-10,16785.0,13459
2014-01-11,16966.0,13770
2014-01-12,16628.0,12863
2014-01-13,16916.0,13064
2014-01-14,15813.0,13371
2014-01-15,16183.0,12928
2014-01-16,16167.0,12226
2014-01-17,16496.0,13537
2014-01-18,16245.0,13003
2014-01-19,15469.0,13669
2014-01-20,15797.0,13390
2014-01-21,16265.0,13311
2014-01-22,16510.0,12937
2014-01-23,16197.0,13373
2014-01-24,15955.0,12159
2014-01-25,15265.0,13468
2014-01-26,16373.0,12885
2014-01-27,16008.0,13084
2014-01-28,15903.0,13306
2014-01-29,16522.0,13722
2014-01-30,16984.0,13001
2014-01-31,15979.0,10298
2014-02-01,15213.0,11258
2014-02-02,16481.0,13341
2014-02-03,15466.0,13680
2014-02-04,14878.0,14212
2014-02-05,16220.0,14667
2014-02-06,16412.0,13707
2014-02-07,16277.0,14913
2014-02-08,17801.0,16101
2014-02-09,16102.0,14386
2014-02-10,18283.0,13884
2014-02-11,18631.0,13969
2014-02-12,17889.0,15182
2014-02-13,19376.0,15707
2014-02-14,20264.0,15061
2014-02-15,19158.0,15551
2014-02-16,19159.0,14826
2014-02-17,18875.0,15280
2014-02-18,19543.0,14010
2014-02-19,19792.0,13232
2014-02-20,17923.0,14355
2014-02-21,18899.0,13385
2014-02-22,18818.0,13104
2014-02-23,18509.0,13216
2014-02-24,18846.0,13609
2014-02-25,18041.0,12987
2014-02-26,17869.0,15380
2014-02-27,19583.0,14455
2014-02-28,20767.0,14356
2014-03-01,19325.0,13933
2014-03-02,19568.0,14296
2014-03-03,18992.0,13442
2014-03-04,19011.0,14034
2014-03-05,18153.0,13976
2014-03-06,17924.0,13890
2014-03-07,17093.0,13670
2014-03-08,16465.0,13894
2014-03-09,15158.0,13999
2014-03-10,15627.0,14059
2014-03-11,15136.0,14030
2014-03-12,15534.0,15553
2014-03-13,18285.0,22981
2014-03-14,22752.0,17049
2014-03-15,23280.0,15831
2014-03-16,21528.0,13623
2014-03-17,21665.0,14483
2014-03-18,21178.0,14898
2014-03-19,17649.0,14036
2014-03-20,18333.0,13682
2014-03-21,17764.0,12579
2014-03-22,17041.0,13658
2014-03-23,15827.0,12986
2014-03-24,16483.0,14024
2014-03-25,16960.0,14968
2014-03-26,19361.0,15674
2014-03-27,18681.0,14576
2014-03-28,18718.0,14117
2014-03-29,18523.0,16388
2014-03-30,18760.0,17666
2014-03-31,18601.0,14819
2014-04-01,22088.0,16357
2014-04-02,23323.0,15945
2014-04-03,24231.0,14472
2014-04-04,24029.0,15639
2014-04-05,22780.0,13035
