老磊,家阿贸府樊(沛/老),ph,bod,cod,ss,tn,tp
20260908,8523,6.7,3.0,5.2,1.1,4.848,0.057
20260907,7987,6.8,4.6,6.0,1.3,5.084,0.174
20260906,8163,6.9,3.1,5.4,1.2,4.192,0.248
20260905,8286,6.4,3.0,5.2,1.5,6.849,0.345
20260904,8083,6.5,3.1,4.9,1.1,5.992,0.394
20260903,6911,6.9,3.4,6.5,1.5,5.408,0.459
20260902,7995,7.0,4.2,5.7,1.9,5.154,0.224
20260901,7474,6.9,4.4,5.6,1.5,4.793,0.222
20260831,8275,6.2,4.4,5.6,1.7,5.493,0.401
20260830,7739,5.9,3.1,5.7,2.2,6.310,0.627
20260829,8834,6.1,3.6,5.1,2.3,5.592,0.592
20260828,9002,6.8,3.7,6.5,3.5,4.442,0.695
20260827,8309,6.4,1.2,6.3,2.4,4.944,0.697
20260826,8191,7.100,3.7,6.3,2.4,2.809,0.013
20260825,8375,7.0,3.3,6.0,2.1,4.121,0.000
20260824,8840,7.0,3.9,5.9,2.1,4.843,0.252
20260823,8747,6.2,3.6,5.8,1.7,3.320,0.442
20260822,8508,6.2,3.7,5.6,1.7,4.762,0.268
20260821,8609,7.0,2.8,5.4,1.6,4.533,0.033
20260820,7218,6.9,2.7,6.2,1.3,5.353,0.421
20260819,7386,6.2,2.5,6.1,1.3,4.448,0.420
20260818,8857,6.2,2.3,6.2,1.3,4.122,0.441
20260817,9506,6.9,3.7,6.2,1.2,3.960,0.441
20260816,7920,6.9,2.0,6.6,1.4,1.864,0.491
20260815,8002,5.9,2.8,6.5,1.6,4.860,0.502
20260814,8202,6.1,2.8,7.2,2.0,6.079,0.662
20260813,6941,6.7,1.3,5.7,1.0,4.636,0.564
20260812,7886,6.7,1.3,5.3,1.4,6.630,0.452
20260811,8494,6.4,2.2,5.1,1.2,5.990,0.346
20260810,8235,6.5,3.4,6.5,1.2,4.761,0.161
20260809,8219,6.9,2.7,5.9,1.3,3.725,0.161
20260808,8591,6.8,2.4,5.4,1.1,5.338,0.161
20260807,7382,6.5,2.7,5.9,1.2,2.923,0.161
20260806,7909,6.7,2.0,5.4,1.1,3.271,0.161
20260805,8366,6.8,2.7,5.5,1.2,3.837,0.161
20260804,8551,6.85,2.0,6.0,1.2,5.018,0.161
20260803,8830,6.4,4.2,6.0,1.2,4.010,0.161
20260802,8551,6.4,2.5,5.8,1.3,4.281,0.161
20260801,8522,6.9,5.3,5.6,1.4,3.913,0.161
20260731,8298,6.9,4.5,5.6,1.4,3.269,0.183
20260730,7993,6.5,3.2,6.1,1.6,2.500,0.240
20260729,7751,6.4,3.0,6.0,1.7,2.140,0.360
20260728,6721,6.45,3.0,6.2,2.3,7.334,0.530
20260727,8666,6.7,3.4,5.8,2.2,4.561,0.574
20260726,8699,6.5,2.1,5.9,2.6,4.372,0.520
20260725,8391,6.5,2.4,7.3,2.2,3.744,0.438
20260724,7930,6.9,4.6,5.2,2.3,3.834,0.385
20260723,8199,6.9,7.9,9.9,2.2,4.531,0.160
20260722,7275,6.5,2.5,9.6,2.1,4.024,0.125
20260721,7325,6.5,2.7,9.7,2.1,3.583,0.160
20260720,7733,6.7,3.3,9.6,1.8,3.401,0.160
20260719,7901,6.9,3.2,9.4,1.8,4.442,0.160
20260718,8314,6.6,4.9,9.8,1.8,5.029,0.160
