관측소명,관측소코드,관측일시,풍향,기압(hPa),습도(%),기온(℃),수온(℃),최대파고(m),풍속(m/s),위도,경도
울산,22189,2016-10-01,WSW,1017.8,79.0,22.0,23.0,1.6,4.6,35.3453000000,129.8414000000
울산,22189,2016-10-02,WSW,1016.0,86.0,23.0,23.5,1.0,2.5,35.3453000000,129.8414000000
울산,22189,2016-10-03,N,1010.3,92.0,24.0,23.3,1.0,4.1,35.3453000000,129.8414000000
울산,22189,2016-10-04,S,1015.5,84.0,23.4,23.7,3.7,7.6,35.3453000000,129.8414000000
울산,22189,2016-10-05,ESE,1006.6,81.0,23.1,23.7,12.5,10.7,35.3453000000,129.8414000000
울산,22189,2016-10-06,SSE,1019.7,72.0,22.6,23.9,3.4,5.4,35.3453000000,129.8414000000
울산,22189,2016-10-07,NNW,1020.7,68.0,21.5,23.5,3.5,6.8,35.3453000000,129.8414000000
울산,22189,2016-10-08,SW,1010.6,77.0,22.0,23.9,2.3,5.5,35.3453000000,129.8414000000
울산,22189,2016-10-09,N,1016.1,58.0,18.4,23.5,3.6,9.8,35.3453000000,129.8414000000
울산,22189,2016-10-10,NW,1019.6,59.0,18.6,22.8,3.7,7.4,35.3453000000,129.8414000000
울산,22189,2016-10-11,S,1019.1,59.0,19.4,23.0,2.6,4.4,35.3453000000,129.8414000000
울산,22189,2016-10-12,ESE,1020.5,62.0,20.1,23.1,3.2,7.2,35.3453000000,129.8414000000
울산,22189,2016-10-13,S,1022.5,60.0,19.9,22.7,2.9,3.4,35.3453000000,129.8414000000
울산,22189,2016-10-14,SE,1024.6,62.0,20.3,22.7,1.1,2.2,35.3453000000,129.8414000000
울산,22189,2016-10-15,W,1025.3,66.0,20.8,22.5,1.5,5.5,35.3453000000,129.8414000000
울산,22189,2016-10-16,WSW,1020.0,82.0,20.0,22.4,1.9,4.6,35.3453000000,129.8414000000
울산,22189,2016-10-17,SW,1016.2,83.0,21.2,22.0,1.3,2.6,35.3453000000,129.8414000000
울산,22189,2016-10-18,N,1019.2,73.0,21.0,22.6,1.6,5.7,35.3453000000,129.8414000000
울산,22189,2016-10-19,S,1017.5,71.0,20.6,22.6,2.6,4.3,35.3453000000,129.8414000000
울산,22189,2016-10-20,N>,1018.7,70.0,20.7,22.2,4.5,7.1,35.3453000000,129.8414000000
울산,22189,2016-10-21,N,1020.6,68.0,18.5,21.8,5.5,9.6,35.3453000000,129.8414000000
울산,22189,2016-10-22,NNE,1014.1,72.0,19.4,22.0,2.5,6.8,35.3453000000,129.8414000000
울산,22189,2016-10-23,NNW,1015.3,68.0,18.1,21.7,6.6,11.7,35.3453000000,129.8414000000
울산,22189,2016-10-24,NNW,1018.3,59.0,17.5,21.9,5.3,6.9,35.3453000000,129.8414000000
울산,22189,2016-10-25,SSW,1012.1,73.0,21.1,22.5,3.8,8.2,35.3453000000,129.8414000000
울산,22189,2016-10-26,S,1018.0,71.0,19.8,22.2,2.1,3.3,35.3453000000,129.8414000000
울산,22189,2016-10-27,SW,1022.6,67.0,19.0,22.0,4.1,9.1,35.3453000000,129.8414000000
울산,22189,2016-10-28,SSE,1014.1,80.0,18.6,21.9,4.1,8.2,35.3453000000,129.8414000000
울산,22189,2016-10-29,S,1022.1,69.0,17.2,21.6,5.7,8.5,35.3453000000,129.8414000000
울산,22189,2016-10-30,SSE,1027.0,57.0,15.5,21.4,4.1,5.5,35.3453000000,129.8414000000
울산,22189,2016-10-31,S,1024.3,54.0,16.5,21.7,1.9,4.3,35.3453000000,129.8414000000
울산,22189,2016-11-01,,1025.7,57.0,11.9,21.8,4.0,8.8,35.3453000000,129.8414000000
울산,22189,2016-11-02,,1024.7,44.0,12.1,21.6,4.0,6.6,35.3453000000,129.8414000000
울산,22189,2016-11-03,,1022.3,49.0,14.1,21.0,2.0,5.3,35.3453000000,129.8414000000
울산,22189,2016-11-04,,1017.5,54.0,16.3,21.2,2.3,5.5,35.3453000000,129.8414000000
울산,22189,2016-11-05,,1013.9,63.0,18.6,21.9,2.5,8.7,35.3453000000,129.8414000000
울산,22189,2016-11-06,,1023.7,72.0,16.7,21.7,6.0,10.6,35.3453000000,129.8414000000
울산,22189,2016-11-07,,1023.9,59.0,16.1,21.4,4.8,6.5,35.3453000000,129.8414000000
울산,22189,2016-11-08,,1019.8,60.0,15.6,21.5,5.0,7.7,35.3453000000,129.8414000000
울산,22189,2016-11-09,,1025.8,62.0,12.5,21.4,5.3,9.0,35.3453000000,129.8414000000
울산,22189,2016-11-10,,1020.6,64.0,14.0,21.0,3.6,6.4,35.3453000000,129.8414000000
울산,22189,2016-11-11,,1018.5,54.0,15.4,21.3,3.4,5.6,35.3453000000,129.8414000000
울산,22189,2016-11-12,,1023.2,52.0,17.3,21.2,2.5,4.1,35.3453000000,129.8414000000
울산,22189,2016-11-13,,1022.7,65.0,19.1,21.3,1.6,3.8,35.3453000000,129.8414000000
울산,22189,2016-11-14,,1016.0,78.0,19.7,21.3,3.2,5.8,35.3453000000,129.8414000000
울산,22189,2016-11-15,,1016.7,62.0,17.2,20.9,3.4,7.1,35.3453000000,129.8414000000
울산,22189,2016-11-16,,1021.2,47.0,16.6,20.7,3.8,3.3,35.3453000000,129.8414000000
울산,22189,2016-11-17,,1023.7,60.0,15.9,20.6,2.2,5.6,35.3453000000,129.8414000000
울산,22189,2016-11-18,,1019.0,70.0,17.8,21.5,1.9,3.8,35.3453000000,129.8414000000
울산,22189,2016-11-19,,1012.9,82.0,18.5,20.7,2.4,5.8,35.3453000000,129.8414000000
울산,22189,2016-11-20,,1019.3,68.0,17.9,21.2,2.7,7.1,35.3453000000,129.8414000000
울산,22189,2016-11-21,,1017.7,71.0,17.3,20.3,3.2,6.3,35.3453000000,129.8414000000
울산,22189,2016-11-22,,1017.3,65.0,14.5,20.1,5.1,8.1,35.3453000000,129.8414000000
