inspecYm,inspecDivision,inspecArea,water01,water02,waterComment,sample_date
20140513,개장전,임랑 1,13,6,적합,2014-05-13
20140513,개장전,임랑 2,17,6,적합,2014-05-13
20140513,개장전,임랑 3,32,4,적합,2014-05-13
20140701,개장5차,임랑 1,31,73,적합,2014-07-01
20140701,개장5차,임랑 2,79,73,적합,2014-07-01
20140701,개장5차,임랑 3,24,49,적합,2014-07-01
20140715,개장6차,임랑 1,10,109,적합,2014-07-15
20140715,개장6차,임랑 2,16,202,적합,2014-07-15
20140715,개장6차,임랑 3,21,148,적합,2014-07-15
20140722,개장7차,임랑 1,<1,74,적합,2014-07-22
20140722,개장7차,임랑 2,<1,<1,적합,2014-07-22
20140722,개장7차,임랑 3,<1,<1,적합,2014-07-22
20140729,개장8차,임랑 1,<1,20,적합,2014-07-29
20140729,개장8차,임랑 2,37,41,적합,2014-07-29
20140729,개장8차,임랑 3,5,20,적합,2014-07-29
20140812,개장9차,임랑 1,10,21,적합,2014-08-12
20140812,개장9차,임랑 2,26,21,적합,2014-08-12
20140812,개장9차,임랑 3,5,26,적합,2014-08-12
20140827,개장10차,임랑 1,38,200,적합,2014-08-27
20140827,개장10차,임랑 2,49,240,적합,2014-08-27
20140827,개장10차,임랑 3,86,520,적합,2014-08-27
20140921,폐장후,임랑 1,5,<1,적합,2014-09-21
20140921,폐장후,임랑 2,<1,5,적합,2014-09-21
20140921,폐장후,임랑 3,5,5,적합,2014-09-21
20150506,개장전,임랑 1,420,"2,300",부적합,2015-05-06
20150506,개장전,임랑 2,380,"2,400",부적합,2015-05-06
20150506,개장전,임랑 3,120,780,부적합,2015-05-06
20150702,개장3차,임랑 1,21,86,적합,2015-07-02
20150702,개장3차,임랑 2,5,98,적합,2015-07-02
20150702,개장3차,임랑 3,32,98,적합,2015-07-02
20150716,개장4차,임랑 1,5,20,적합,2015-07-16
20150716,개장4차,임랑 2,10,31,적합,2015-07-16
20150716,개장4차,임랑 3,15,20,적합,2015-07-16
20150728,개장5차,임랑 1,5,10,적합,2015-07-28
20150728,개장5차,임랑 2,5,31,적합,2015-07-28
20150728,개장5차,임랑 3,21,41,적합,2015-07-28
20150804,개장6차,임랑 1,79,190,부적합,2015-08-04
20150804,개장6차,임랑 2,150,20,부적합,2015-08-04
20150804,개장6차,임랑 3,64,41,부적합,2015-08-04
20150811,개장7차,임랑 1,32,130,적합,2015-08-11
20150811,개장7차,임랑 2,16,75,적합,2015-08-11
20150811,개장7차,임랑 3,37,290,적합,2015-08-11
20150818,개장8차,임랑 1,<1,20,적합,2015-08-18
20150818,개장8차,임랑 2,5,<1,적합,2015-08-18
20150818,개장8차,임랑 3,<1,31,적합,2015-08-18
20150921,폐장후,임랑 1,10,75,적합,2015-09-21
20150921,폐장후,임랑 2,120,97,적합,2015-09-21
20150921,폐장후,임랑 3,<1,<1,적합,2015-09-21
20160512,개장전,임랑1,0,0,적합,2016-05-12
20160512,개장전,임랑2,26,30,적합,2016-05-12
20160512,개장전,임랑3,224,305,적합,2016-05-12
20160711,개장기3차,임랑1,330,570,부적합,2016-07-11
20160711,개장기3차,임랑2,"1,000","3,100",부적합,2016-07-11
20160711,개장기3차,임랑3,43,52,부적합,2016-07-11
20160719,개장기4차,임랑1,48,41,적합,2016-07-19
20160719,개장기4차,임랑2,32,20,적합,2016-07-19
20160719,개장기4차,임랑3,26,73,적합,2016-07-19
20160726,개장기5차,임랑1,166,168,적합,2016-07-26
20160726,개장기5차,임랑2,240,467,적합,2016-07-26
20160726,개장기5차,임랑3,10,62,적합,2016-07-26
20160809,개장기6차,임랑1,0,31,적합,2016-08-09
20160809,개장기6차,임랑2,21,41,적합,2016-08-09
20160809,개장기6차,임랑3,26,20,적합,2016-08-09
20160817,개장기7차,임랑1,10,31,적합,2016-08-17
20160817,개장기7차,임랑2,479,323,적합,2016-08-17
20160817,개장기7차,임랑3,412,221,적합,2016-08-17
20160822,개장기8차,임랑1,49,108,적합,2016-08-22
20160822,개장기8차,임랑2,37,74,적합,2016-08-22
20160822,개장기8차,임랑3,21,10,적합,2016-08-22
20160907,개장기9차,임랑1,32,131,적합,2016-09-07
20160907,폐장후,임랑1,32,131,적합,2016-09-07
20160907,개장기9차,임랑2,0,145,적합,2016-09-07
20160907,폐장후,임랑2,0,145,적합,2016-09-07
20160907,개장기9차,임랑3,0,223,적합,2016-09-07
20160907,폐장후,임랑3,0,223,적합,2016-09-07
20170515,개장전,임랑1,16,30,적합,2017-05-15
20170515,개장전,임랑2,66,109,적합,2017-05-15
20170515,개장전,임랑3,21,41,적합,2017-05-15
20170707,개장기 3차,임랑1,10,63,적합,2017-07-07
20170707,개장기 3차,임랑2,26,275,적합,2017-07-07
20170707,개장기 3차,임랑3,16,146,적합,2017-07-07
20170713,개장기 3차,임랑1,85,195,적합,2017-07-13
20170713,개장기 4차,임랑1,85,195,적합,2017-07-13
20170713,개장기 3차,임랑2,10,31,적합,2017-07-13
20170713,개장기 4차,임랑2,10,31,적합,2017-07-13
20170713,개장기 3차,임랑3,5,20,적합,2017-07-13
20170713,개장기 4차,임랑3,5,20,적합,2017-07-13
20170719,개장기 5차,임랑1,10,74,적합,2017-07-19
20170719,개장기 5차,임랑2,0,52,적합,2017-07-19
20170719,개장기 5차,임랑3,0,41,적합,2017-07-19
20170727,개장기 6차,임랑1,0,20,적합,2017-07-27
20170727,개장기 6차,임랑2,10,20,적합,2017-07-27
20170727,개장기 6차,임랑3,5,10,적합,2017-07-27
20170802,개장기 7차,임랑1,49,185,적합,2017-08-02
20170802,개장기 7차,임랑2,37,97,적합,2017-08-02
20170802,개장기 7차,임랑3,0,10,적합,2017-08-02
20170811,개장기 8차,임랑1,16,52,적합,2017-08-11
20170811,개장기 8차,임랑2,21,75,적합,2017-08-11
20170811,개장기 8차,임랑3,0,10,적합,2017-08-11
20170817,개장기 9차,임랑1,10,20,적합,2017-08-17
20170817,개장기 9차,임랑2,5,30,적합,2017-08-17
20170817,개장기 9차,임랑3,10,20,적합,2017-08-17
20170823,개장기 10차,임랑1,21,228,적합,2017-08-23
20170823,개장기 10차,임랑2,5,52,적합,2017-08-23
20170823,개장기 10차,임랑3,5,41,적합,2017-08-23
20180516,개장전,임랑1,5,0,적합,2018-05-16
20180516,개장전,임랑2,0,0,적합,2018-05-16
20180516,개장전,임랑3,48,74,적합,2018-05-16
20180712,3차,임랑1,0,10,적합,2018-07-12
20180712,3차,임랑2,5,0,적합,2018-07-12
20180712,3차,임랑3,0,74,적합,2018-07-12
20180719,4차,임랑1,5,10,적합,2018-07-19
20180719,4차,임랑2,0,10,적합,2018-07-19
20180719,4차,임랑3,0,0,적합,2018-07-19
20180726,5차,임랑1,16,109,적합,2018-07-26
20180726,5차,임랑2,0,41,적합,2018-07-26
20180726,5차,임랑3,5,85,적합,2018-07-26
20180802,6차,임랑1,42,30,적합,2018-08-02
20180802,6차,임랑2,"1,724","1,281",적합,2018-08-02
20180802,6차,임랑3,0,20,적합,2018-08-02
20180809,7차,임랑1,0,74,적합,2018-08-09
20180809,7차,임랑2,0,41,적합,2018-08-09
20180809,7차,임랑3,0,52,적합,2018-08-09
20180822,8차,임랑1,10,41,적합,2018-08-22
20180822,8차,임랑2,0,41,적합,2018-08-22
20180822,8차,임랑3,10,86,적합,2018-08-22
20180912,폐장후,임랑1,21,197,적합,2018-09-12
20180912,폐장후,임랑2,16,294,적합,2018-09-12
20180912,폐장후,임랑3,6,422,적합,2018-09-12
20190617,개장전 6월 17일,임랑1,0,0,적합,2019-06-17
20190617,개장전 6월 17일,임랑2,106,480,적합,2019-06-17
20190617,개장전 6월 17일,임랑3,21,73,적합,2019-06-17
20190704,개장중 7월 4일,임랑1,38,414,적합,2019-07-04
20190704,개장중 7월 4일,임랑2,5,41,적합,2019-07-04
20190704,개장중 7월 4일,임랑3,32,97,적합,2019-07-04
20190716,개장중 7월 16일,임랑1,21,311,적합,2019-07-16
20190716,개장중 7월 16일,임랑2,219,884,적합,2019-07-16
20190716,개장중 7월 16일,임랑3,5,0,적합,2019-07-16
20190730,개장중 7월 30일,임랑1,32,131,적합,2019-07-30
20190730,개장중 7월 30일,임랑2,21,52,적합,2019-07-30
20190730,개장중 7월 30일,임랑3,0,0,적합,2019-07-30
20190813,개장중 8월 13일,임랑1,0,20,적합,2019-08-13
20190813,개장중 8월 13일,임랑2,0,0,적합,2019-08-13
20190813,개장중 8월 13일,임랑3,0,20,적합,2019-08-13
20190820,개장중 8월 20일,임랑1,5,20,적합,2019-08-20
20190820,개장중 8월 20일,임랑2,5,31,적합,2019-08-20
20190820,개장중 8월 20일,임랑3,0,0,적합,2019-08-20
20200617,개장전 6월 17일,임랑1,0,0,적합,2020-06-17
20200617,개장전 6월 17일,임랑2,74,41,적합,2020-06-17
20200617,개장전 6월 17일,임랑3,5,74,적합,2020-06-17
20200709,개장중 7월 9일,임랑1,32,259,적합,2020-07-09
20200709,개장중 7월 9일,임랑2,10,169,적합,2020-07-09
20200709,개장중 7월 9일,임랑3,37,327,적합,2020-07-09
20200717,개장중 7월17일,임랑1,48,309,적합,2020-07-17
20200717,개장중 7월17일,임랑2,116,192,적합,2020-07-17
20200717,개장중 7월17일,임랑3,0,0,적합,2020-07-17
20200721,개장중 7월 21일,임랑1,21,882,적합,2020-07-21
20200721,개장중 7월 21일,임랑2,0,148,적합,2020-07-21
20200721,개장중 7월 21일,임랑3,31,"1,455",적합,2020-07-21
20200804,개장중 8월 14일,임랑1,26,63,적합,2020-08-04
20200804,개장중 8월 4일,임랑1,26,63,적합,2020-08-04
20200804,개장중 8월 14일,임랑2,81,52,적합,2020-08-04
20200804,개장중 8월 4일,임랑2,26,52,적합,2020-08-04
20200804,개장중 8월 14일,임랑3,32,906,적합,2020-08-04
20200804,개장중 8월 4일,임랑3,128,906,적합,2020-08-04
20200814,개장중 8월 14일,임랑1,21,20,적합,2020-08-14
20200814,개장중 8월 14일,임랑2,81,0,적합,2020-08-14
20200814,개장중 8월 14일,임랑3,32,125,적합,2020-08-14
20200819,개장중 8월 19일,임랑1,5,97,적합,2020-08-19
20200819,개장중 8월 19일,임랑2,220,"1,169",적합,2020-08-19
20200819,개장중 8월 19일,임랑3,32,414,적합,2020-08-19
20200915,폐장후 9월 15일,임랑1,5,41,적합,2020-09-15
20200915,폐장후 9월 15일,임랑2,10,31,적합,2020-09-15
20200915,폐장후 9월 15일,임랑3,0,62,적합,2020-09-15
20210608,개장전 6월 8일,임랑1,10,0,적합,2021-06-08
20210608,개장중 6월 8일,임랑1,10,0,적합,2021-06-08
20210608,개장전 6월 8일,임랑2,5,20,적합,2021-06-08
20210608,개장중 6월 8일,임랑2,5,20,적합,2021-06-08
20210608,개장전 6월 8일,임랑3,0,52,적합,2021-06-08
20210608,개장중 6월 8일,임랑3,0,52,적합,2021-06-08
20210715,개장중 7월 15일,임랑1,0,10,적합,2021-07-15
20210715,개장중 7월 15일,임랑2,117,187,적합,2021-07-15
20210715,개장중 7월 15일,임랑3,0,20,적합,2021-07-15
20210722,개장중 7월 22일,임랑1,5,0,적합,2021-07-22
20210722,개장중 7월 22일,임랑2,0,0,적합,2021-07-22
20210722,개장중 7월 22일,임랑3,0,0,적합,2021-07-22
20210729,개장중 7월 29일,임랑1,5,41,적합,2021-07-29
20210729,개장중 7월 29일,임랑2,0,84,적합,2021-07-29
20210729,개장중 7월 29일,임랑3,5,41,적합,2021-07-29
20210803,개장중 8월 3일,임랑1,5,98,적합,2021-08-03
20210803,개장중 8월 3일,임랑2,0,10,적합,2021-08-03
20210803,개장중 8월 3일,임랑3,16,97,적합,2021-08-03
20210831,개장중 8월 31일,임랑1,202,10,적합,2021-08-31
20210831,개장중 8월 31일,임랑2,67,0,적합,2021-08-31
20210831,개장중 8월 31일,임랑3,237,148,적합,2021-08-31
20210929,폐장후 9월 29일,임랑1,42,52,적합,2021-09-29
20210929,폐장후 9월 29일,임랑2,10,20,적합,2021-09-29
20210929,폐장후 9월 29일,임랑3,0,0,적합,2021-09-29
20220613,개장전 6월 13일,임랑1,10,20,적합,2022-06-13
20220613,개장전 6월 13일,임랑2,5,0,적합,2022-06-13
20220613,개장전 6월 13일,임랑3,0,0,적합,2022-06-13
20220707,개장중 7월 7일,임랑1,0,10,적합,2022-07-07
20220707,개장중 7월 7일,임랑2,0,31,적합,2022-07-07
20220707,개장중 7월 7일,임랑3,0,41,적합,2022-07-07
20220720,개장중 7월 20일,임랑1,21,74,적합,2022-07-20
20220720,개장중 7월 20일,임랑2,16,85,적합,2022-07-20
20220720,개장중 7월 20일,임랑3,42,161,적합,2022-07-20
20220726,개장중 7월 26일,임랑1,21,107,적합,2022-07-26
20220726,개장중 7월 26일,임랑2,15,98,적합,2022-07-26
20220726,개장중 7월 26일,임랑3,15,63,적합,2022-07-26
20220803,개장중 8월 3일,임랑1,0,10,적합,2022-08-03
20220803,개장중 8월 3일,임랑2,21,20,적합,2022-08-03
20220803,개장중 8월 3일,임랑3,5,63,적합,2022-08-03
20220809,개장중 8월 9일,임랑1,5,20,적합,2022-08-09
20220809,개장중 8월 9일,임랑2,0,10,적합,2022-08-09
20220809,개장중 8월 9일,임랑3,5,0,적합,2022-08-09
20220816,개장중 8월 16일,임랑1,319,364,부적합,2022-08-16
20220816,개장중 8월 16일,임랑2,273,213,부적합,2022-08-16
20220816,개장중 8월 16일,임랑3,384,173,부적합,2022-08-16
20220818,개장중 8월 18일,임랑1,5,20,적합,2022-08-18
20220818,개장중 8월 18일,임랑2,16,226,적합,2022-08-18
20220818,개장중 8월 18일,임랑3,10,84,적합,2022-08-18
20220830,개장중 8월 30일,임랑1,0,10,적합,2022-08-30
20220830,개장중 8월 30일,임랑2,213,"2,254",적합,2022-08-30
20220830,개장중 8월 30일,임랑3,38,350,적합,2022-08-30
20220926,폐장후 9월 26일,임랑1,0,0,적합,2022-09-26
20220926,폐장후 9월 26일,임랑2,0,0,적합,2022-09-26
20220926,폐장후 9월 26일,임랑3,0,10,적합,2022-09-26
20230607,개장전 6월 7일,임랑1,0,10,적합,2023-06-07
20230607,개장전 6월 7일,임랑2,5,20,적합,2023-06-07
20230607,개장전 6월 7일,임랑3,0,0,적합,2023-06-07
20230704,개장중 7월 4일,임랑-A1,0,0,적합,2023-07-04
20230704,개장중 7월 4일,임랑-A2,16,0,적합,2023-07-04
20230704,개장중 7월 4일,임랑-B1,0,0,적합,2023-07-04
20230704,개장중 7월 4일,임랑-B2,10,41,적합,2023-07-04
20230704,개장중 7월 4일,임랑-C1,0,20,적합,2023-07-04
20230704,개장중 7월 4일,임랑-C2,0,0,적합,2023-07-04
20230719,개장중 7월 19일,임랑-A1,"1,307",602,부적합,2023-07-19
20230719,개장중 7월 19일,임랑-A2,523,703,부적합,2023-07-19
20230719,개장중 7월 19일,임랑-B1,"1,350",882,부적합,2023-07-19
20230719,개장중 7월 19일,임랑-B2,577,857,부적합,2023-07-19
20230719,개장중 7월 19일,임랑-C1,"1,426",717,부적합,2023-07-19
20230719,개장중 7월 19일,임랑-C2,594,820,부적합,2023-07-19
20230727,개장중 7월 27일,임랑-A1,5,31,적합,2023-07-27
20230727,개장중 7월 27일,임랑-A2,15,20,적합,2023-07-27
20230727,개장중 7월 27일,임랑-B1,5,20,적합,2023-07-27
20230727,개장중 7월 27일,임랑-B2,5,10,적합,2023-07-27
20230727,개장중 7월 27일,임랑-C1,21,109,적합,2023-07-27
20230727,개장중 7월 27일,임랑-C2,5,52,적합,2023-07-27
20230801,개장중 8월 1일,임랑-A1,0,0,적합,2023-08-01
20230801,개장중 8월 1일,임랑-A2,0,0,적합,2023-08-01
20230801,개장중 8월 1일,임랑-B1,0,0,적합,2023-08-01
20230801,개장중 8월 1일,임랑-B2,0,0,적합,2023-08-01
20230801,개장중 8월 1일,임랑-C1,10,0,적합,2023-08-01
20230801,개장중 8월 1일,임랑-C2,10,0,적합,2023-08-01
20230808,개장중 8월 8일,임랑-A1,0,0,적합,2023-08-08
20230808,개장중 8월 8일,임랑-A2,5,0,적합,2023-08-08
20230808,개장중 8월 8일,임랑-B1,5,0,적합,2023-08-08
20230808,개장중 8월 8일,임랑-B2,5,0,적합,2023-08-08
