date,wind_max,wind_dir
2014-01-01,22.1,263
2014-01-02,16.2,291
2014-01-03,8.2,287
2014-01-04,17.5,16
2014-01-05,15.3,358
2014-01-06,16.1,344
2014-01-07,13.3,287
2014-01-08,21.5,323
2014-01-09,28.5,313
2014-01-10,23.7,306
2014-01-11,13.7,301
2014-01-12,16.3,297
2014-01-13,20.2,323
2014-01-14,15.2,331
2014-01-15,19.3,326
2014-01-16,12.7,324
2014-01-17,16.4,324
2014-01-18,22.8,308
2014-01-19,16.8,289
2014-01-20,20.8,272
2014-01-21,21.8,306
2014-01-22,16.3,312
2014-01-23,11.5,269
2014-01-24,21.4,243
2014-01-25,20.9,241
2014-01-26,22.5,344
2014-01-27,20.1,230
2014-01-28,16.8,280
2014-01-29,14.7,235
2014-01-30,23.5,255
2014-01-31,11.9,267
2014-02-01,20.9,208
2014-02-02,13.2,262
2014-02-03,22.2,326
2014-02-04,27.2,317
2014-02-05,18.0,348
2014-02-06,16.9,10
2014-02-07,27.1,59
2014-02-08,24.2,42
2014-02-09,21.3,0
2014-02-10,30.8,32
2014-02-11,20.2,34
2014-02-12,17.8,31
2014-02-13,21.2,34
2014-02-14,29.3,37
2014-02-15,19.6,1
2014-02-16,11.0,249
2014-02-17,22.9,39
2014-02-18,29.1,39
2014-02-19,20.4,36
2014-02-20,9.2,325
2014-02-21,12.6,355
2014-02-22,9.4,24
2014-02-23,10.3,5
2014-02-24,8.6,281
2014-02-25,8.9,273
2014-02-26,14.5,50
2014-02-27,13.2,337
2014-02-28,21.7,32
2014-03-01,12.7,61
2014-03-02,20.1,7
2014-03-03,14.8,50
2014-03-04,10.8,113
2014-03-05,22.3,336
2014-03-06,20.2,319
2014-03-07,19.8,304
2014-03-08,15.9,297
2014-03-09,23.0,307
2014-03-10,17.8,310
2014-03-11,20.0,240
2014-03-12,12.9,212
2014-03-13,32.8,12
2014-03-14,15.7,336
2014-03-15,24.2,236
2014-03-16,17.6,240
2014-03-17,24.9,218
2014-03-18,25.7,252
2014-03-19,15.9,55
2014-03-20,19.9,338
2014-03-21,17.5,333
2014-03-22,13.0,247
2014-03-23,13.4,266
2014-03-24,22.4,233
2014-03-25,21.4,221
2014-03-26,13.0,237
2014-03-27,12.4,189
2014-03-28,18.7,218
2014-03-29,18.1,173
2014-03-30,16.2,10
2014-03-31,10.8,199
2014-04-01,11.7,188
2014-04-02,12.3,207
2014-04-03,14.8,6
2014-04-04,22.3,345
2014-04-05,17.4,350
2014-04-06,17.4,306
2014-04-07,15.0,258
2014-04-08,14.0,285
2014-04-09,15.2,233
2014-04-10,22.4,30
2014-04-11,9.3,83
2014-04-12,10.5,79
2014-04-13,18.1,33
2014-04-14,13.2,29
2014-04-15,16.3,280
2014-04-16,12.7,252
2014-04-17,17.7,326
2014-04-18,23.0,32
2014-04-19,23.6,47
2014-04-20,18.1,62
2014-04-21,11.9,1
2014-04-22,15.2,18
2014-04-23,16.1,224
2014-04-24,18.2,200
2014-04-25,13.4,205
2014-04-26,14.2,214
2014-04-27,15.1,209
2014-04-28,26.7,74
2014-04-29,20.5,159
2014-04-30,13.4,45
2014-05-01,14.8,233
2014-05-02,20.7,230
2014-05-03,24.2,280
2014-05-04,22.0,216
2014-05-05,18.2,285
2014-05-06,15.6,242
2014-05-07,22.1,210
2014-05-08,26.2,239
2014-05-09,17.0,14
2014-05-10,16.6,50
2014-05-11,17.1,116
2014-05-12,31.3,214
2014-05-13,18.2,238
2014-05-14,13.8,210
2014-05-15,19.4,298
2014-05-16,12.6,267
2014-05-17,14.1,146
2014-05-18,11.0,92
2014-05-19,14.6,187
2014-05-20,9.7,51
2014-05-21,16.0,331
2014-05-22,15.2,85
2014-05-23,11.1,84
2014-05-24,20.7,225
2014-05-25,26.8,204
2014-05-26,24.3,241
2014-05-27,23.4,224
2014-05-28,23.8,212
2014-05-29,17.2,219
2014-05-30,16.2,218
2014-05-31,17.5,223
2014-06-01,16.4,229
2014-06-02,10.5,185
2014-06-03,17.8,108
2014-06-04,23.0,43
2014-06-05,19.9,27
2014-06-06,18.4,24
2014-06-07,17.6,36
2014-06-08,13.0,61
2014-06-09,15.6,56
2014-06-10,14.6,35
2014-06-11,21.8,27
2014-06-12,17.9,19
2014-06-13,12.8,215
2014-06-14,17.2,213
2014-06-15,14.1,237
2014-06-16,16.2,228
2014-06-17,11.6,181
2014-06-18,19.0,44
2014-06-19,16.0,205
2014-06-20,16.8,43
2014-06-21,23.5,38
2014-06-22,19.7,34
2014-06-23,12.8,172
2014-06-24,11.2,192
2014-06-25,13.3,178
2014-06-26,17.3,190
2014-06-27,14.5,127
2014-06-28,13.3,238
2014-06-29,11.0,172
2014-06-30,12.2,135
2014-07-01,13.5,179
2014-07-02,12.4,153
2014-07-03,22.7,58
2014-07-04,18.1,21
2014-07-05,14.7,29
2014-07-06,13.2,90
2014-07-07,11.4,88
2014-07-08,14.7,191
2014-07-09,20.0,85
2014-07-10,18.1,36
2014-07-11,14.3,281
2014-07-12,18.5,219
2014-07-13,10.5,240
2014-07-14,14.7,231
2014-07-15,13.5,212
2014-07-16,13.7,220
2014-07-17,15.8,227
2014-07-18,16.1,226
2014-07-19,10.2,239
2014-07-20,9.7,59
2014-07-21,15.4,210
2014-07-22,20.5,223
2014-07-23,16.2,226
2014-07-24,16.4,225
2014-07-25,29.9,199
2014-07-26,30.6,218
2014-07-27,15.0,54
2014-07-28,10.3,86
2014-07-29,13.0,156
2014-07-30,12.1,169
2014-07-31,17.7,158
2014-08-01,18.7,71
2014-08-02,27.7,111
2014-08-03,34.6,161
2014-08-04,25.9,204
2014-08-05,17.6,231
2014-08-06,13.4,225
2014-08-07,15.5,29
2014-08-08,28.9,37
2014-08-09,36.0,37
2014-08-10,26.9,7
2014-08-11,11.5,206
2014-08-12,13.0,252
2014-08-13,8.0,194
2014-08-14,18.8,27
2014-08-15,16.9,26
2014-08-16,13.2,34
2014-08-17,18.1,44
2014-08-18,22.7,195
2014-08-19,23.4,209
2014-08-20,20.0,196
2014-08-21,29.5,207
2014-08-22,10.1,225
2014-08-23,11.3,231
2014-08-24,12.2,205
2014-08-25,20.0,191
2014-08-26,18.1,8
2014-08-27,18.9,31
2014-08-28,15.5,38
2014-08-29,16.6,41
2014-08-30,18.6,35
2014-08-31,14.8,39
2014-09-01,18.3,37
2014-09-02,15.8,57
2014-09-03,26.4,196
2014-09-04,13.2,237
2014-09-05,9.0,248
2014-09-06,9.7,229
2014-09-07,10.8,36
2014-09-08,10.1,39
2014-09-09,7.1,232
2014-09-10,11.0,43
2014-09-11,14.6,40
2014-09-12,10.4,62
2014-09-13,18.7,52
2014-09-14,15.9,45
2014-09-15,7.4,331
2014-09-16,12.0,35
2014-09-17,10.1,51
2014-09-18,17.0,42
2014-09-19,11.9,70
2014-09-20,15.2,65
2014-09-21,11.3,54
2014-09-22,15.8,40
2014-09-23,13.9,71
2014-09-24,27.0,77
2014-09-25,18.4,16
2014-09-26,18.4,38
2014-09-27,7.9,358
2014-09-28,14.2,25
2014-09-29,9.3,53
2014-09-30,25.8,33
2014-10-01,16.3,48
2014-10-02,10.4,7
2014-10-03,17.8,332
2014-10-04,31.4,40
2014-10-05,31.5,33
2014-10-06,26.2,7
2014-10-07,12.8,30
2014-10-08,15.0,38
2014-10-09,13.3,35
2014-10-10,26.5,31
2014-10-11,27.0,43
2014-10-12,24.7,37
2014-10-13,40.6,21
2014-10-14,23.1,17
2014-10-15,10.8,171
2014-10-16,18.4,281
2014-10-17,13.2,290
2014-10-18,6.9,268
2014-10-19,10.8,181
2014-10-20,22.7,203
2014-10-21,25.5,36
2014-10-22,29.8,28
2014-10-23,14.3,35
2014-10-24,8.4,240
2014-10-25,7.6,243
2014-10-26,11.6,260
2014-10-27,20.9,14
2014-10-28,7.7,26
2014-10-29,7.0,119
2014-10-30,7.3,59
2014-10-31,15.2,44
2014-11-01,8.4,360
2014-11-02,22.8,291
2014-11-03,23.5,307
2014-11-04,8.7,302
2014-11-05,7.0,270
2014-11-06,14.2,331
2014-11-07,13.6,32
2014-11-08,8.3,39
2014-11-09,16.1,323
2014-11-10,12.0,7
2014-11-11,8.3,302
2014-11-12,23.9,278
2014-11-13,25.1,293
2014-11-14,20.7,287
2014-11-15,12.2,300
2014-11-16,7.4,291
2014-11-17,16.3,307
2014-11-18,15.6,321
2014-11-19,9.2,315
2014-11-20,8.0,289
2014-11-21,9.0,243
2014-11-22,9.2,308
2014-11-23,11.9,12
2014-11-24,23.4,24
2014-11-25,28.8,38
2014-11-26,15.3,17
2014-11-27,9.7,171
2014-11-28,15.6,189
2014-11-29,15.6,349
2014-11-30,9.9,50
2014-12-01,31.0,291
2014-12-02,25.2,288
2014-12-03,21.2,254
2014-12-04,15.9,298
2014-12-05,25.6,297
2014-12-06,27.2,300
2014-12-07,15.4,302
2014-12-08,18.8,324
2014-12-09,18.8,335
2014-12-10,8.8,271
2014-12-11,18.5,302
2014-12-12,23.3,300
2014-12-13,23.5,296
2014-12-14,20.1,291
2014-12-15,12.4,229
2014-12-16,32.4,287
2014-12-17,29.3,295
2014-12-18,23.8,315
2014-12-19,11.5,266
2014-12-20,24.7,293
2014-12-21,22.3,294
2014-12-22,21.5,280
2014-12-23,18.0,293
2014-12-24,18.9,277
2014-12-25,22.2,309
2014-12-26,16.3,327
2014-12-27,9.7,338
2014-12-28,10.2,310
2014-12-29,15.7,293
2014-12-30,16.0,265
2014-12-31,25.5,296
2015-01-01,33.1,300
