date,임랑해수욕장_정점명,임랑해수욕장_정점코드,임랑해수욕장_유속(cm/s),임랑해수욕장_유향(deg),임랑해수욕장_수온(℃),임랑해수욕장_염분(PSU),임랑해수욕장_유의파고(m),임랑해수욕장_유의파주기(sec),임랑해수욕장_최대파고(m),임랑해수욕장_최대파주기(sec),임랑해수욕장_풍속(m/s),임랑해수욕장_풍향(deg),임랑해수욕장_기온(℃),임랑해수욕장_기압(hPa),임랑해수욕장_시정(m)
2019-01-01,,,,,,,,,,,,,,,
2019-01-02,,,,,,,,,,,,,,,
2019-01-03,,,,,,,,,,,,,,,
2019-01-04,,,,,,,,,,,,,,,
2019-01-05,,,,,,,,,,,,,,,
2019-01-06,,,,,,,,,,,,,,,
2019-01-07,,,,,,,,,,,,,,,
2019-01-08,,,,,,,,,,,,,,,
2019-01-09,,,,,,,,,,,,,,,
2019-01-10,,,,,,,,,,,,,,,
2019-01-11,,,,,,,,,,,,,,,
2019-01-12,,,,,,,,,,,,,,,
2019-01-13,,,,,,,,,,,,,,,
2019-01-14,,,,,,,,,,,,,,,
2019-01-15,,,,,,,,,,,,,,,
2019-01-16,,,,,,,,,,,,,,,
2019-01-17,,,,,,,,,,,,,,,
2019-01-18,,,,,,,,,,,,,,,
2019-01-19,,,,,,,,,,,,,,,
2019-01-20,,,,,,,,,,,,,,,
2019-01-21,,,,,,,,,,,,,,,
2019-01-22,,,,,,,,,,,,,,,
2019-01-23,,,,,,,,,,,,,,,
2019-01-24,,,,,,,,,,,,,,,
2019-01-25,,,,,,,,,,,,,,,
2019-01-26,,,,,,,,,,,,,,,
2019-01-27,,,,,,,,,,,,,,,
2019-01-28,,,,,,,,,,,,,,,
2019-01-29,,,,,,,,,,,,,,,
2019-01-30,,,,,,,,,,,,,,,
2019-01-31,,,,,,,,,,,,,,,
2019-02-01,,,,,,,,,,,,,,,
2019-02-02,,,,,,,,,,,,,,,
2019-02-03,,,,,,,,,,,,,,,
2019-02-04,,,,,,,,,,,,,,,
2019-02-05,,,,,,,,,,,,,,,
2019-02-06,,,,,,,,,,,,,,,
2019-02-07,,,,,,,,,,,,,,,
2019-02-08,,,,,,,,,,,,,,,
2019-02-09,,,,,,,,,,,,,,,
2019-02-10,,,,,,,,,,,,,,,
2019-02-11,,,,,,,,,,,,,,,
2019-02-12,,,,,,,,,,,,,,,
2019-02-13,,,,,,,,,,,,,,,
2019-02-14,,,,,,,,,,,,,,,
2019-02-15,,,,,,,,,,,,,,,
2019-02-16,,,,,,,,,,,,,,,
2019-02-17,,,,,,,,,,,,,,,
2019-02-18,,,,,,,,,,,,,,,
2019-02-19,,,,,,,,,,,,,,,
2019-02-20,,,,,,,,,,,,,,,
2019-02-21,,,,,,,,,,,,,,,
2019-02-22,,,,,,,,,,,,,,,
2019-02-23,,,,,,,,,,,,,,,
2019-02-24,,,,,,,,,,,,,,,
2019-02-25,,,,,,,,,,,,,,,
2019-02-26,,,,,,,,,,,,,,,
2019-02-27,,,,,,,,,,,,,,,
2019-02-28,,,,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,,,,,
2019-03-02,,,,,,,,,,,,,,,
2019-03-03,,,,,,,,,,,,,,,
2019-03-04,,,,,,,,,,,,,,,
2019-03-05,,,,,,,,,,,,,,,
2019-03-06,,,,,,,,,,,,,,,
2019-03-07,,,,,,,,,,,,,,,
2019-03-08,,,,,,,,,,,,,,,
2019-03-09,,,,,,,,,,,,,,,
2019-03-10,,,,,,,,,,,,,,,
2019-03-11,,,,,,,,,,,,,,,
2019-03-12,,,,,,,,,,,,,,,
2019-03-13,,,,,,,,,,,,,,,
2019-03-14,,,,,,,,,,,,,,,
2019-03-15,,,,,,,,,,,,,,,
2019-03-16,,,,,,,,,,,,,,,
2019-03-17,,,,,,,,,,,,,,,
2019-03-18,,,,,,,,,,,,,,,
2019-03-19,,,,,,,,,,,,,,,
2019-03-20,,,,,,,,,,,,,,,
2019-03-21,,,,,,,,,,,,,,,
2019-03-22,,,,,,,,,,,,,,,
2019-03-23,,,,,,,,,,,,,,,
2019-03-24,,,,,,,,,,,,,,,
2019-03-25,,,,,,,,,,,,,,,
2019-03-26,,,,,,,,,,,,,,,
2019-03-27,,,,,,,,,,,,,,,
2019-03-28,,,,,,,,,,,,,,,
2019-03-29,,,,,,,,,,,,,,,
2019-03-30,,,,,,,,,,,,,,,
2019-03-31,,,,,,,,,,,,,,,
2019-04-01,,,,,,,,,,,,,,,
2019-04-02,,,,,,,,,,,,,,,
2019-04-03,,,,,,,,,,,,,,,
2019-04-04,,,,,,,,,,,,,,,
2019-04-05,,,,,,,,,,,,,,,
2019-04-06,,,,,,,,,,,,,,,
2019-04-07,,,,,,,,,,,,,,,
2019-04-08,,,,,,,,,,,,,,,
2019-04-09,,,,,,,,,,,,,,,
2019-04-10,,,,,,,,,,,,,,,
2019-04-11,,,,,,,,,,,,,,,
2019-04-12,,,,,,,,,,,,,,,
2019-04-13,,,,,,,,,,,,,,,
2019-04-14,,,,,,,,,,,,,,,
2019-04-15,,,,,,,,,,,,,,,
2019-04-16,,,,,,,,,,,,,,,
2019-04-17,,,,,,,,,,,,,,,
2019-04-18,,,,,,,,,,,,,,,
2019-04-19,,,,,,,,,,,,,,,
2019-04-20,,,,,,,,,,,,,,,
2019-04-21,,,,,,,,,,,,,,,
2019-04-22,,,,,,,,,,,,,,,
2019-04-23,,,,,,,,,,,,,,,
2019-04-24,,,,,,,,,,,,,,,
2019-04-25,,,,,,,,,,,,,,,
2019-04-26,,,,,,,,,,,,,,,
2019-04-27,,,,,,,,,,,,,,,
2019-04-28,,,,,,,,,,,,,,,
2019-04-29,,,,,,,,,,,,,,,
2019-04-30,,,,,,,,,,,,,,,
2019-05-01,,,,,,,,,,,,,,,
2019-05-02,,,,,,,,,,,,,,,
2019-05-03,,,,,,,,,,,,,,,
2019-05-04,,,,,,,,,,,,,,,
2019-05-05,,,,,,,,,,,,,,,
2019-05-06,,,,,,,,,,,,,,,
2019-05-07,,,,,,,,,,,,,,,
2019-05-08,,,,,,,,,,,,,,,
2019-05-09,,,,,,,,,,,,,,,
2019-05-10,,,,,,,,,,,,,,,
2019-05-11,,,,,,,,,,,,,,,
2019-05-12,,,,,,,,,,,,,,,
2019-05-13,,,11.71032608695652,166.42391304347825,16.18591397849462,33.83543010752688,0.7,4.834408602150538,1.23,4.844086021505376,6.7,124.43548387096774,16.661827956989246,1015.352688172043,
2019-05-14,,,13.275347222222223,114.42013888888889,16.785243055555554,33.88444444444444,0.51,5.122916666666667,0.97,5.269097222222222,7.8,203.34375,18.30034722222222,1012.8944444444444,
2019-05-15,,,19.177777777777777,166.42361111111111,16.961006944444446,33.914513888888884,0.46,4.220833333333333,0.75,4.210069444444445,4.0,227.64930555555554,19.234722222222224,1013.296875,
2019-05-16,,,22.444097222222222,166.01388888888889,16.85802083333333,33.93659722222222,0.43,3.8989583333333337,0.66,3.8524305555555554,3.5,230.99652777777777,19.34201388888889,1012.7496527777779,
2019-05-17,,,24.386458333333334,159.22569444444446,16.583819444444444,33.96440972222222,0.79,4.171875,1.16,4.133680555555555,4.3,166.04513888888889,19.45763888888889,1013.7090277777778,
2019-05-18,,,25.385664335664337,173.1853146853147,16.469615384615388,33.88006993006993,1.59,5.409407665505227,2.51,5.339024390243902,7.7,42.59581881533101,17.9787456445993,1013.2895470383274,
