date,gijang_discharge_m3_day,jeonggwan_discharge_m3_day,munoseong_discharge_m3_day
2014-01-01,17407.0,13349.0,444
2014-01-02,16568.0,13028.0,417
2014-01-03,16333.0,14004.0,418
2014-01-04,17188.0,15084.0,379
2014-01-05,16464.0,12708.0,378
2014-01-06,16313.0,12955.0,422
2014-01-07,16311.0,12953.0,389
2014-01-08,17264.0,12849.0,403
2014-01-09,16678.0,12561.0,425
2014-01-10,16785.0,13459.0,424
2014-01-11,16966.0,13770.0,391
2014-01-12,16628.0,12863.0,386
2014-01-13,16916.0,13064.0,430
2014-01-14,15813.0,13371.0,419
2014-01-15,16183.0,12928.0,363
2014-01-16,16167.0,12226.0,326
2014-01-17,16496.0,13537.0,335
2014-01-18,16245.0,13003.0,342
2014-01-19,15469.0,13669.0,337
2014-01-20,15797.0,13390.0,413
2014-01-21,16265.0,13311.0,458
2014-01-22,16510.0,12937.0,464
2014-01-23,16197.0,13373.0,388
2014-01-24,15955.0,12159.0,368
2014-01-25,15265.0,13468.0,363
2014-01-26,16373.0,12885.0,373
2014-01-27,16008.0,13084.0,393
2014-01-28,15903.0,13306.0,383
2014-01-29,16522.0,13722.0,377
2014-01-30,16984.0,13001.0,410
2014-01-31,15979.0,10298.0,463
2014-02-01,15213.0,11258.0,530
2014-02-02,16481.0,13341.0,496
2014-02-03,15466.0,13680.0,370
2014-02-04,14878.0,14212.0,363
2014-02-05,16220.0,14667.0,402
2014-02-06,16412.0,13707.0,403
2014-02-07,16277.0,14913.0,381
2014-02-08,17801.0,16101.0,415
2014-02-09,16102.0,14386.0,378
2014-02-10,18283.0,13884.0,505
2014-02-11,18631.0,13969.0,461
2014-02-12,17889.0,15182.0,445
2014-02-13,19376.0,15707.0,500
2014-02-14,20264.0,15061.0,507
2014-02-15,19158.0,15551.0,408
2014-02-16,19159.0,14826.0,392
2014-02-17,18875.0,15280.0,394
2014-02-18,19543.0,14010.0,406
2014-02-19,19792.0,13232.0,337
2014-02-20,17923.0,14355.0,357
2014-02-21,18899.0,13385.0,399
2014-02-22,18818.0,13104.0,414
2014-02-23,18509.0,13216.0,413
2014-02-24,18846.0,13609.0,459
2014-02-25,18041.0,12987.0,446
2014-02-26,17869.0,15380.0,440
2014-02-27,19583.0,14455.0,472
2014-02-28,20767.0,14356.0,392
2014-03-01,19325.0,13933.0,398
2014-03-02,19568.0,14296.0,429
2014-03-03,18992.0,13442.0,402
2014-03-04,19011.0,14034.0,417
2014-03-05,18153.0,13976.0,448
2014-03-06,17924.0,13890.0,404
2014-03-07,17093.0,13670.0,426
2014-03-08,16465.0,13894.0,414
2014-03-09,15158.0,13999.0,382
2014-03-10,15627.0,14059.0,421
2014-03-11,15136.0,14030.0,394
2014-03-12,15534.0,15553.0,458
2014-03-13,18285.0,22981.0,795
2014-03-14,22752.0,17049.0,660
2014-03-15,23280.0,15831.0,577
2014-03-16,21528.0,13623.0,567
2014-03-17,21665.0,14483.0,615
2014-03-18,21178.0,14898.0,450
2014-03-19,17649.0,14036.0,405
2014-03-20,18333.0,13682.0,402
2014-03-21,17764.0,12579.0,406
2014-03-22,17041.0,13658.0,353
2014-03-23,15827.0,12986.0,393
2014-03-24,16483.0,14024.0,448
2014-03-25,16960.0,14968.0,449
2014-03-26,19361.0,15674.0,440
2014-03-27,18681.0,14576.0,389
2014-03-28,18718.0,14117.0,418
2014-03-29,18523.0,16388.0,472
2014-03-30,18760.0,17666.0,613
2014-03-31,18601.0,14819.0,543
2014-04-01,22088.0,16357.0,462
2014-04-02,23323.0,15945.0,444
2014-04-03,24231.0,14472.0,444
2014-04-04,24029.0,15639.0,449
2014-04-05,22780.0,13035.0,434
2014-04-06,22412.0,14272.0,427
2014-04-07,20992.0,14381.0,411
2014-04-08,19008.0,14190.0,426
2014-04-09,18223.0,13877.0,419
2014-04-10,18162.0,15455.0,400
2014-04-11,18658.0,14232.0,354
2014-04-12,18385.0,13263.0,321
2014-04-13,18559.0,13219.0,362
2014-04-14,20304.0,14082.0,358
2014-04-15,18462.0,13932.0,387
2014-04-16,18109.0,14307.0,378
2014-04-17,18302.0,14607.0,454
2014-04-18,21477.0,14438.0,527
2014-04-19,19662.0,14059.0,367
2014-04-20,19899.0,13816.0,356
2014-04-21,19796.0,14333.0,442
2014-04-22,19214.0,12980.0,380
2014-04-23,19086.0,13892.0,353
2014-04-24,17969.0,14139.0,395
2014-04-25,18691.0,14478.0,387
2014-04-26,20136.0,15497.0,326
2014-04-27,19712.0,14752.0,345
2014-04-28,27709.0,23619.0,782
2014-04-29,28016.0,23804.0,1060
2014-04-30,23941.0,16346.0,713
2014-05-01,29502.0,15658.0,483
2014-05-02,29051.0,14676.0,539
2014-05-03,29646.0,15805.0,511
2014-05-04,26166.0,13322.0,480
2014-05-05,25074.0,14319.0,472
2014-05-06,20990.0,14779.0,512
2014-05-07,20706.0,15179.0,473
2014-05-08,20455.0,14205.0,426
2014-05-09,21491.0,15034.0,434
2014-05-10,24190.0,14768.0,396
2014-05-11,21640.0,14941.0,434
2014-05-12,24112.0,23736.0,944
2014-05-13,24034.0,17669.0,573
2014-05-14,29020.0,15229.0,539
2014-05-15,25844.0,15524.0,501
2014-05-16,22838.0,15224.0,495
2014-05-17,24509.0,15295.0,466
2014-05-18,21049.0,14768.0,436
2014-05-19,19800.0,15466.0,452
2014-05-20,21163.0,15351.0,464
2014-05-21,22353.0,15446.0,490
2014-05-22,19972.0,14276.0,456
2014-05-23,20295.0,15328.0,408
2014-05-24,20541.0,16964.0,406
2014-05-25,21495.0,15250.0,448
2014-05-26,19893.0,16241.0,559
2014-05-27,19303.0,13596.0,493
2014-05-28,22203.0,16518.0,473
2014-05-29,21679.0,14680.0,478
2014-05-30,25070.0,15703.0,470
2014-05-31,20378.0,16392.0,431
2014-06-01,22265.0,15896.0,405
2014-06-02,22569.0,16405.0,403
2014-06-03,26637.0,15053.0,475
2014-06-04,22148.0,17516.0,355
2014-06-05,25596.0,15638.0,418
2014-06-06,24237.0,15209.0,401
2014-06-07,20847.0,15343.0,401
2014-06-08,21215.0,14827.0,395
2014-06-09,20018.0,14718.0,422
2014-06-10,19553.0,14720.0,391
2014-06-11,18994.0,15161.0,371
2014-06-12,18936.0,14567.0,361
2014-06-13,18999.0,16406.0,422
2014-06-14,17786.0,16154.0,426
2014-06-15,18013.0,14896.0,387
2014-06-16,18598.0,15799.0,433
2014-06-17,18957.0,16111.0,393
2014-06-18,22318.0,16968.0,411
2014-06-19,20003.0,16442.0,411
2014-06-20,20153.0,16398.0,370
2014-06-21,19058.0,16127.0,314
2014-06-22,19288.0,17100.0,314
2014-06-23,20504.0,17944.0,382
2014-06-24,21048.0,16539.0,434
2014-06-25,20562.0,16177.0,403
2014-06-26,19868.0,15892.0,427
2014-06-27,20413.0,15535.0,451
2014-06-28,21680.0,16055.0,438
2014-06-29,20789.0,16748.0,410
2014-06-30,23594.0,16263.0,449
2014-07-01,21517.0,16095.0,499
2014-07-02,20258.0,18381.0,509
2014-07-03,27818.0,22725.0,894
2014-07-04,26789.0,18599.0,527
2014-07-05,27475.0,17807.0,509
2014-07-06,27529.0,17006.0,493
2014-07-07,27272.0,18189.0,522
2014-07-08,27677.0,21031.0,689
2014-07-09,27124.0,20343.0,483
2014-07-10,27358.0,17823.0,542
2014-07-11,25206.0,17323.0,525
2014-07-12,24023.0,16753.0,518
2014-07-13,27500.0,17215.0,643
2014-07-14,24376.0,18342.0,559
2014-07-15,25032.0,21012.0,588
2014-07-16,27607.0,17629.0,515
2014-07-17,28141.0,16609.0,502
2014-07-18,28910.0,18016.0,639
2014-07-19,29043.0,15701.0,468
2014-07-20,28299.0,16006.0,493
2014-07-21,26597.0,14788.0,494
2014-07-22,24243.0,14471.0,522
2014-07-23,22859.0,15201.0,512
2014-07-24,23275.0,18076.0,464
2014-07-25,21553.0,17854.0,474
2014-07-26,22118.0,16853.0,485
2014-07-27,23081.0,15969.0,476
2014-07-28,21321.0,15671.0,486
2014-07-29,20583.0,16037.0,469
2014-07-30,21293.0,16448.0,491
2014-07-31,21117.0,18117.0,521
2014-08-01,21301.0,17282.0,489
2014-08-02,26501.0,16933.0,532
2014-08-03,30958.0,32446.0,1354
2014-08-04,30409.0,25177.0,1009
2014-08-05,29898.0,22776.0,899
2014-08-06,26848.0,20193.0,659
2014-08-07,30345.0,18124.0,607
2014-08-08,28550.0,17689.0,550
2014-08-09,28051.0,18086.0,542
2014-08-10,28975.0,19792.0,600
2014-08-11,31687.0,19231.0,825
2014-08-12,27425.0,17864.0,620
2014-08-13,26057.0,17789.0,585
2014-08-14,30580.0,25882.0,1008
2014-08-15,30070.0,21829.0,1032
2014-08-16,26761.0,20559.0,888
2014-08-17,25717.0,18805.0,641
2014-08-18,33202.0,44285.0,1202
2014-08-19,28598.0,30710.0,1240
2014-08-20,34612.0,28360.0,1105
2014-08-21,28279.0,28422.0,1102
2014-08-22,31118.0,22146.0,788
2014-08-23,28550.0,20207.0,678
2014-08-24,27647.0,19427.0,504
2014-08-25,31015.0,32146.0,909
2014-08-26,25410.0,28760.0,1026
2014-08-27,27083.0,24161.0,685
2014-08-28,27197.0,20310.0,615
2014-08-29,29376.0,18821.0,554
2014-08-30,31933.0,18567.0,515
2014-08-31,32832.0,18127.0,450
2014-09-01,29991.0,18157.0,483
2014-09-02,27696.0,17352.0,496
2014-09-03,27655.0,23066.0,567
2014-09-04,32657.0,19703.0,558
2014-09-05,31466.0,19607.0,589
2014-09-06,30645.0,19672.0,531
2014-09-07,29263.0,17904.0,511
2014-09-08,30221.0,14947.0,641
2014-09-09,30577.0,16380.0,653
2014-09-10,30172.0,17515.0,490
2014-09-11,28563.0,17232.0,519
2014-09-12,27724.0,16941.0,467
2014-09-13,29607.0,16954.0,421
2014-09-14,28963.0,16794.0,471
2014-09-15,27478.0,16154.0,491
2014-09-16,27957.0,18060.0,491
2014-09-17,29818.0,18010.0,441
2014-09-18,25987.0,17199.0,484
2014-09-19,21369.0,17315.0,459
