date,solar_radiation_sum
2014-01-01,11.08
2014-01-02,10.94
2014-01-03,7.78
2014-01-04,9.03
2014-01-05,7.21
2014-01-06,9.6
2014-01-07,10.62
2014-01-08,2.04
2014-01-09,12.61
2014-01-10,12.16
2014-01-11,11.37
2014-01-12,10.27
2014-01-13,12.75
2014-01-14,12.84
2014-01-15,12.84
2014-01-16,12.7
2014-01-17,12.69
2014-01-18,12.58
2014-01-19,13.18
2014-01-20,9.88
2014-01-21,12.9
2014-01-22,13.4
2014-01-23,13.39
2014-01-24,11.96
2014-01-25,5.0
2014-01-26,12.04
2014-01-27,13.55
2014-01-28,11.85
2014-01-29,13.75
2014-01-30,9.45
2014-01-31,14.3
2014-02-01,10.35
2014-02-02,11.92
2014-02-03,12.18
2014-02-04,15.0
2014-02-05,12.97
2014-02-06,7.76
2014-02-07,4.96
2014-02-08,10.92
2014-02-09,7.24
2014-02-10,10.0
2014-02-11,7.46
2014-02-12,9.39
2014-02-13,7.97
2014-02-14,5.97
2014-02-15,13.82
2014-02-16,12.05
2014-02-17,7.21
2014-02-18,6.29
2014-02-19,9.1
2014-02-20,14.09
2014-02-21,15.02
2014-02-22,13.08
2014-02-23,15.21
2014-02-24,17.74
2014-02-25,17.4
2014-02-26,3.95
2014-02-27,13.4
2014-02-28,8.95
2014-03-01,8.74
2014-03-02,14.39
2014-03-03,16.79
2014-03-04,11.08
2014-03-05,18.76
2014-03-06,18.85
2014-03-07,20.83
2014-03-08,19.7
2014-03-09,18.18
2014-03-10,21.29
2014-03-11,20.84
2014-03-12,5.87
2014-03-13,3.84
2014-03-14,17.6
2014-03-15,21.49
2014-03-16,20.25
2014-03-17,20.79
2014-03-18,19.35
2014-03-19,13.96
2014-03-20,12.67
2014-03-21,20.01
2014-03-22,22.87
2014-03-23,22.88
2014-03-24,23.0
2014-03-25,10.61
2014-03-26,8.58
2014-03-27,20.61
2014-03-28,22.68
2014-03-29,5.59
2014-03-30,11.86
2014-03-31,16.95
2014-04-01,21.07
2014-04-02,23.53
2014-04-03,17.6
2014-04-04,21.17
2014-04-05,20.54
2014-04-06,25.33
2014-04-07,21.27
2014-04-08,25.16
2014-04-09,25.2
2014-04-10,24.57
2014-04-11,15.73
2014-04-12,13.63
2014-04-13,11.87
2014-04-14,25.89
2014-04-15,25.26
2014-04-16,17.15
2014-04-17,18.48
2014-04-18,18.95
2014-04-19,12.2
2014-04-20,21.58
2014-04-21,25.15
2014-04-22,18.09
2014-04-23,26.51
2014-04-24,26.33
2014-04-25,26.65
2014-04-26,21.23
2014-04-27,15.03
2014-04-28,5.45
2014-04-29,16.84
2014-04-30,12.61
2014-05-01,22.9
2014-05-02,27.03
2014-05-03,27.93
2014-05-04,14.12
2014-05-05,28.02
2014-05-06,28.39
2014-05-07,28.41
2014-05-08,20.49
2014-05-09,27.59
2014-05-10,27.83
2014-05-11,24.13
2014-05-12,18.69
2014-05-13,27.81
2014-05-14,6.54
2014-05-15,22.58
2014-05-16,28.14
2014-05-17,27.62
2014-05-18,25.8
2014-05-19,28.03
2014-05-20,7.29
2014-05-21,26.97
2014-05-22,27.38
2014-05-23,25.43
2014-05-24,24.99
2014-05-25,17.85
2014-05-26,21.56
2014-05-27,27.96
2014-05-28,24.9
2014-05-29,28.55
2014-05-30,28.57
2014-05-31,28.94
2014-06-01,20.31
2014-06-02,10.1
2014-06-03,7.28
2014-06-04,13.61
2014-06-05,11.92
2014-06-06,24.48
2014-06-07,26.15
2014-06-08,22.14
2014-06-09,23.38
2014-06-10,11.02
2014-06-11,14.51
2014-06-12,15.0
2014-06-13,23.2
2014-06-14,24.32
2014-06-15,26.12
2014-06-16,24.26
2014-06-17,8.96
2014-06-18,22.38
2014-06-19,25.08
2014-06-20,18.33
2014-06-21,11.28
2014-06-22,14.9
2014-06-23,16.3
2014-06-24,21.52
2014-06-25,22.52
2014-06-26,27.68
2014-06-27,25.67
2014-06-28,23.34
2014-06-29,21.2
2014-06-30,20.18
2014-07-01,24.22
2014-07-02,16.26
2014-07-03,9.03
2014-07-04,19.9
2014-07-05,17.92
2014-07-06,3.93
2014-07-07,12.47
2014-07-08,12.77
2014-07-09,10.47
2014-07-10,18.61
2014-07-11,26.67
2014-07-12,19.24
2014-07-13,10.4
2014-07-14,24.25
2014-07-15,8.95
2014-07-16,15.58
2014-07-17,6.91
2014-07-18,11.6
2014-07-19,21.77
2014-07-20,21.73
2014-07-21,25.19
2014-07-22,24.27
2014-07-23,21.68
2014-07-24,21.29
2014-07-25,20.48
2014-07-26,24.12
2014-07-27,25.86
2014-07-28,18.57
2014-07-29,20.46
2014-07-30,25.37
2014-07-31,23.38
2014-08-01,4.74
2014-08-02,7.32
2014-08-03,12.11
2014-08-04,6.96
2014-08-05,16.12
2014-08-06,22.8
2014-08-07,12.45
2014-08-08,9.13
2014-08-09,18.56
2014-08-10,7.35
2014-08-11,19.67
2014-08-12,25.8
2014-08-13,11.06
2014-08-14,4.76
2014-08-15,10.8
2014-08-16,20.22
2014-08-17,15.71
2014-08-18,4.35
2014-08-19,12.78
2014-08-20,2.9
2014-08-21,16.33
2014-08-22,21.66
2014-08-23,22.05
2014-08-24,9.29
2014-08-25,2.02
2014-08-26,16.96
2014-08-27,11.15
2014-08-28,14.3
2014-08-29,10.16
2014-08-30,18.11
2014-08-31,18.64
2014-09-01,21.75
2014-09-02,14.01
2014-09-03,5.59
2014-09-04,18.2
2014-09-05,23.31
2014-09-06,7.64
2014-09-07,22.73
2014-09-08,20.65
2014-09-09,20.45
2014-09-10,17.18
2014-09-11,19.69
2014-09-12,11.75
2014-09-13,18.25
2014-09-14,16.65
2014-09-15,10.86
2014-09-16,17.65
2014-09-17,4.73
2014-09-18,12.51
2014-09-19,11.54
2014-09-20,20.32
2014-09-21,19.8
2014-09-22,18.55
2014-09-23,9.04
2014-09-24,2.61
2014-09-25,17.29
2014-09-26,19.07
2014-09-27,19.26
2014-09-28,17.97
2014-09-29,14.06
2014-09-30,9.53
2014-10-01,17.18
2014-10-02,14.87
2014-10-03,19.34
2014-10-04,17.13
2014-10-05,12.98
2014-10-06,13.16
2014-10-07,17.56
2014-10-08,18.51
2014-10-09,17.65
2014-10-10,16.76
2014-10-11,14.52
2014-10-12,6.82
2014-10-13,1.96
2014-10-14,15.06
2014-10-15,15.04
2014-10-16,15.4
2014-10-17,17.79
2014-10-18,17.41
2014-10-19,16.29
2014-10-20,4.8
2014-10-21,5.17
2014-10-22,3.98
2014-10-23,14.37
2014-10-24,15.92
2014-10-25,15.79
2014-10-26,15.54
2014-10-27,11.13
2014-10-28,14.69
2014-10-29,13.29
2014-10-30,12.55
2014-10-31,2.79
2014-11-01,5.82
2014-11-02,10.91
2014-11-03,15.04
2014-11-04,14.73
2014-11-05,14.35
2014-11-06,13.23
2014-11-07,9.98
2014-11-08,4.4
2014-11-09,12.42
2014-11-10,12.78
2014-11-11,11.02
2014-11-12,12.51
2014-11-13,13.32
2014-11-14,11.59
2014-11-15,13.3
2014-11-16,10.68
2014-11-17,12.34
2014-11-18,13.14
2014-11-19,12.6
2014-11-20,12.69
2014-11-21,9.7
2014-11-22,11.21
2014-11-23,7.62
2014-11-24,3.42
2014-11-25,5.63
2014-11-26,6.92
2014-11-27,11.11
2014-11-28,3.37
2014-11-29,7.41
2014-11-30,3.03
2014-12-01,6.69
2014-12-02,11.76
2014-12-03,7.1
2014-12-04,8.9
2014-12-05,11.52
2014-12-06,11.64
2014-12-07,8.25
2014-12-08,6.54
2014-12-09,11.76
2014-12-10,6.29
2014-12-11,7.29
2014-12-12,10.1
2014-12-13,10.96
2014-12-14,11.35
2014-12-15,7.39
2014-12-16,10.85
2014-12-17,11.14
2014-12-18,11.72
2014-12-19,7.96
2014-12-20,9.82
2014-12-21,8.84
2014-12-22,9.22
2014-12-23,8.46
2014-12-24,9.75
2014-12-25,11.13
2014-12-26,11.56
2014-12-27,8.38
2014-12-28,8.64
2014-12-29,10.44
2014-12-30,11.2
2014-12-31,9.64
2015-01-01,11.74
2015-01-02,10.42
2015-01-03,11.6
2015-01-04,11.17
2015-01-05,8.14
2015-01-06,11.16
2015-01-07,12.15
2015-01-08,12.14
2015-01-09,11.68
2015-01-10,12.05
2015-01-11,11.83
2015-01-12,9.73
2015-01-13,12.02
2015-01-14,3.55
2015-01-15,6.22
2015-01-16,10.47
2015-01-17,12.99
2015-01-18,13.01
2015-01-19,10.42
2015-01-20,12.6
2015-01-21,5.23
2015-01-22,7.45
2015-01-23,12.02
2015-01-24,13.19
2015-01-25,7.07
2015-01-26,3.77
2015-01-27,9.88
2015-01-28,9.91
2015-01-29,5.62
2015-01-30,12.01
2015-01-31,14.26
2015-02-01,14.62
2015-02-02,12.87
2015-02-03,11.01
2015-02-04,4.44
2015-02-05,13.25
2015-02-06,15.16
2015-02-07,13.29
2015-02-08,16.14
2015-02-09,16.17
2015-02-10,15.79
2015-02-11,12.65
2015-02-12,16.32
2015-02-13,16.58
2015-02-14,16.42
2015-02-15,11.44
2015-02-16,2.8
2015-02-17,13.76
2015-02-18,13.55
2015-02-19,13.86
2015-02-20,17.02
2015-02-21,3.06
2015-02-22,9.52
2015-02-23,14.32
