date,examinLcDetail,ecoli_max,enterococcus_max,ecoli_exceed,enterococcus_exceed,any_exceed,precip_daily,temp_daily,wind_max,wind_dir,solar_radiation_sum,jungang_discharge_m3_day,감천항_정점명,감천항_정점코드,감천항_유속(cm/s),감천항_유향(deg),감천항_수온(℃),감천항_염분(PSU),감천항_유의파고(m),감천항_유의파주기(sec),감천항_최대파고(m),감천항_최대파주기(sec),감천항_풍속(m/s),감천항_풍향(deg),감천항_기온(℃),감천항_기압(hPa),감천항_시정(m),부산항_정점명,부산항_정점코드,부산항_유속(cm/s),부산항_유향(deg),부산항_수온(℃),부산항_염분(PSU),부산항_유의파고(m),부산항_유의파주기(sec),부산항_최대파고(m),부산항_최대파주기(sec),부산항_풍속(m/s),부산항_풍향(deg),부산항_기온(℃),부산항_기압(hPa),부산항_시정(m),year,month,is_weekend,precip_1d_lag,precip_2d_sum_lag,precip_3d_sum_lag,precip_5d_sum_lag,CSO_Flag_Rain,dry_days_count,temp_1d_lag,wind_max_1d_lag,solar_radiation_1d_lag,jungang_discharge_1d_lag,jungang_discharge_3d_mean,감천항_정점명_1d_lag,감천항_정점코드_1d_lag,감천항_유속(cm/s)_1d_lag,감천항_유향(deg)_1d_lag,감천항_수온(℃)_1d_lag,감천항_염분(PSU)_1d_lag,감천항_유의파고(m)_1d_lag,감천항_유의파주기(sec)_1d_lag,감천항_최대파고(m)_1d_lag,감천항_최대파주기(sec)_1d_lag,감천항_풍속(m/s)_1d_lag,감천항_풍향(deg)_1d_lag,감천항_기온(℃)_1d_lag,감천항_기압(hPa)_1d_lag,감천항_시정(m)_1d_lag,부산항_정점명_1d_lag,부산항_정점코드_1d_lag,부산항_유속(cm/s)_1d_lag,부산항_유향(deg)_1d_lag,부산항_수온(℃)_1d_lag,부산항_염분(PSU)_1d_lag,부산항_유의파고(m)_1d_lag,부산항_유의파주기(sec)_1d_lag,부산항_최대파고(m)_1d_lag,부산항_최대파주기(sec)_1d_lag,부산항_풍속(m/s)_1d_lag,부산항_풍향(deg)_1d_lag,부산항_기온(℃)_1d_lag,부산항_기압(hPa)_1d_lag,부산항_시정(m)_1d_lag
2015-06-16,A,170.0,32.0,False,False,0,1.3,20.3,11.6,181,14.76,79744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,6,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,B,130.0,42.0,False,False,0,1.3,20.3,11.6,181,14.76,79744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,6,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,C,250.0,55.0,False,False,0,1.3,20.3,11.6,181,14.76,79744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,6,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-02,A,10.0,1.0,False,False,0,0.0,21.1,16.3,223,25.92,83252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,7,0,2.4,42.1,42.1,42.3,0,1,21.6,20.4,21.86,84764.0,84229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-02,B,1.0,1.0,False,False,0,0.0,21.1,16.3,223,25.92,83252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,7,0,2.4,42.1,42.1,42.3,0,1,21.6,20.4,21.86,84764.0,84229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-02,C,10.0,1.0,False,False,0,0.0,21.1,16.3,223,25.92,83252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,7,0,2.4,42.1,42.1,42.3,0,1,21.6,20.4,21.86,84764.0,84229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-16,A,10.0,1.0,False,False,0,0.0,21.5,33.2,28,18.16,84295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,7,0,0.0,0.0,5.1,82.6,0,3,23.5,23.8,22.07,85406.0,95610.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-16,B,10.0,10.0,False,False,0,0.0,21.5,33.2,28,18.16,84295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,7,0,0.0,0.0,5.1,82.6,0,3,23.5,23.8,22.07,85406.0,95610.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-16,C,20.0,5.0,False,False,0,0.0,21.5,33.2,28,18.16,84295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,7,0,0.0,0.0,5.1,82.6,0,3,23.5,23.8,22.07,85406.0,95610.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-28,A,1.0,1.0,False,False,0,0.8,26.8,14.3,238,20.87,82572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,7,0,0.2,0.2,0.2,12.6,0,0,26.2,19.1,24.19,87144.0,88444.66666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
