관측소명,관측소코드,관측일시,풍향,기압(hPa),습도(%),기온(℃),수온(℃),최대파고(m),풍속(m/s),위도,경도
거제도,22104,2016-10-01,x,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2016-10-02,x,-,-,-,-,-,-,34.7667000000,128.9000000000
거제도,22104,2016-10-03,SW>,1010.4,95.0,23.7,23.4,1.0,3.3,34.7667000000,128.9000000000
거제도,22104,2016-10-04,SW,1014.0,84.0,23.3,23.2,4.8,9.8,34.7667000000,128.9000000000
거제도,22104,2016-10-05,SW,1006.0,83.0,23.2,23.1,13.7,10.4,34.7667000000,128.9000000000
거제도,22104,2016-10-06,S,1019.1,76.0,22.3,23.1,3.9,6.5,34.7667000000,128.9000000000
거제도,22104,2016-10-07,SSW,1019.9,69.0,21.9,22.7,3.7,8.9,34.7667000000,128.9000000000
거제도,22104,2016-10-08,SW,1010.9,88.0,21.0,22.4,2.5,4.3,34.7667000000,128.9000000000
거제도,22104,2016-10-09,SW,1016.0,57.0,17.9,22.3,3.1,9.6,34.7667000000,128.9000000000
거제도,22104,2016-10-10,SW,1018.8,65.0,18.5,22.2,2.9,8.5,34.7667000000,128.9000000000
거제도,22104,2016-10-11,WNW,1018.8,66.0,18.9,21.9,2.4,6.2,34.7667000000,128.9000000000
거제도,22104,2016-10-12,SW>,1020.3,64.0,20.5,22.0,2.0,6.9,34.7667000000,128.9000000000
거제도,22104,2016-10-13,WSW,1022.1,72.0,20.9,22.0,2.1,3.9,34.7667000000,128.9000000000
거제도,22104,2016-10-14,SW,1024.0,76.0,20.8,21.6,1.1,5.2,34.7667000000,128.9000000000
거제도,22104,2016-10-15,WSW,1024.5,74.0,21.4,21.9,2.2,7.2,34.7667000000,128.9000000000
거제도,22104,2016-10-16,SSW,1019.3,88.0,20.7,21.8,1.3,4.7,34.7667000000,128.9000000000
거제도,22104,2016-10-17,SSW,1016.2,90.0,21.4,21.8,1.1,2.7,34.7667000000,128.9000000000
거제도,22104,2016-10-18,ENE,1018.7,79.0,21.5,21.7,1.9,6.2,34.7667000000,128.9000000000
거제도,22104,2016-10-19,WNW,1017.5,76.0,21.2,21.8,2.0,4.4,34.7667000000,128.9000000000
거제도,22104,2016-10-20,SW,1018.0,77.0,21.3,21.8,4.0,7.6,34.7667000000,128.9000000000
거제도,22104,2016-10-21,SW,1019.6,73.0,20.2,21.9,4.9,10.5,34.7667000000,128.9000000000
거제도,22104,2016-10-22,SW,1013.4,75.0,20.6,22.5,3.4,9.0,34.7667000000,128.9000000000
거제도,22104,2016-10-23,WSW,1014.1,75.0,19.5,23.1,5.8,13.3,34.7667000000,128.9000000000
거제도,22104,2016-10-24,SW,1017.4,66.0,19.0,22.0,4.5,8.8,34.7667000000,128.9000000000
거제도,22104,2016-10-25,S,1012.2,81.0,21.3,22.2,3.5,5.2,34.7667000000,128.9000000000
거제도,22104,2016-10-26,NE,1017.5,74.0,20.3,22.5,1.9,6.0,34.7667000000,128.9000000000
거제도,22104,2016-10-27,SW,1021.6,73.0,20.2,22.0,3.7,10.2,34.7667000000,128.9000000000
거제도,22104,2016-10-28,W,1014.0,87.0,18.5,21.0,3.6,8.4,34.7667000000,128.9000000000
거제도,22104,2016-10-29,W,1022.0,70.0,17.8,21.1,3.2,7.8,34.7667000000,128.9000000000
거제도,22104,2016-10-30,NW,1026.8,59.0,16.2,20.4,3.0,6.1,34.7667000000,128.9000000000
거제도,22104,2016-10-31,W>,1024.4,64.0,16.5,20.6,1.5,5.4,34.7667000000,128.9000000000
거제도,22104,2016-11-01,,1026.5,-,12.1,21.0,2.2,7.5,34.7667000000,128.9000000000
거제도,22104,2016-11-02,,1025.3,49.0,12.0,20.9,2.8,7.2,34.7667000000,128.9000000000
거제도,22104,2016-11-03,,1022.6,-,14.9,21.4,1.7,3.2,34.7667000000,128.9000000000
거제도,22104,2016-11-04,,1017.6,63.0,16.6,23.0,1.6,5.8,34.7667000000,128.9000000000
거제도,22104,2016-11-05,,1014.5,73.0,18.8,22.3,1.6,6.8,34.7667000000,128.9000000000
거제도,22104,2016-11-06,,1022.7,77.0,18.4,21.7,4.5,10.3,34.7667000000,128.9000000000
거제도,22104,2016-11-07,,1023.3,63.0,17.8,21.7,3.8,6.5,34.7667000000,128.9000000000
거제도,22104,2016-11-08,,1020.0,59.0,16.1,20.7,2.3,6.4,34.7667000000,128.9000000000
거제도,22104,2016-11-09,,1025.3,59.0,12.7,19.5,2.9,8.4,34.7667000000,128.9000000000
거제도,22104,2016-11-10,,1019.7,68.0,15.6,20.0,3.1,7.5,34.7667000000,128.9000000000
거제도,22104,2016-11-11,,1019.0,60.0,15.9,19.0,2.4,6.1,34.7667000000,128.9000000000
거제도,22104,2016-11-12,,1023.1,68.0,16.8,19.1,1.9,3.0,34.7667000000,128.9000000000
거제도,22104,2016-11-13,,1022.1,79.0,18.8,19.8,1.1,3.6,34.7667000000,128.9000000000
거제도,22104,2016-11-14,,1015.3,85.0,19.7,21.5,2.4,6.2,34.7667000000,128.9000000000
거제도,22104,2016-11-15,,1016.8,61.0,18.1,20.4,2.6,6.5,34.7667000000,128.9000000000
거제도,22104,2016-11-16,,1021.2,58.0,16.0,19.5,3.0,4.2,34.7667000000,128.9000000000
거제도,22104,2016-11-17,,1023.4,60.0,16.6,19.0,1.7,6.0,34.7667000000,128.9000000000
거제도,22104,2016-11-18,,1018.3,82.0,17.2,18.8,1.6,5.6,34.7667000000,128.9000000000
거제도,22104,2016-11-19,,1013.4,89.0,17.8,18.5,2.3,5.1,34.7667000000,128.9000000000
거제도,22104,2016-11-20,,1018.9,77.0,18.4,19.0,2.5,4.9,34.7667000000,128.9000000000
거제도,22104,2016-11-21,,1017.0,76.0,18.3,21.1,3.1,7.9,34.7667000000,128.9000000000
거제도,22104,2016-11-22,,1017.5,68.0,14.9,21.1,2.9,7.6,34.7667000000,128.9000000000
거제도,22104,2016-11-23,,1020.9,57.0,11.6,20.5,4.3,8.3,34.7667000000,128.9000000000
거제도,22104,2016-11-24,,1023.4,45.0,7.4,19.6,4.5,10.0,34.7667000000,128.9000000000
