inspecYm,inspecDivision,inspecArea,water01,water02,waterComment,sample_date
20140513,개장전,송도 1,19,4,적합,2014-05-13
20140513,개장전,송도 2,13,6,적합,2014-05-13
20140513,개장전,송도 3,10,10,적합,2014-05-13
20140602,개장1차,송도 1,8,16,적합,2014-06-02
20140602,개장1차,송도 2,6,16,적합,2014-06-02
20140602,개장1차,송도 3,10,47,적합,2014-06-02
20140610,개장2차,송도 1,6,16,적합,2014-06-10
20140610,개장2차,송도 2,2,<1,적합,2014-06-10
20140610,개장2차,송도 3,6,5,적합,2014-06-10
20140617,개장3차,송도 1,17,10,적합,2014-06-17
20140617,개장3차,송도 2,26,15,적합,2014-06-17
20140617,개장3차,송도 3,28,21,적합,2014-06-17
20140624,개장4차,송도 1,10,6,적합,2014-06-24
20140624,개장4차,송도 2,5,2,적합,2014-06-24
20140624,개장4차,송도 3,21,27,적합,2014-06-24
20140701,개장5차,송도 1,4,47,적합,2014-07-01
20140701,개장5차,송도 2,6,32,적합,2014-07-01
20140701,개장5차,송도 3,10,26,적합,2014-07-01
20140715,개장6차,송도 1,10,38,적합,2014-07-15
20140715,개장6차,송도 2,6,26,적합,2014-07-15
20140715,개장6차,송도 3,17,21,적합,2014-07-15
20140722,개장7차,송도 1,5,5,적합,2014-07-22
20140722,개장7차,송도 2,10,230,적합,2014-07-22
20140722,개장7차,송도 3,<1,<1,적합,2014-07-22
20140729,개장8차,송도 1,<1,72,적합,2014-07-29
20140729,개장8차,송도 2,<1,<1,적합,2014-07-29
20140729,개장8차,송도 3,<1,5,적합,2014-07-29
20140812,개장9차,송도 1,<1,110,적합,2014-08-12
20140812,개장9차,송도 2,5,21,적합,2014-08-12
20140812,개장9차,송도 3,10,38,적합,2014-08-12
20140827,개장10차,송도 1,37,820,적합,2014-08-27
20140827,개장10차,송도 2,21,640,적합,2014-08-27
20140827,개장10차,송도 3,5,170,적합,2014-08-27
20140902,개장11차,송도 1,<1,110,적합,2014-09-02
20140902,개장11차,송도 2,<1,21,적합,2014-09-02
20140902,개장11차,송도 3,<1,38,적합,2014-09-02
20140921,폐장후,송도 1,5,61,적합,2014-09-21
20140921,폐장후,송도 2,5,67,적합,2014-09-21
20140921,폐장후,송도 3,<1,49,적합,2014-09-21
20150506,개장전,송도 1,<1,10,적합,2015-05-06
20150506,개장전,송도 2,5,<1,적합,2015-05-06
20150506,개장전,송도 3,<1,31,적합,2015-05-06
20150516,개장전1차,송도1,43,399,적합,2015-05-16
20150516,개장전1차,송도2,21,74,적합,2015-05-16
20150516,개장전1차,송도3,5,31,적합,2015-05-16
20150616,개장2차,송도 1,32,170,적합,2015-06-16
20150616,개장2차,송도 2,42,130,적합,2015-06-16
20150616,개장2차,송도 3,55,250,적합,2015-06-16
20150627,시험기록지,송도1,5,52,적합,2015-06-27
20150627,시험기록지,송도2,0,20,적합,2015-06-27
20150627,시험기록지,송도3,5,31,적합,2015-06-27
20150702,개장3차,송도 1,<1,10,적합,2015-07-02
20150702,개장3차,송도 2,<1,<1,적합,2015-07-02
20150702,개장3차,송도 3,<1,10,적합,2015-07-02
20150716,개장4차,송도 1,<1,10,적합,2015-07-16
20150716,개장4차,송도 2,10,10,적합,2015-07-16
20150716,개장4차,송도 3,5,20,적합,2015-07-16
20150728,개장5차,송도 1,<1,<1,적합,2015-07-28
20150728,개장5차,송도 2,<1,20,적합,2015-07-28
