date,wind_max,wind_dir
2014-01-01,22.4,267
2014-01-02,14.5,299
2014-01-03,9.3,294
2014-01-04,16.7,18
2014-01-05,15.7,359
2014-01-06,15.0,351
2014-01-07,13.6,298
2014-01-08,21.2,335
2014-01-09,29.2,320
2014-01-10,22.4,309
2014-01-11,12.0,308
2014-01-12,17.7,300
2014-01-13,20.3,334
2014-01-14,16.2,342
2014-01-15,20.3,334
2014-01-16,13.1,337
2014-01-17,16.3,333
2014-01-18,23.3,312
2014-01-19,17.2,304
2014-01-20,20.4,275
2014-01-21,22.0,309
2014-01-22,15.8,321
2014-01-23,11.9,274
2014-01-24,21.8,252
2014-01-25,22.3,246
2014-01-26,21.7,347
2014-01-27,20.0,232
2014-01-28,16.8,286
2014-01-29,12.0,252
2014-01-30,24.6,259
2014-01-31,12.9,301
2014-02-01,19.1,203
2014-02-02,14.1,252
2014-02-03,23.2,333
2014-02-04,27.0,323
2014-02-05,17.9,357
2014-02-06,17.8,21
2014-02-07,29.3,57
2014-02-08,26.8,47
2014-02-09,20.0,6
2014-02-10,30.5,33
2014-02-11,23.4,41
2014-02-12,19.1,37
2014-02-13,23.7,39
2014-02-14,30.9,40
2014-02-15,17.7,4
2014-02-16,10.8,274
2014-02-17,25.6,42
2014-02-18,30.3,44
2014-02-19,22.1,42
2014-02-20,10.6,319
2014-02-21,13.8,346
2014-02-22,10.5,31
2014-02-23,11.2,26
2014-02-24,13.1,277
2014-02-25,11.2,277
2014-02-26,20.6,54
2014-02-27,17.6,336
2014-02-28,22.7,40
2014-03-01,15.2,59
2014-03-02,19.6,10
2014-03-03,15.8,58
2014-03-04,12.1,73
2014-03-05,22.3,332
2014-03-06,20.4,325
2014-03-07,19.1,306
2014-03-08,13.4,294
2014-03-09,24.3,302
2014-03-10,19.2,305
2014-03-11,20.5,248
2014-03-12,14.0,215
2014-03-13,34.7,16
2014-03-14,14.4,328
2014-03-15,26.6,243
2014-03-16,20.4,238
2014-03-17,23.0,221
2014-03-18,25.8,245
2014-03-19,21.2,59
2014-03-20,19.7,338
2014-03-21,16.2,334
2014-03-22,17.3,251
2014-03-23,16.6,263
2014-03-24,23.7,241
2014-03-25,21.9,224
2014-03-26,15.5,236
2014-03-27,12.7,186
2014-03-28,15.6,221
2014-03-29,20.8,156
2014-03-30,12.3,22
2014-03-31,13.0,209
2014-04-01,11.3,176
