date,examinLcDetail,ecoli_max,enterococcus_max
2015-06-16,A,170.0,32.0
2015-06-16,B,130.0,42.0
2015-06-16,C,250.0,55.0
2015-07-02,A,10.0,1.0
2015-07-02,B,1.0,1.0
2015-07-02,C,10.0,1.0
2015-07-16,A,10.0,1.0
2015-07-16,B,10.0,10.0
2015-07-16,C,20.0,5.0
2015-07-28,A,1.0,1.0
2015-07-28,B,20.0,1.0
2015-07-28,C,20.0,1.0
2015-08-04,A,10.0,1.0
2015-08-04,B,1.0,1.0
2015-08-04,C,20.0,1.0
2015-09-21,A,130.0,10.0
2015-09-21,B,150.0,5.0
2015-09-21,C,220.0,10.0
2016-05-12,A,1.0,1.0
2016-05-12,B,1.0,5.0
2016-05-12,C,1.0,1.0
2016-06-07,A,10.0,21.0
2016-06-07,B,1.0,10.0
2016-06-07,C,10.0,10.0
2016-06-27,A,52.0,5.0
2016-06-27,B,20.0,1.0
2016-06-27,C,31.0,5.0
2016-07-11,A,10.0,1.0
2016-07-11,B,1.0,1.0
2016-07-11,C,20.0,1.0
2016-07-19,A,20.0,37.0
2016-07-19,B,10.0,5.0
2016-07-19,C,10.0,1.0
2016-07-26,A,41.0,16.0
2016-07-26,B,63.0,15.0
2016-07-26,C,20.0,1.0
2016-08-09,A,230.0,60.0
2016-08-09,B,170.0,80.0
2016-08-09,C,200.0,38.0
2016-08-17,A,140.0,5.0
2016-08-17,B,250.0,26.0
2016-08-17,C,220.0,32.0
2016-08-22,A,74.0,5.0
2016-08-22,B,75.0,
2016-08-22,C,190.0,
2016-09-07,A,150.0,5.0
2016-09-07,B,150.0,16.0
2016-09-07,C,160.0,21.0
2016-10-04,A,390.0,90.0
2016-10-04,B,170.0,16.0
2016-10-04,C,220.0,55.0
2017-05-30,A,10.0,10.0
2017-05-30,B,20.0,5.0
2017-05-30,C,74.0,43.0
2017-06-09,A,20.0,5.0
2017-06-09,B,20.0,5.0
2017-06-09,C,31.0,10.0
2017-06-22,A,1.0,1.0
2017-06-22,B,20.0,1.0
2017-06-22,C,1.0,1.0
2017-07-07,A,20.0,1.0
2017-07-07,B,20.0,10.0
2017-07-07,C,31.0,10.0
2017-07-13,A,63.0,5.0
2017-07-13,B,31.0,1.0
2017-07-13,C,41.0,10.0
2017-07-19,A,1.0,1.0
2017-07-19,B,1.0,5.0
2017-07-19,C,1.0,15.0
2017-07-27,A,20.0,1.0
2017-07-27,B,1.0,1.0
2017-07-27,C,1.0,5.0
2017-08-02,A,179.0,26.0
2017-08-02,B,242.0,31.0
2017-08-02,C,169.0,10.0
2017-08-11,A,97.0,21.0
2017-08-11,B,85.0,10.0
2017-08-11,C,161.0,21.0
2017-08-17,A,131.0,15.0
2017-08-17,B,181.0,21.0
2017-08-17,C,441.0,86.0
2017-08-23,A,63.0,1.0
2017-08-23,B,96.0,5.0
2017-08-23,C,96.0,5.0
2017-09-04,A,10.0,1.0
2017-09-04,B,10.0,10.0
2017-09-04,C,31.0,5.0
2017-09-20,A,20.0,10.0
2017-09-20,B,20.0,5.0
2017-09-20,C,10.0,16.0
2018-05-16,A,399.0,43.0
2018-05-16,B,74.0,21.0
2018-05-16,C,31.0,5.0
2018-06-04,A,31.0,10.0
2018-06-04,B,20.0,15.0
2018-06-04,C,30.0,5.0
2018-06-18,A,86.0,5.0
2018-06-18,B,63.0,5.0
2018-06-18,C,62.0,1.0
2018-07-12,A,512.0,88.0
2018-07-12,B,399.0,60.0
2018-07-12,C,108.0,81.0
2018-07-19,A,10.0,1.0
2018-07-19,B,1.0,1.0
2018-07-19,C,1.0,1.0
