date,jungang_discharge_m3_day
2014-01-01,87788
2014-01-02,81800
2014-01-03,75449
2014-01-04,73305
2014-01-05,75361
2014-01-06,75037
2014-01-07,78627
2014-01-08,95529
2014-01-09,88008
2014-01-10,80262
2014-01-11,81998
2014-01-12,83531
2014-01-13,82639
2014-01-14,79065
2014-01-15,82985
2014-01-16,83313
2014-01-17,83034
2014-01-18,80948
2014-01-19,84692
2014-01-20,81381
2014-01-21,84185
2014-01-22,78331
2014-01-23,85262
2014-01-24,82915
2014-01-25,91630
2014-01-26,80416
2014-01-27,81314
2014-01-28,87084
2014-01-29,86294
2014-01-30,82222
2014-01-31,81084
2014-02-01,82607
2014-02-02,83353
2014-02-03,78947
2014-02-04,79825
2014-02-05,80094
2014-02-06,82125
2014-02-07,82577
2014-02-08,88928
2014-02-09,79992
2014-02-10,83610
2014-02-11,78022
2014-02-12,73852
2014-02-13,73852
2014-02-14,85863
2014-02-15,79225
2014-02-16,81589
2014-02-17,82246
2014-02-18,77471
2014-02-19,75517
2014-02-20,79879
2014-02-21,78309
2014-02-22,79193
2014-02-23,77091
2014-02-24,78170
2014-02-25,79994
2014-02-26,87728
2014-02-27,82013
2014-02-28,83682
2014-03-01,81047
2014-03-02,77273
2014-03-03,74956
2014-03-04,74454
2014-03-05,79196
2014-03-06,71118
2014-03-07,69996
2014-03-08,69959
2014-03-09,68721
2014-03-10,70392
2014-03-11,73216
2014-03-12,114252
2014-03-13,144312
2014-03-14,82050
2014-03-15,82338
2014-03-16,85387
2014-03-17,79913
2014-03-18,81367
2014-03-19,77645
2014-03-20,86017
2014-03-21,83329
2014-03-22,85903
2014-03-23,80051
2014-03-24,85172
2014-03-25,86980
2014-03-26,102134
2014-03-27,89748
2014-03-28,91275
2014-03-29,100736
2014-03-30,97460
2014-03-31,86246
2014-04-01,86914
2014-04-02,76557
2014-04-03,88336
2014-04-04,83783
2014-04-05,82931
2014-04-06,83706
2014-04-07,77107
2014-04-08,81236
2014-04-09,82937
2014-04-10,77887
2014-04-11,84124
2014-04-12,82752
2014-04-13,90668
2014-04-14,83118
2014-04-15,84433
2014-04-16,86142
2014-04-17,93802
2014-04-18,93442
2014-04-19,97444
2014-04-20,89438
2014-04-21,88563
2014-04-22,88971
2014-04-23,85051
2014-04-24,83974
2014-04-25,86090
2014-04-26,84663
2014-04-27,86799
2014-04-28,150182
2014-04-29,134801
2014-04-30,101290
2014-05-01,93578
2014-05-02,85936
2014-05-03,86415
2014-05-04,82488
2014-05-05,83720
2014-05-06,83703
2014-05-07,83794
2014-05-08,96079
2014-05-09,68452
2014-05-10,80274
2014-05-11,85956
2014-05-12,96660
2014-05-13,99162
2014-05-14,88857
2014-05-15,93606
2014-05-16,87332
2014-05-17,95445
2014-05-18,93190
2014-05-19,88863
2014-05-20,85465
2014-05-21,87550
2014-05-22,87764
2014-05-23,87684
2014-05-24,88409
2014-05-25,92627
2014-05-26,95224
2014-05-27,88449
2014-05-28,83864
2014-05-29,89329
2014-05-30,87783
2014-05-31,89746
2014-06-01,88678
2014-06-02,90137
2014-06-03,89833
2014-06-04,88479
2014-06-05,90588
2014-06-06,88597
2014-06-07,88860
2014-06-08,87944
2014-06-09,85838
2014-06-10,83883
2014-06-11,87772
2014-06-12,89099
2014-06-13,92138
2014-06-14,91950
2014-06-15,89149
2014-06-16,88841
2014-06-17,86614
2014-06-18,86547
2014-06-19,86265
2014-06-20,87732
2014-06-21,85754
2014-06-22,89909
2014-06-23,88127
2014-06-24,87939
2014-06-25,84110
2014-06-26,86591
2014-06-27,89429
2014-06-28,92187
2014-06-29,89188
2014-06-30,91511
2014-07-01,87615
2014-07-02,87838
2014-07-03,97906
2014-07-04,85477
2014-07-05,108274
2014-07-06,103727
2014-07-07,95015
2014-07-08,98456
2014-07-09,94967
2014-07-10,84108
2014-07-11,90423
2014-07-12,80800
2014-07-13,90420
2014-07-14,92258
2014-07-15,96463
2014-07-16,101988
2014-07-17,94298
2014-07-18,115310
2014-07-19,104744
2014-07-20,97364
2014-07-21,96231
2014-07-22,90399
2014-07-23,89407
2014-07-24,89569
2014-07-25,86354
2014-07-26,88952
2014-07-27,89401
2014-07-28,86018
2014-07-29,88567
2014-07-30,92401
2014-07-31,93094
2014-08-01,91764
2014-08-02,104667
2014-08-03,133411
2014-08-04,123082
2014-08-05,107496
2014-08-06,102792
2014-08-07,99901
2014-08-08,99620
2014-08-09,97480
2014-08-10,105604
2014-08-11,102786
2014-08-12,99300
2014-08-13,97929
2014-08-14,129212
2014-08-15,145559
2014-08-16,115699
2014-08-17,100459
2014-08-18,136952
2014-08-19,136218
2014-08-20,135456
2014-08-21,126021
2014-08-22,102605
2014-08-23,99196
2014-08-24,93853
2014-08-25,98533
2014-08-26,110565
2014-08-27,134625
2014-08-28,104926
2014-08-29,100865
2014-08-30,103062
2014-08-31,102248
2014-09-01,99932
2014-09-02,97831
2014-09-03,125083
2014-09-04,116560
2014-09-05,98909
2014-09-06,95650
2014-09-07,100367
2014-09-08,100298
2014-09-09,98100
2014-09-10,98891
2014-09-11,102672
2014-09-12,102965
2014-09-13,95925
2014-09-14,96448
2014-09-15,98669
2014-09-16,97599
2014-09-17,97842
2014-09-18,96576
2014-09-19,95131
2014-09-20,96156
2014-09-21,93926
2014-09-22,92373
2014-09-23,101325
2014-09-24,137856
2014-09-25,112859
2014-09-26,98131
2014-09-27,95238
2014-09-28,91218
2014-09-29,90451
2014-09-30,91836
2014-10-01,93604
2014-10-02,93387
2014-10-03,92984
2014-10-04,87034
2014-10-05,90800
2014-10-06,88561
2014-10-07,87780
2014-10-08,96729
2014-10-09,101744
2014-10-10,99072
2014-10-11,89526
2014-10-12,92934
2014-10-13,132210
2014-10-14,114604
2014-10-15,101289
2014-10-16,100316
2014-10-17,99861
2014-10-18,99124
2014-10-19,94460
2014-10-20,114173
2014-10-21,97260
2014-10-22,106231
2014-10-23,98380
2014-10-24,93943
2014-10-25,92105
2014-10-26,96151
2014-10-27,92648
2014-10-28,81858
2014-10-29,84000
2014-10-30,86520
2014-10-31,87132
2014-11-01,89614
2014-11-02,85522
2014-11-03,87206
2014-11-04,83339
2014-11-05,76813
2014-11-06,78614
2014-11-07,83342
2014-11-08,76869
2014-11-09,73680
2014-11-10,76602
2014-11-11,76556
2014-11-12,74991
2014-11-13,67205
2014-11-14,71672
2014-11-15,71065
2014-11-16,71580
2014-11-17,72139
2014-11-18,71958
2014-11-19,71606
2014-11-20,81475
2014-11-21,73801
2014-11-22,74245
2014-11-23,74381
2014-11-24,79992
2014-11-25,86710
2014-11-26,80444
2014-11-27,81730
2014-11-28,78628
2014-11-29,77343
2014-11-30,81325
2014-12-01,72977
2014-12-02,73828
2014-12-03,77714
2014-12-04,73992
2014-12-05,74710
2014-12-06,74140
2014-12-07,72150
2014-12-08,67152
2014-12-09,70894
2014-12-10,80296
2014-12-11,73665
2014-12-12,79587
2014-12-13,77243
2014-12-14,79476
2014-12-15,86793
2014-12-16,82503
2014-12-17,81273
2014-12-18,80082
2014-12-19,85457
2014-12-20,90714
2014-12-21,87299
2014-12-22,90862
2014-12-23,84167
2014-12-24,87292
2014-12-25,87878
2014-12-26,90937
2014-12-27,82974
2014-12-28,76890
2014-12-29,82746
2014-12-30,81136
2014-12-31,85345
2015-01-01,80407
2015-01-02,85231
2015-01-03,88722
2015-01-04,85805
2015-01-05,88042
2015-01-06,89225
2015-01-07,90036
2015-01-08,87149
2015-01-09,87738
2015-01-10,88608
2015-01-11,89030
2015-01-12,86207
2015-01-13,86888
2015-01-14,87230
2015-01-15,89453
2015-01-16,91375
2015-01-17,94733
2015-01-18,91760
2015-01-19,89180
2015-01-20,89489
2015-01-21,91610
2015-01-22,90798
2015-01-23,88043
2015-01-24,88052
2015-01-25,87867
2015-01-26,89967
2015-01-27,89185
2015-01-28,86897
2015-01-29,87922
2015-01-30,85365
2015-01-31,86203
2015-02-01,89714
2015-02-02,83351
2015-02-03,86556
2015-02-04,88511
2015-02-05,89094
2015-02-06,86645
2015-02-07,88083
2015-02-08,86737
2015-02-09,86518
2015-02-10,86401
2015-02-11,89380
2015-02-12,88828
2015-02-13,86212
2015-02-14,79094
2015-02-15,81030
2015-02-16,86747
2015-02-17,82950
2015-02-18,83978
2015-02-19,84250
