老磊,家阿贸府樊(沛/老),ph,bod,cod,ss,tn,tp
20260910,352428,null,null,null,null,null,null
20260909,340735,null,null,null,null,null,null
20260908,343478,null,null,null,null,null,null
20260907,342173,6.5,5.7,7.9,3.1,11.906,0.417
20260906,333862,6.6,5.2,6.9,3.3,11.652,0.365
20260905,353708,6.6,8.8,7.2,3.3,11.297,0.376
20260904,354431,6.6,9,7.2,3.6,10.39,0.267
20260903,366330,null,8.8,null,null,null,null
20260902,391660,6.5,8.9,7,3.2,6.003,0.437
20260901,393439,6.5,9,6.4,3.3,5.429,0.398
20260831,413898,6.3,8.8,6,3.1,4.951,0.438
20260830,420921,6.3,6.6,6,3,5.368,0.373
20260829,418829,6.2,5.4,5,3.9,4.390,0.390
20260828,362991,6.5,8.4,7.9,4.3,12.535,0.810
20260827,344972,6.5,7,7.5,3.3,9.455,0.537
20260826,323870,6.4,5.9,7.2,3.3,7.696,0.418
20260825,318550,6.5,4.6,7.4,3.5,7.339,0.546
20260824,332301,6.5,5,7.3,3.3,8.753,0.647
20260823,323130,6.4,5,7,3.3,9.133,0.59
20260822,329180,6.6,4.7,7,3.5,8.739,0.545
20260821,347775,6.5,6,6.6,3.5,7.512,0.591
20260820,381566,6.5,6,6.4,3.3,5.436,0.546
20260819,397753,6.4,6,6.1,3.2,5.999,0.563
20260818,411227,6.2,4.8,5.1,3.3,5.212,0.632
20260817,405304,6.1,6,4.6,3.2,5.823,0.572
20260816,398325,6.3,7,6.8,3.8,11.375,0.850
20260815,309030,6.3,6.8,6.6,3.5,9.415,0.745
20260814,323747,6.3,7.2,6.8,3.7,2.737,0.679
20260813,337078,6.3,8.7,6.9,3.6,6.026,0.987
20260812,309612,6.2,8.9,6.6,3.6,8.350,0.859
20260811,296586,6.3,9,6.8,3.6,9.383,1.096
20260810,331395,6.4,8.9,7.3,3.3,3.917,0.804
20260809,312652,6.5,8.9,7,3.5,6.396,1.028
20260808,297299,6.5,9,7,3.4,5.514,0.961
20260807,297952,6.5,8.9,6.8,3.4,7.845,0.788
20260806,294329,6.6,8.8,7.1,3.3,8.846,0.713
20260805,297345,6.5,9,6.9,3.5,9.466,0.813
20260804,297208,6.5,9,6.9,3.6,10.534,0.891
20260803,300233,6.6,8.9,7,3.4,10.656,1.206
20260802,296985,6.5,8.9,6.8,3.4,9.709,0.760
20260801,295835,6.4,9.1,6.6,3.6,10.298,0.833
20260731,298007,6.6,9.1,7,3.5,9.612,0.548
20260730,298537,6.5,9.5,4.8,3.6,9.708,0.789
20260729,301635,6.5,9.1,6.8,3.5,9.699,0.678
20260728,298600,6.5,9,6.9,3.4,10.537,0.699
20260727,299887,6.6,9.1,7.2,3.5,12.780,0.813
20260726,312839,6.5,9.0,6.9,3.4,11.040,0.366
20260725,308293,6.5,8.9,6.6,3.5,10.128,0.385
20260724,299996,6.6,9.1,9.4,4,11.003,0.961
20260723,311833,6.6,9.0,9.4,4,11.003,0.961
20260722,320116,6.7,8.8,9.4,4,11.003,0.961
20260721,319714,6.6,9,9.4,4,11.003,0.961
20260720,346717,6.6,8.9,9.4,4,11.003,0.961
20260719,309251,6.6,9.0,9.4,4,11.003,0.961
20260718,313662,6.6,8.9,9.1,4.4,10.989,0.648
