date,송정_정점명,송정_정점코드,송정_유속(cm/s),송정_유향(deg),송정_수온(℃),송정_염분(PSU),송정_유의파고(m),송정_유의파주기(sec),송정_최대파고(m),송정_최대파주기(sec),송정_풍속(m/s),송정_풍향(deg),송정_기온(℃),송정_기압(hPa),송정_시정(m)
2020-01-01,,,12.657446808510638,139.91489361702128,14.910638297872339,27.79148936170213,0.7,,1.1,,5.9,270.3191489361702,3.7531914893617024,1029.2978723404256,
2020-01-02,,,18.508695652173913,126.8695652173913,15.056521739130435,27.882608695652173,0.4,,0.6,,8.4,280.10869565217394,5.565217391304348,1026.9782608695652,
2020-01-03,,,22.89767441860465,105.06976744186046,15.546511627906977,28.21627906976744,0.4,,0.7,,9.0,282.9767441860465,8.213953488372093,1023.5558139534884,
2020-01-04,,,14.204347826086956,126.8913043478261,15.202173913043477,28.26086956521739,0.4,,0.7,,9.7,251.80434782608697,7.373913043478261,1023.0043478260869,
2020-01-05,,,27.37826086956522,65.17391304347827,15.165217391304349,28.39782608695652,1.0,,1.6,,6.2,263.8478260869565,7.856521739130434,1028.695652173913,
2020-01-06,,,16.112765957446808,73.82978723404256,15.253191489361702,28.717021276595744,0.8,,1.4,,4.8,253.5744680851064,9.161702127659575,1026.868085106383,
2020-01-07,,,22.280434782608697,169.04347826086956,15.267391304347825,29.019565217391307,2.5,,3.6,,15.7,215.41304347826087,14.858695652173912,1012.5673913043478,
2020-01-08,,,16.56222222222222,129.86666666666667,14.504444444444445,29.395555555555553,2.1,,3.4,,13.2,272.26666666666665,10.782222222222222,1010.3977777777778,
2020-01-09,,,31.438636363636363,74.0909090909091,15.234090909090908,29.75,2.2,,2.8,,9.1,272.6363636363636,7.195454545454546,1019.9545454545455,
2020-01-10,,,27.104255319148937,97.1063829787234,15.187234042553191,29.663829787234043,1.5,,1.9,,5.2,268.1914893617021,6.702127659574468,1021.1744680851064,
