date,examinLcDetail,ecoli_max,enterococcus_max
2015-06-16,A,10.0,5.0
2015-06-16,B,,
2015-06-16,C,,5.0
2015-06-16,D,20.0,10.0
2015-06-16,E,10.0,10.0
2015-07-02,A,210.0,1.0
2015-07-02,B,20.0,5.0
2015-07-02,C,20.0,1.0
2015-07-02,D,41.0,1.0
2015-07-02,E,41.0,1.0
2015-07-16,A,820.0,1.0
2015-07-16,B,920.0,5.0
2015-07-16,C,1400.0,5.0
2015-07-16,D,1100.0,15.0
2015-07-16,E,840.0,5.0
2015-07-20,A,120.0,32.0
2015-07-20,B,20.0,10.0
2015-07-20,C,96.0,1.0
2015-07-20,D,41.0,1.0
2015-07-20,E,85.0,1.0
2015-07-28,A,52.0,1.0
2015-07-28,B,20.0,1.0
2015-07-28,C,31.0,1.0
2015-07-28,D,270.0,1.0
2015-07-28,E,440.0,1.0
2015-08-04,A,160.0,10.0
2015-08-04,B,120.0,1.0
2015-08-04,C,52.0,1.0
2015-08-04,D,75.0,15.0
2015-08-04,E,230.0,10.0
2015-09-21,A,10.0,1.0
2015-09-21,B,1.0,1.0
2015-09-21,C,10.0,1.0
2015-09-21,D,10.0,5.0
2015-09-21,E,10.0,1.0
2016-05-12,A,10.0,1.0
2016-05-12,B,1.0,1.0
2016-05-12,C,1.0,5.0
2016-05-12,D,1.0,1.0
2016-05-12,E,1.0,1.0
2016-06-07,A,1.0,1.0
2016-06-07,B,1.0,5.0
2016-06-07,C,10.0,10.0
2016-06-07,D,1.0,5.0
2016-06-07,E,31.0,21.0
2016-06-27,A,20.0,5.0
2016-06-27,B,52.0,10.0
2016-06-27,C,1.0,1.0
2016-06-27,D,160.0,5.0
2016-06-27,E,140.0,10.0
2016-07-11,A,340.0,55.0
2016-07-11,B,230.0,37.0
2016-07-11,C,420.0,68.0
2016-07-11,D,250.0,16.0
2016-07-11,E,86.0,5.0
2016-07-19,A,320.0,66.0
2016-07-19,B,170.0,76.0
2016-07-19,C,120.0,38.0
2016-07-19,D,97.0,32.0
2016-07-19,E,160.0,21.0
2016-07-26,A,120.0,1.0
2016-07-26,B,86.0,5.0
2016-07-26,C,97.0,10.0
2016-07-26,D,97.0,15.0
2016-07-26,E,20.0,1.0
2016-08-09,A,31.0,10.0
2016-08-09,B,,16.0
2016-08-09,C,31.0,
2016-08-09,D,10.0,
2016-08-09,E,10.0,
2016-08-17,A,20.0,
2016-08-17,B,52.0,10.0
2016-08-17,C,160.0,10.0
2016-08-17,D,20.0,
2016-08-17,E,10.0,
2016-08-22,A,330.0,5.0
2016-08-22,B,280.0,
2016-08-22,C,130.0,
2016-08-22,D,400.0,15.0
2016-08-22,E,400.0,32.0
2016-09-07,A,150.0,5.0
2016-09-07,B,150.0,16.0
2016-09-07,C,160.0,21.0
2016-10-04,A,63.0,
2016-10-04,B,41.0,
2016-10-04,C,52.0,
2016-10-04,D,74.0,5.0
2016-10-04,E,97.0,
2017-05-15,A,10.0,1.0
2017-05-15,B,10.0,5.0
2017-05-15,C,10.0,1.0
2017-05-15,D,1.0,5.0
2017-05-15,E,1.0,1.0
2017-06-09,A,31.0,1.0
2017-06-09,B,20.0,5.0
2017-06-09,C,1.0,1.0
2017-06-09,D,10.0,5.0
2017-06-09,E,1.0,21.0
2017-06-22,A,1.0,5.0
2017-06-22,B,1.0,1.0
2017-06-22,C,10.0,1.0
2017-06-22,D,1.0,10.0
2017-06-22,E,1.0,1.0
2017-07-07,A,259.0,37.0
2017-07-07,B,288.0,26.0
2017-07-07,C,228.0,16.0
2017-07-07,D,41.0,16.0
2017-07-07,E,20.0,5.0
2017-07-13,A,10.0,1.0
2017-07-13,B,41.0,5.0
2017-07-13,C,1.0,1.0
2017-07-13,D,1.0,1.0
2017-07-13,E,10.0,1.0
2017-07-19,A,1.0,5.0
2017-07-19,B,10.0,1.0
2017-07-19,C,1.0,1.0
2017-07-19,D,1.0,1.0
2017-07-19,E,10.0,1.0
2017-07-27,A,1.0,1.0
2017-07-27,B,1.0,1.0
2017-07-27,C,20.0,1.0
2017-07-27,D,1.0,1.0
2017-07-27,E,20.0,1.0
2017-08-02,A,85.0,21.0
2017-08-02,B,96.0,16.0
2017-08-02,C,63.0,15.0
2017-08-02,D,63.0,21.0
2017-08-02,E,73.0,16.0
2017-08-11,A,97.0,43.0
2017-08-11,B,109.0,37.0
2017-08-11,C,161.0,54.0
2017-08-11,D,52.0,21.0
2017-08-11,E,109.0,43.0
2017-08-17,A,41.0,10.0
2017-08-17,B,30.0,5.0
2017-08-17,C,41.0,10.0
2017-08-17,D,41.0,10.0
2017-08-17,E,41.0,5.0
2017-08-23,A,52.0,1.0
2017-08-23,B,52.0,5.0
2017-08-23,C,98.0,26.0
2017-08-23,D,85.0,21.0
2017-08-23,E,52.0,16.0
2017-09-20,A,10.0,1.0
2017-09-20,B,1.0,1.0
2017-09-20,C,20.0,5.0
2017-09-20,D,30.0,5.0
2017-09-20,E,10.0,1.0
2018-05-16,A,21.0,20.0
2018-05-16,B,1.0,10.0
2018-05-16,C,16.0,1.0
2018-05-16,D,5.0,10.0
2018-05-16,E,5.0,1.0
2018-06-18,A,1.0,15.0
2018-06-18,B,1.0,1.0
