date,dongbu_discharge_m3_day,haeundae_sewage_discharge_m3_day
2014-01-01,,42147
2014-01-02,,39229
2014-01-03,,37409
2014-01-04,,41673
2014-01-05,,42358
2014-01-06,,40564
2014-01-07,,40835
2014-01-08,,44096
2014-01-09,,40919
2014-01-10,,40251
2014-01-11,,40592
2014-01-12,,42945
2014-01-13,,41442
2014-01-14,,40988
2014-01-15,,40940
2014-01-16,,37312
2014-01-17,,39081
2014-01-18,,40144
2014-01-19,,39889
2014-01-20,,36600
2014-01-21,,36054
2014-01-22,,40176
2014-01-23,,39494
2014-01-24,,38410
2014-01-25,,37396
2014-01-26,,41021
2014-01-27,,42503
2014-01-28,,40912
2014-01-29,,43397
2014-01-30,,44293
2014-01-31,,37769
2014-02-01,,37472
2014-02-02,,41342
2014-02-03,,41337
2014-02-04,,41000
2014-02-05,,40183
2014-02-06,,40938
2014-02-07,,40902
2014-02-08,,40008
2014-02-09,,40000
2014-02-10,,46697
2014-02-11,,44861
2014-02-12,,45510
2014-02-13,,41238
2014-02-14,,40941
2014-02-15,,43422
2014-02-16,,43954
2014-02-17,,44269
2014-02-18,,43954
2014-02-19,,40255
2014-02-20,,41942
2014-02-21,,43334
2014-02-22,,40994
2014-02-23,,42080
2014-02-24,,40915
2014-02-25,,41429
2014-02-26,,41614
2014-02-27,,43401
2014-02-28,,41401
2014-03-01,,43035
2014-03-02,,45320
2014-03-03,,43078
2014-03-04,,41422
2014-03-05,,41366
2014-03-06,,40035
2014-03-07,,41314
2014-03-08,,44266
2014-03-09,,44479
2014-03-10,,43794
2014-03-11,,41052
2014-03-12,,41765
2014-03-13,,61400
2014-03-14,,44961
2014-03-15,,44899
2014-03-16,,44023
2014-03-17,,44154
2014-03-18,,43710
2014-03-19,,40513
2014-03-20,,41331
2014-03-21,,42434
2014-03-22,,44257
2014-03-23,,41532
2014-03-24,,41877
2014-03-25,,41479
2014-03-26,,49502
2014-03-27,,41580
2014-03-28,,41699
2014-03-29,,47596
2014-03-30,,54412
2014-03-31,,43054
2014-04-01,,42068
2014-04-02,,41600
2014-04-03,,41616
2014-04-04,,42597
2014-04-05,,43511
2014-04-06,,43923
2014-04-07,,42692
2014-04-08,,40392
2014-04-09,,40880
2014-04-10,,41924
2014-04-11,,41691
2014-04-12,,43691
2014-04-13,,42733
2014-04-14,,40280
2014-04-15,,39590
2014-04-16,,38583
2014-04-17,,40899
2014-04-18,,40729
2014-04-19,,42215
2014-04-20,,40218
2014-04-21,,39788
2014-04-22,,38833
2014-04-23,,40534
2014-04-24,,39438
2014-04-25,,39936
2014-04-26,,44651
2014-04-27,,43853
2014-04-28,,50221
2014-04-29,,55014
2014-04-30,,44910
2014-05-01,,43638
2014-05-02,,42507
2014-05-03,,40696
2014-05-04,,43312
2014-05-05,,43793
2014-05-06,,40802
2014-05-07,,41503
2014-05-08,,40829
2014-05-09,,42105
2014-05-10,,43752
2014-05-11,,43249
2014-05-12,,56664
2014-05-13,,46624
2014-05-14,,41248
2014-05-15,,39895
2014-05-16,,42462
2014-05-17,,44913
2014-05-18,,43338
2014-05-19,,41400
2014-05-20,,42036
2014-05-21,,41896
2014-05-22,,41786
2014-05-23,,40879
2014-05-24,,42668
2014-05-25,,43134
2014-05-26,,49827
2014-05-27,,43813
2014-05-28,,40811
2014-05-29,,42688
2014-05-30,,42547
2014-05-31,,43897
2014-06-01,,43466
2014-06-02,,42806
2014-06-03,,42770
2014-06-04,,43375
2014-06-05,,42764
2014-06-06,,43127
2014-06-07,,43311
2014-06-08,,42888
2014-06-09,,40757
2014-06-10,,40207
2014-06-11,,40918
2014-06-12,,41453
2014-06-13,,43536
2014-06-14,,45056
2014-06-15,,43908
2014-06-16,,42614
2014-06-17,,38685
2014-06-18,,41767
2014-06-19,,40593
2014-06-20,,41540
2014-06-21,,42473
2014-06-22,,41855
2014-06-23,,36654
2014-06-24,,38528
2014-06-25,,41373
2014-06-26,,43000
2014-06-27,,41468
2014-06-28,,43382
2014-06-29,,42109
2014-06-30,,39986
2014-07-01,,41628
2014-07-02,,42788
2014-07-03,,55226
2014-07-04,,45959
2014-07-05,,44317
2014-07-06,,43925
2014-07-07,,40474
2014-07-08,,48867
2014-07-09,,44645
2014-07-10,,45061
2014-07-11,,43608
2014-07-12,,45091
2014-07-13,,49756
2014-07-14,,43296
2014-07-15,,43293
2014-07-16,,43959
2014-07-17,,44298
2014-07-18,,45530
2014-07-19,,47160
2014-07-20,,52751
2014-07-21,,45778
2014-07-22,,43713
2014-07-23,,43823
2014-07-24,,47311
2014-07-25,,45315
2014-07-26,,46139
2014-07-27,,45103
2014-07-28,,43285
2014-07-29,,44303
2014-07-30,,44905
2014-07-31,,46490
2014-08-01,,44689
2014-08-02,,49118
2014-08-03,,59114
2014-08-04,,53883
2014-08-05,,53319
2014-08-06,,49352
2014-08-07,,46192
2014-08-08,,45932
2014-08-09,,46223
2014-08-10,,45591
2014-08-11,,46968
2014-08-12,,46741
2014-08-13,,45243
2014-08-14,,54489
2014-08-15,,53312
2014-08-16,,52038
2014-08-17,,48329
2014-08-18,,52462
2014-08-19,,58108
2014-08-20,,57630
2014-08-21,,63528
2014-08-22,,53686
2014-08-23,,48897
2014-08-24,,46383
2014-08-25,,50965
2014-08-26,,57372
2014-08-27,,50257
2014-08-28,,46218
2014-08-29,,46721
2014-08-30,,47016
2014-08-31,,48039
2014-09-01,,46603
2014-09-02,,44545
2014-09-03,,51653
2014-09-04,,49449
2014-09-05,,50579
2014-09-06,,49648
2014-09-07,,49736
2014-09-08,,44180
2014-09-09,,45193
2014-09-10,,45971
2014-09-11,,43996
2014-09-12,,43124
2014-09-13,,45611
2014-09-14,,45087
2014-09-15,,42573
2014-09-16,,43662
2014-09-17,,44436
2014-09-18,,46479
2014-09-19,,42802
2014-09-20,,45081
2014-09-21,,45187
2014-09-22,,43288
2014-09-23,,43883
2014-09-24,,64717
2014-09-25,,48419
2014-09-26,,43909
2014-09-27,,44870
2014-09-28,,45611
2014-09-29,,43371
2014-09-30,,43754
2014-10-01,,43277
2014-10-02,,42563
2014-10-03,,44040
2014-10-04,,44454
2014-10-05,,43592
2014-10-06,,42153
2014-10-07,,42390
2014-10-08,,41528
2014-10-09,,42527
2014-10-10,,43092
2014-10-11,,44068
2014-10-12,,44003
2014-10-13,,57837
2014-10-14,,44808
2014-10-15,,43981
2014-10-16,,42977
2014-10-17,,42231
2014-10-18,,44630
2014-10-19,,42407
2014-10-20,,55045
2014-10-21,,56858
2014-10-22,,66381
2014-10-23,,49410
2014-10-24,,47183
2014-10-25,,46335
2014-10-26,,46341
2014-10-27,,44331
2014-10-28,,43988
2014-10-29,,44252
2014-10-30,,43872
2014-10-31,,48145
2014-11-01,,50888
2014-11-02,,44899
2014-11-03,,44455
2014-11-04,,42017
2014-11-05,,42136
2014-11-06,,42194
2014-11-07,,41485
2014-11-08,,43156
2014-11-09,,45504
2014-11-10,,43151
2014-11-11,,42851
2014-11-12,,43300
2014-11-13,,43490
2014-11-14,,42468
2014-11-15,,42669
2014-11-16,,43409
2014-11-17,,43434
2014-11-18,,41082
2014-11-19,,42392
2014-11-20,,41987
2014-11-21,,42126
2014-11-22,,43677
2014-11-23,,44543
2014-11-24,,48522
2014-11-25,,48980
2014-11-26,,45291
2014-11-27,,43647
2014-11-28,,43557
2014-11-29,,44888
2014-11-30,,44792
2014-12-01,,44263
2014-12-02,,42133
2014-12-03,,42216
2014-12-04,,42085
2014-12-05,,42185
2014-12-06,,44366
2014-12-07,,42749
2014-12-08,,43197
2014-12-09,,42725
2014-12-10,,41936
2014-12-11,,42773
2014-12-12,,41455
2014-12-13,,43629
2014-12-14,,45244
2014-12-15,,43764
2014-12-16,,45073
2014-12-17,,41753
2014-12-18,,43218
2014-12-19,,42947
2014-12-20,,44823
2014-12-21,,43184
2014-12-22,,42334
2014-12-23,,41540
2014-12-24,,41880
2014-12-25,,42393
2014-12-26,,42340
2014-12-27,,43143
2014-12-28,,43280
2014-12-29,,41041
2014-12-30,,40942
2014-12-31,,41565
2015-01-01,,42746
2015-01-02,,42650
2015-01-03,,43543
2015-01-04,,44414
2015-01-05,,42830
2015-01-06,,47503
2015-01-07,,41562
2015-01-08,,41457
2015-01-09,,41635
2015-01-10,,42501
2015-01-11,,42354
2015-01-12,,42029
2015-01-13,,40628
2015-01-14,,41547
2015-01-15,,44091
2015-01-16,,40928
2015-01-17,,41390
2015-01-18,,43178
2015-01-19,,43194
2015-01-20,,41673
2015-01-21,,38815
2015-01-22,,42579
2015-01-23,,40088
2015-01-24,,41090
2015-01-25,,41570
2015-01-26,,45996
2015-01-27,,39847
2015-01-28,,39524
2015-01-29,,38758
2015-01-30,,39884
2015-01-31,,42238
2015-02-01,,41635
2015-02-02,,40980
2015-02-03,,39867
2015-02-04,,39605
2015-02-05,,42298
2015-02-06,,40411
2015-02-07,,41881
2015-02-08,,43699
2015-02-09,,40133
2015-02-10,,40133
2015-02-11,,39890
2015-02-12,,40946
2015-02-13,,41703
2015-02-14,,42431
2015-02-15,,40766
2015-02-16,,41784
2015-02-17,,41373
2015-02-18,,42308
2015-02-19,,34701
2015-02-20,,36143
2015-02-21,,43543
2015-02-22,,40663
2015-02-23,,37032
2015-02-24,,36070
2015-02-25,,36276
2015-02-26,,36436
2015-02-27,,35520
2015-02-28,,38043
2015-03-01,,40709
2015-03-02,,36589
2015-03-03,,38661
2015-03-04,,37074
2015-03-05,,35689
2015-03-06,,34926
2015-03-07,,36908
2015-03-08,,36639
